순위,제목,저자,출판사,출간일,별점
54,수학의 위로,"마이클 프레임 (지은이), 이한음 (옮긴이) ", 디플롯 , 2022년 11월,5.0
55,이득우의 게임 수학,이득우 (지은이) , 책만 , 2022년 4월,5.0
56,"우울할 땐 뇌 과학, 실천할 땐 워크북","앨릭스 코브 (지은이), 정지인 (옮긴이) ", 심심 , 2020년 1월,4.5
57,치유와 회복,"데이비드 호킨스 (지은이), 박윤정 (옮긴이) ", 판미동 , 2016년 4월,5.0
58,"사고의 본질 : 유추, 지성의 연료와 불길","에마뉘엘 상데, 더글러스 호프스태터 (지은이), 김태훈 (옮긴이), 최재천 (감수) ", arte(아르테) , 2017년 12월,4.0
59,소문난 명강의 김도형의 데이터 사이언스 스쿨 수학 편,김도형 (지은이) , 한빛미디어 , 2019년 11월,5.0
60,제대로 시작하는 기초 통계학 : Excel 활용,노경섭 (지은이) , 한빛아카데미 , 2021년 2월,5.0
61,다윈의 식탁,장대익 (지은이) , 바다출판사 , 2016년 6월,4.0
62,"프로그래머, 수학으로 생각하라 (개정판)","유키 히로시 (지은이), 안동현 (옮긴이) ", 프리렉 , 2018년 7월,5.0
63,선형대수와 군,이인석 (지은이) , 서울대학교출판문화원 , 2021년 8월,4.5
64,복잡한 세상을 이기는 수학의 힘,"류쉐펑 (지은이), 이서연 (옮긴이), 김지혜 (감수) ", 미디어숲 , 2023년 1월,5.0
65,완경 선언,"제니퍼 건터 (지은이), 김희정, 안진희 (옮긴이) ", 생각의힘 , 2022년 11월,5.0
66,21세기 사상의 최전선: 전 지구적 공존을 위한 사유의 대전환,"김종갑, 김환석, 유현주, 유시 파리카, 이동신, 차은정, 황희선, 정찬철, 김지훈, 김은주, 엄태연, 노고운, 최명애, 서보경, 김숙진, 김종미, 박세진, 송원섭, 심효원, 이준석, 임소연, 주윤정 (지은이), 이부록, 이정호, 변영근 (그림), 이감문해력연구소 (기획) ", 이성과감성 , 2020년 7월,4.5
67,인체해부학,"Deborah Roiger (지은이), 이법이 (옮긴이) ", 포널스 , 2015년 7월,0.0
68,양자역학 이야기,"팀 제임스 (지은이), 김주희 (옮긴이) ", 한빛비즈 , 2022년 11월,5.0
69,중고등학교 물리,"아이뉴턴 편집부 (지은이), 와다 스미오 (감수), 나카지마 히데토, 시미즈 아키라 ", 아이뉴턴(뉴턴코리아) , 2019년 7월,5.0
70,화석맨,"커밋 패티슨 (지은이), 윤신영 (옮긴이) ", 김영사 , 2022년 10월,5.0
71,매스매틱스 1,이상엽 (지은이) , 길벗 , 2020년 12월,5.0
72,노래하는 뇌,"대니얼 J. 레비틴 (지은이), 김성훈 (옮긴이) ", 와이즈베리 , 2023년 1월,4.5
