순위,제목,저자,출판사,출간일,별점
51,성경신학 스터디 바이블,"D. A. 카슨, 리처드 S. 헤스, T. D. 알렉산더 (지은이) ", 복있는사람 , 2021년 7월,5.0
52,하나님의 열심,박영선 (지은이) , 무근검(남포교회출판부) , 2020년 2월,5.0
53,숫타니파타 ; 최초의 불교 경전(해석본),작자미상 (지은이) , 문학공감대 , 2017년 5월,5.0
54,"묵상과 설교  2022년 9-10월호(에베소서, 사무엘하)",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2022년 9월,0.0
55,기독교의 기본 진리,"존 R. 스토트 (지은이), 황을호 (옮긴이) ", 생명의말씀사 , 2009년 10월,4.5
56,법륜 스님의 반야심경 강의,법륜 (지은이) , 정토출판 , 2022년 6월,5.0
57,풍성한 삶으로의 초대,김형국 (지은이) , 비아토르 , 2018년 4월,4.5
58,돈보다 운을 벌어라 : 주역의 원리로 운을 경영하는 법,김승호 (지은이) , 쌤앤파커스 , 2015년 12월,4.0
59,고통의 문제,"C. S. 루이스 (지은이), 이종태 (옮긴이) ", 홍성사 , 2019년 10월,5.0
60,어웨이크,김유진 (지은이) , 북폴리오 , 2022년 9월,5.0
61,천로역정 (완역판) : 세계기독교고전 15,"존 번연 (지은이), 루이스 레드 형제 (그림), 유성덕 (옮긴이) ", CH북스(크리스천다이제스트) , 2015년 8월,5.0
62,인문학을 좋아하는 사람들을 위한 불교수업 : 연기·공·유식·선은 어떻게 삶이 되는가!,김사업 (지은이) , 불광출판사 , 2018년 2월,4.5
63,개혁신학 용어 사전 - 신행사전 001,"웨슬리 밴더 럭트, 켈리 M. 캐픽 (지은이), 송동민 (옮긴이) ", 알맹e , 2017년 10월,5.0
64,풍성한 삶의 첫걸음,김형국 (지은이) , 비아토르 , 2018년 4월,0.0
65,명리 명강 : 하나의 원리로 실전까지 통하는 사주역학의 정석,김학목 (지은이) , 판미동 , 2016년 7월,4.5
66,치유와 회복,"데이비드 호킨스 (지은이), 박윤정 (옮긴이) ", 판미동 , 2016년 4월,5.0
67,헤아려 본 슬픔,C. S. 루이스 (지은이) , 홍성사 , 2013년 12월,0.0
68,살아나는 교회를 해부하다,"톰 레이너 (지은이), 정성묵 (옮긴이) ", 두란노 , 2022년 12월,0.0
69,기독교 교파 한눈에 보기,전희준 (지은이) , 이레서원 , 2021년 2월,5.0
70,예수아 채널링,"이균형 (옮긴이), 파멜라 크리베 ", 정신세계사 , 2016년 10월,5.0
71,당신의 아름다운 세계,"스티븐 미첼, 바이런 케이티 (지은이), 이창엽 (옮긴이) ", 침묵의향기 , 2020년 1월,4.0
72,마스터의 제자,"피터 마운트 샤스타 (지은이), 이상범, 김성희 (옮긴이) ", 정신세계사 , 2022년 5월,5.0
73,NIV 영어성경 단어숙어집 구약1,추연재 (지은이) , 부크크 , 2019년 11월,4.5
74,"왜 일하는가? : 밥벌이, 삶, 영성을 말하다",조정민 (지은이) , 두란노 , 2017년 5월,5.0
