순위,제목,저자,출판사,출간일,별점
60,침묵의 봄,"레이첼 카슨 (지은이), 김은령 (옮긴이), 홍욱희 (감수) ", 에코리브르 , 2018년 4월,4.5
61,계속 가보겠습니다,임은정 (지은이) , 메디치미디어 , 2022년 8월,5.0
62,월든 (한글판),"헨리 데이비드 소로 (지은이), 전행선 (옮긴이) ", 더클래식 , 2013년 6월,4.0
63,어떻게 공부할 것인가,"마크 맥대니얼, 피터 브라운, 헨리 뢰디거 (지은이), 김아영 (옮긴이) ", 와이즈베리 , 2014년 12월,4.5
64,공부머리 독서법 : 실현 가능하고 지속 가능한 독서교육의 모든 것,최승필 (지은이) , 책구루 , 2018년 7월,4.5
65,욕구들,"캐럴라인 냅 (지은이), 정지인 (옮긴이) ", 북하우스 , 2021년 6월,5.0
66,인간의 흑역사 : 인간의 욕심은 끝이 없고 똑같은 실수를 반복한다,"톰 필립스 (지은이), 홍한결 (옮긴이) ", 윌북 , 2019년 10월,4.5
67,나는 오늘 나에게 ADHD라는 이름을 주었다,신지수 (지은이) , 휴머니스트 , 2021년 7월,4.0
68,다락방의 미친 여자,"샌드라 길버트, 수전 구바 (지은이), 박오복 (옮긴이) ", 북하우스 , 2022년 9월,5.0
69,타인의 해석 : 당신이 모르는 사람을 만났을 때,"말콤 글래드웰 (지은이), 유강은 (옮긴이), 김경일 (감수) ", 김영사 , 2020년 3월,4.0
70,군주론,"니콜로 마키아벨리 (지은이), 강정인, 김경희 (옮긴이) ", 까치 , 2019년 11월,4.5
71,신비롭지 않은 여자들,임소연 (지은이) , 민음사 , 2022년 6월,4.5
72,사이코패스는 일상의 그늘에 숨어 지낸다,"이수정, 김경옥 (지은이) ", 중앙M&B , 2018년 8월,4.0
73,"차이나 쇼크, 한국의 선택",한청훤 (지은이) , 사이드웨이 , 2022년 8월,4.5
74,유튜브는 책을 집어삼킬 것인가,"엄기호, 김성우 (지은이) ", 따비 , 2020년 5월,4.5
75,공산당 선언 (개정판),"카를 마르크스, 프리드리히 엥겔스 (지은이), 이진우 (옮긴이) ", 책세상 , 2018년 8월,4.0
76,마이너리티 디자인,"사와다 도모히로 (지은이), 김영현 (옮긴이) ", 다다서재 , 2022년 6월,5.0
77,"예정된 전쟁 : 미국과 중국의 패권 경쟁,  그리고 한반도의 운명","그레이엄 앨리슨 (지은이), 정혜윤 (옮긴이) ", 세종(세종서적) , 2018년 1월,4.0
78,"여성, 경찰하는 마음","여성 경찰 23인 (지은이), 주명희 (엮은이), 경찰 젠더연구회 (기획) ", 생각정원 , 2022년 10월,5.0
79,여성과 광기,"필리스 체슬러 (지은이), 임옥희 (옮긴이) ", 위고 , 2021년 10월,5.0
80,알지 못하는 아이의 죽음,"은유 (지은이), 임진실 (사진) ", 돌베개 , 2019년 7월,5.0
81,중동전쟁,"임용한, 조현영 (지은이) ", 레드리버 , 2022년 12월,5.0
82,왜 이대남은 동네북이 되었나,이선옥 (지은이) , 담담사무소 , 2022년 12월,5.0
83,프로테스탄티즘의 윤리와 자본주의 정신,"막스 베버 (지은이), 박성수 (옮긴이) ", 문예출판사 , 2013년 10월,4.0
84,길 위의 철학자,"에릭 호퍼 (지은이), 방대수 (옮긴이) ", 이다미디어 , 2014년 2월,4.0
85,포르노랜드 : 당신이 웃어넘긴 야동의 실체,"게일 다인스 (지은이), 신혜빈 (옮긴이) ", 열다북스 , 2020년 3월,4.5
86,함께 읽는 민법 : 채권각론편,김삼연 (지은이) , 도서출판 시우 , 2015년 9월,0.0
87,함께 읽는 민법 : 물권편,김삼연 (지은이) , 도서출판 시우 , 2015년 3월,0.0
88,함께 읽는 민법 : 채권총론 편,김삼연 (지은이) , 도서출판 시우 , 2015년 5월,2.0
89,장애인과 함께 사는 법,백정연 (지은이) , 유유 , 2022년 4월,4.5
90,나는 옐로에 화이트에 약간 블루 2,"브래디 미카코 (지은이), 김영현 (옮긴이) ", 다다서재 , 2022년 9월,5.0
91,밀레니얼의 마음,강덕구 (지은이) , 민음사 , 2023년 1월,5.0
92,자본주의와 장애,"마타 러셀 (지은이), 키스 로즌솔 (엮은이), 조영학 (옮긴이) ", 동아시아 , 2022년 11월,0.0
93,낙인찍힌 몸,염운옥 (지은이) , 돌베개 , 2019년 9월,4.5
94,탈혼기,유혜담 (지은이) , 별세계 , 2022년 6월,5.0
95,장애의 역사,"킴 닐슨 (지은이), 김승섭 (옮긴이) ", 동아시아 , 2020년 11월,4.5
96,특수교사 119,원재연 (지은이) , 에듀니티 , 2021년 5월,5.0
97,비영리 분야를 위한 좋은 조직을 넘어 위대한 조직으로,"짐 콜린스 (지은이), 강주헌 (옮긴이) ", 김영사 , 2021년 6월,4.5
98,선생님은 알려주지 않는 노무사 공부법,쏭송이노무사 (지은이) , 유페이퍼 , 2022년 12월,0.0
99,미즈키 시게루의 라바울 전기,"미즈키 시게루 (지은이), 김효진 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2022년 6월,4.5
100,모기가 우리한테 해 준 게 뭔데?,"프라우케 피셔, 힐케 오버한스베르크 (지은이), 추미란 (옮긴이) ", 북트리거 , 2022년 11월,5.0
