순위,제목,저자,출판사,출간일,별점
51,"미국 노예, 프레더릭 더글러스의 삶에 관한 이야기","프레더릭 더글러스 (지은이), 손세호 (옮긴이) ", 지식을만드는지식 , 2014년 2월,4.0
52,색의 유혹 : 색채심리와 컬러마케팅 - 살림지식총서 132,오수연 (지은이) , 살림 , 2011년 11월,3.0
53,애니메이션으로 보는 일본 : 소녀와 마녀 사이 - 살림지식총서 195,박규태 (지은이) , 살림 , 2011년 11월,4.0
54,"신비주의 : 요가, 영지주의, 연금술, 수피주의 - 살림지식총서 219",금인숙 (지은이) , 살림 , 2011년 11월,3.5
55,미국의 좌파와 우파 - 살림지식총서 001,이주영 (지은이) , 살림 , 2011년 11월,3.5
56,기생 이야기 : 일제시대의 대중스타 - 살림지식총서 294,신현규 (지은이) , 살림 , 2011년 11월,4.0
57,유럽왕실의 탄생 - 살림지식총서 086,김현수 (지은이) , 살림 , 2011년 11월,3.5
58,살롱문화 - 살림지식총서 017,서정복 (지은이) , 살림 , 2011년 11월,4.5
59,"성, 그 억압과 진보의 역사 - 살림지식총서 223",윤가현 (지은이) , 살림 , 2011년 11월,4.0
60,절대왕정의 탄생 - 살림지식총서 088,임승휘 (지은이) , 살림 , 2011년 11월,4.5
61,두 얼굴을 가진 하나님 : 성서로 보는 미국 노예제 - 살림지식총서 004,김형인 (지은이) , 살림 , 2011년 11월,4.0
62,유대인 - 살림지식총서 039,정성호 (지은이) , 살림 , 2011년 11월,3.0
63,전쟁국가 일본 - 살림지식총서 189,이성환 (지은이) , 살림 , 2011년 11월,4.5
64,양자 컴퓨터 : 21세기 과학혁명 - 살림지식총서 036,이순칠 (지은이) , 살림 , 2011년 11월,4.0
65,패션과 명품 - 살림지식총서 145,이재진 (지은이) , 살림 , 2011년 11월,4.0
66,네이밍 사전,류동수 (지은이) , 보누스 , 2016년 1월,0.0
67,최면의 세계 - 살림지식총서 032,설기문 (지은이) , 살림 , 2011년 11월,3.0
68,중세와 토마스 아퀴나스 - 살림지식총서 123,박주영 (지은이) , 살림 , 2011년 11월,3.5
69,예루살렘 : 순례자의 도시 - 살림지식총서 104,최창모 (지은이) , 살림 , 2011년 11월,4.0
70,무협 - 살림지식총서 062,문현선 (지은이) , 살림 , 2011년 11월,3.5
71,동물행동학 - 살림지식총서 226,임신재 (지은이) , 살림 , 2011년 11월,4.0
72,문화콘텐츠란 무엇인가 - 살림지식총서 217,최연구 (지은이) , 살림 , 2011년 11월,4.0
73,발트 3국 : 잊혀졌던 유럽의 관문 - 살림지식총서 297,서진석 (지은이) , 살림 , 2011년 12월,4.0
74,블랙홀 - 살림지식총서 034,이충환 (지은이) , 살림 , 2011년 11월,4.0
75,중세는 정말 암흑기였나 - 살림지식총서 025,이경재 (지은이) , 살림 , 2011년 11월,3.5
76,애니메이션의 장르와 역사 - 살림지식총서 019,이용배 (지은이) , 살림 , 2011년 11월,3.5
77,한국 교회의 역사 - 살림지식총서 041,서정민 (지은이) , 살림 , 2011년 11월,3.5
78,벤꾸리 가계부 다이어리,벤꾸리 (지은이) , 시원북스 , 2022년 11월,4.5
79,버지니아 울프 : 살아남은 여성 예술가의 초상 - 살림지식총서 053,김희정 (지은이) , 살림 , 2011년 11월,4.5
80,미술경매 이야기 - 살림지식총서 314,이규현 (지은이) , 살림 , 2011년 11월,3.5
81,양주 이야기 - 살림지식총서 134,김준철 (지은이) , 살림 , 2011년 11월,4.5
82,성스러움과 폭력 - 살림지식총서 029,류성민 (지은이) , 살림 , 2011년 11월,4.5
83,부다페스트 : 다뉴브의 진주 - 살림지식총서 240,김성진 (지은이) , 살림 , 2011년 11월,4.5
84,뮤지엄 건축 : 도시 속의 박물관과 미술관 - 살림지식총서 206,서상우 (지은이) , 살림 , 2011년 11월,0.0
85,누가 하이카라 여성을 데리고 사누 : 여학생과 연애 - 살림지식총서 151,김미지 (지은이) , 살림 , 2011년 11월,4.5
86,미국의 정체성 : 10가지 코드로 미국을 말한다 - 살림지식총서 002,김형인 (지은이) , 살림 , 2011년 11월,3.0
87,초월을 향한 지향 요가 - 살림지식총서 068,류경희 (지은이) , 살림 , 2011년 11월,4.0
88,아파트의 문화사 - 살림지식총서 224,박철수 (지은이) , 살림 , 2011년 11월,3.5
89,그리스 사유의 기원 - 살림지식총서 049,김재홍 (지은이) , 살림 , 2011년 11월,4.5
90,리콴유 : 작지만 강한 싱가포르 건설을 위해 - 살림지식총서 301,김성진 (지은이) , 살림 , 2011년 11월,4.0
91,자살 - 살림지식총서 222,이진홍 (지은이) , 살림 , 2011년 11월,4.5
92,상트 페테르부르크 : 유럽을 향한 창 - 살림지식총서 105,방일권 (지은이) , 살림 , 2011년 11월,5.0
93,군사학 논고 천줄읽기,"플라비우스 베게티우스 레나투스 (지은이), 정토웅 (옮긴이) ", 지식을만드는지식 , 2011년 10월,4.0
94,"아테네인, 스파르타인 - 살림지식총서 173",윤진 (지은이) , 살림 , 2011년 11월,4.0
95,주역과 운명 - 살림지식총서 135,심의용 (지은이) , 살림 , 2011년 11월,4.0
96,영화로 보는 미국 : 할리우드 영화의 문화적 의미 - 살림지식총서 007,김성곤 (지은이) , 살림 , 2011년 11월,3.5
97,영어 구동사 사전 (A Dictionary of Phrasal Verbs in English),이기동 (지은이) , 한국문화사 , 2022년 9월,0.0
98,간도는 누구의 땅인가 - 살림지식총서 140,이성환 (지은이) , 살림 , 2011년 11월,4.5
99,문신의 역사 - 살림지식총서 020,조현설 (지은이) , 살림 , 2011년 11월,4.0
100,보들레르 : 저주받은 천재시인 - 살림지식총서 243,이건수 (지은이) , 살림 , 2011년 11월,0.0
