순위,제목,저자,출판사,출간일,별점
67,군주론,"니콜로 마키아벨리 (지은이), 김운찬 (옮긴이) ", 현대지성 , 2021년 7월,5.0
68,노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 , 2020년 8월,4.0
69,사물의 소멸,"한병철 (지은이), 전대호 (옮긴이) ", 김영사 , 2022년 9월,5.0
71,지금보다 괜찮은 어른,김혜민 (지은이) , 시크릿하우스 , 2023년 1월,5.0
72,미움받을 용기 2 (200만 부 기념 스페셜 에디션),"기시미 이치로, 고가 후미타케 (지은이), 전경아 (옮긴이) ", 인플루엔셜(주) , 2023년 1월,4.5
73,"철학자 들뢰즈, 화가 베이컨을 말하다",박정태 (지은이) , 이학사 , 2019년 1월,5.0
74,만화로 보는 일리아스,동사원형 (지은이) , 한빛비즈 , 2023년 2월,4.5
75,불륜의 심리학,"게르티 젱어, 발터 호프만 (지은이), 함미라 (옮긴이) ", 탐나는책 , 2023년 2월,0.0
76,딜레마 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 오수원 (옮긴이) ", 윌북 , 2022년 8월,4.5
77,유혹하는 글쓰기 : 스티븐 킹의 창작론,"스티븐 킹 (지은이), 김진준 (옮긴이) ", 김영사 , 2020년 2월,4.5
78,기억의 뇌과학,"리사 제노바 (지은이), 윤승희 (옮긴이) ", 웅진지식하우스 , 2022년 4월,4.5
79,놓아버림,"데이비드 호킨스 (지은이), 박찬준 (옮긴이) ", 판미동 , 2013년 11월,5.0
80,스톱 씽킹,"리처드 칼슨 (지은이), 박산호 (옮긴이) ", 윌북 , 2022년 1월,5.0
81,질서 너머,"조던 B. 피터슨 (지은이), 김한영 (옮긴이) ", 웅진지식하우스 , 2021년 3월,4.5
82,어떤 고독은 외롭지 않다,"버지니아 울프, 에드거 앨런 포, 헨리 데이비드 소로 (지은이) ", 인플루엔셜(주) , 2022년 12월,4.5
83,시지프 신화,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 , 2021년 1월,4.0
84,자유론 (개정판),"존 스튜어트 밀 (지은이), 서병훈 (옮긴이) ", 책세상 , 2018년 4월,4.5
