순위,제목,저자,출판사,출간일,별점
66,언더그라운드,"무라카미 하루키 (지은이), 양억관 (옮긴이) ", 문학동네 , 2022년 7월,4.5
67,탈혼기,유혜담 (지은이) , 별세계 , 2022년 6월,5.0
68,작가의 루틴 : 소설 쓰는 하루,"김중혁, 박솔뫼, 범유진 (지은이) ", &(앤드) , 2023년 1월,5.0
69,삼키기 연습,박지니 (지은이) , 글항아리 , 2021년 10월,5.0
70,그대 늙어가는 것이 아니라 익어가는 것이다,오평선 (지은이) , 포레스트북스 , 2022년 12월,5.0
71,미국에서 F2비자로 살아남기,장윤정(애슐리) (지은이) , 유페이퍼 , 2023년 1월,0.0
72,만남은 지겹고 이별은 지쳤다 (10만 부 기념 리커버 에디션),색과 체 (지은이) , 떠오름 , 2022년 6월,4.5
73,오늘 하지 않아도 되는 걱정은 오늘 하지 않습니다,데니스 홍 (지은이) , 인플루엔셜(주) , 2022년 12월,4.5
75,MBTI의 모든 것,"나우진, 김준환, 이지희 (지은이) ", 메이트북스 , 2023년 2월,5.0
76,어린이라는 세계,김소영 (지은이) , 사계절 , 2020년 11월,4.5
77,언어의 온도 : 말과 글에는 나름의 따뜻함과 차가움이 있다,이기주 (지은이) , 말글터 , 2016년 8월,2.5
78,사랑한다고 상처를 허락하지 말 것,김달 (지은이) , 비에이블 , 2020년 11월,4.5
79,월든 (한글판),"헨리 데이비드 소로 (지은이), 전행선 (옮긴이) ", 더클래식 , 2013년 6월,4.0
80,최소한의 이웃,허지웅 (지은이) , 김영사 , 2022년 8월,5.0
81,다정소감,김혼비 (지은이) , (주)안온북스 , 2021년 11월,4.5
82,이웃집 퀴어 이반지하,이반지하 (지은이) , 문학동네 , 2021년 8월,5.0
83,모래알만 한 진실이라도,박완서 (지은이) , 세계사 , 2021년 1월,5.0
84,자기만의 방·3기니,"버지니아 울프 (지은이), 이미애 (옮긴이) ", 민음사 , 2013년 9월,4.5
85,밤이 선생이다,황현산 (지은이) , 난다 , 2014년 1월,0.0
86,전국축제자랑,"박태하, 김혼비 (지은이) ", 민음사 , 2021년 3월,4.5
87,불안의 서,"페르난두 페소아 (지은이), 배수아 (옮긴이) ", 봄날의책 , 2014년 3월,0.0
88,묘사하는 마음,김혜리 (지은이) , 마음산책 , 2022년 8월,4.5
