순위,제목,저자,출판사,출간일,별점
67,그래서 우리는 사랑을 하지,"김현, 박서련 (지은이), 무지개책갈피 (엮은이) ", 돌베개 , 2021년 4월,4.0
68,수학은 어렵지만 미적분은 알고 싶어,"요비노리 다쿠미 (지은이), 이지호 (옮긴이) ", 한즈미디어 , 2021년 7월,5.0
69,개를 훔치는 완벽한 방법 (리커버),"바바라 오코너 (지은이), 신선해 (옮긴이) ", 놀 , 2020년 1월,4.5
70,이솝 우화 전집,"이솝 (지은이), 아서 래컴 (그림), 박문재 (옮긴이) ", 현대지성 , 2020년 10월,5.0
71,고릴라는 핸드폰을 미워해,박경화 (지은이) , 북센스 , 2015년 9월,4.5
72,구미호 식당,박현숙 (지은이) , 특별한서재 , 2018년 7월,4.0
73,오백 년째 열다섯,김혜정 (지은이) , 위즈덤하우스 , 2022년 4월,5.0
74,나는 옐로에 화이트에 약간 블루 2,"브래디 미카코 (지은이), 김영현 (옮긴이) ", 다다서재 , 2022년 9월,5.0
75,유튜브에 빠진 너에게,구본권 (지은이) , 북트리거 , 2021년 8월,4.5
76,"전교 꼴찌, 270일 만에 의대생이 된 공부 비법",김현수 (지은이) , 북스고 , 2019년 11월,4.0
77,[필독서 따라잡기] 생각의 지도 (리처드 니스벳),베리타스알파 (지은이) , 베리타스알파 , 2015년 2월,0.0
78,한 권으로 끝내는 중학수학 개념83,"하지연 (지은이), 문진록 (그림), 배수경 (감수) ", 동아엠앤비 , 2019년 7월,5.0
79,미디어 리터러시 쫌 아는 10대,"금준경 (지은이), 방상호 (그림) ", 풀빛 , 2021년 11월,5.0
80,"그날, 고양이가  내게로 왔다",김중미 (지은이) , 낮은산 , 2017년 6월,5.0
81,천장형 시스템 에어컨 4way 분해 세척 메뉴얼,채일권 (지은이) , 유페이퍼 , 2022년 3월,0.0
82,허구의 삶,이금이 (지은이) , 문학동네 , 2019년 11월,5.0
83,기후 변화 쫌 아는 10대,이지유 (지은이) , 풀빛 , 2021년 8월,5.0
84,통돌이 드럼 세탁기 분해세척 메뉴얼,채일권 (지은이) , 유페이퍼 , 2022년 1월,5.0
85,[필독서 따라잡기] 도덕적 인간과 비도덕적 사회 (라인홀드 니버),베리타스알파 (지은이) , 베리타스알파 , 2015년 3월,0.0
86,영한대역 베니스의 상인 (The Merchant of Venice),"넥서스콘텐츠개발팀 (엮은이), 윌리엄 셰익스피어 (원작) ", 넥서스 , 2011년 11월,4.0
87,수학비타민 플러스 UP,박경미 (지은이) , 김영사 , 2021년 8월,5.0
88,내 인생에 힘이 되어준 한마디,정호승 (지은이) , 비채 , 2015년 4월,4.5
89,우파니샤드 : 귓속말로 전하는 지혜 - 청소년 철학창고 02,이재숙 (엮은이) , 풀빛 , 2011년 11월,4.0
90,파랑채집가,"로이스 로리 (지은이), 김옥수 (옮긴이) ", 비룡소 , 2012년 7월,4.0
91,[필독서 따라잡기] 오리엔탈리즘(에드워드 사이드),베리타스알파 편집국 (지은이) , 베리타스알파 , 2012년 3월,0.0
92,쉽게 읽는 백범일지,"김구 (지은이), 도진순 (엮은이) ", 돌베개 , 2013년 12월,5.0
93,학생이 배우고 익히는 법 17 : 무엇을 어떻게 공부할까 - 경제,리처드 샌드윅 저/이정자 역 (지은이) , 유유 , 2018년 10월,0.0
94,리바이어던 : 자유와 맞바꾼 절대 권력의 유혹 - 청소년 철학창고 18,"토마스 홉스 (지은이), 하승우 (옮긴이) ", 풀빛 , 2012년 12월,4.0
95,수학의 기쁨 혹은 가능성,김민형 (지은이) , 김영사 , 2022년 10월,5.0
96,5차원 전면교육,원동연 (지은이) , 김영사 , 2017년 7월,5.0
97,은근 몰랐던 일본 문화사,조재면 (지은이) , 블랙피쉬 , 2021년 12월,5.0
98,이과형 두뇌 활용법,"바바라 오클리 (지은이), 김아림 (옮긴이) ", 문학동네 , 2021년 3월,5.0
99,영어혁명,임성훈 (지은이) , 벤트리 , 2021년 5월,0.0
100,학생이 배우고 익히는 법 19 : 무엇을 어떻게 공부할까 - 미술,리처드 샌드윅 저/이정자 역 (지은이) , 유유 , 2018년 10월,0.0
