순위,제목,알라딘_저자,알라딘_출판사,알라딘_출간일,알라딘_별점,알라딘_장르,상명장르,알라딘_가격
"

73.  
",AWS로 시작하는 인프라 구축의 정석,"나카가키 겐지 (지은이), 김모세 (옮긴이) ", 제이펍 , 2022년 9월,4.5,좋은 부모,컴퓨터/인터넷,19600
"

74.  
",소프트웨어 아키텍처 The Hard Parts,"마크 리처즈, 닐 포드 (지은이) ", 한빛미디어 , 2022년 10월,4.0,좋은 부모,컴퓨터/인터넷,25920
"

75.  
",혼자 공부하는 첫 프로그래밍 with 파이썬,문현일 (지은이) , 한빛미디어 , 2020년 9월,4.5,좋은 부모,컴퓨터/인터넷,12240
"

76.  
",아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) , 2022년 4월,5.0,좋은 부모,컴퓨터/인터넷,14000
"

77.  
",시작하세요! C# 10 프로그래밍,정성태 (지은이) , 위키북스 , 2023년 2월,0.0,좋은 부모,컴퓨터/인터넷,25200
"

78.  
",성공하는 유튜브 채널은 따로 있다,강차분PD (지은이) , 한빛미디어 , 2023년 1월,5.0,좋은 부모,컴퓨터/인터넷,12960
"

79.  
",리팩터링 2판 (리팩토링 개정판),"마틴 파울러 (지은이), 남기혁, 개앞맵시 (옮긴이) ", 한빛미디어 , 2020년 5월,5.0,좋은 부모,컴퓨터/인터넷,25200
"

80.  
",스프링 부트와 AWS로 혼자 구현하는 웹 서비스,이동욱(향로) (지은이) , 프리렉 , 2020년 11월,4.5,좋은 부모,컴퓨터/인터넷,15400
"

81.  
",1일 1로그 100일 완성 IT 지식,"브라이언 W. 커니핸 (지은이), 하성창 (옮긴이) ", 인사이트 , 2022년 1월,5.0,좋은 부모,컴퓨터/인터넷,16000
"

82.  
",함께 자라기,김창준 (지은이) , 인사이트 , 2020년 7월,5.0,좋은 부모,컴퓨터/인터넷,10000
"

83.  
",퇴근 후 스마트스토어로 투잡하기,해밀(박하나) (지은이) , 비제이퍼블릭 , 2020년 9월,5.0,좋은 부모,컴퓨터/인터넷,22400
"

84.  
",이펙티브 타입스크립트,"댄 밴더캄 (지은이), 장원호 (옮긴이) ", 인사이트 , 2021년 11월,5.0,좋은 부모,컴퓨터/인터넷,20000
"

85.  
",된다! 하루 5분 노션 활용법,이다슬 (지은이) , 이지스퍼블리싱 (주) , 2022년 1월,5.0,좋은 부모,컴퓨터/인터넷,9500
"

86.  
",모던 자바 인 액션,"라울-게이브리얼 우르마, 마리오 푸스코, 앨런 마이크로프트 (지은이), 우정은 (옮긴이) ", 한빛미디어 , 2019년 9월,5.0,좋은 부모,컴퓨터/인터넷,24480
"

87.  
",Do it! 자바 프로그래밍 입문,박은종 (지은이) , 이지스퍼블리싱 , 2018년 8월,4.5,좋은 부모,컴퓨터/인터넷,16500
"

88.  
",레트로의 유니티 게임 프로그래밍 에센스,이제민 (지은이) , 한빛미디어 , 2022년 2월,5.0,좋은 부모,컴퓨터/인터넷,43200
"

89.  
",그림으로 이해하는 AWS 구조와 기술,"오가사와라 시게타카 (지은이), 성창규 (옮긴이) ", 길벗 , 2021년 7월,4.5,좋은 부모,컴퓨터/인터넷,14400
"

90.  
",CODE 코드,"찰스 펫졸드 (지은이), 김현규 (옮긴이) ", 인사이트 , 2020년 8월,4.5,좋은 부모,컴퓨터/인터넷,20000
"

91.  
",개발자의 글쓰기,김철수 (지은이) , 위키북스 , 2020년 7월,5.0,좋은 부모,컴퓨터/인터넷,12600
"

92.  
",진짜 하루만에 끝내는 이모티콘,정오목 (지은이) , T.W.I.G(티더블유아이지)(주) , 2021년 12월,4.5,좋은 부모,컴퓨터/인터넷,9900
"

93.  
",데이터베이스 개론,김연희 (지은이) , 한빛아카데미(교재) , 2022년 1월,0.0,좋은 부모,컴퓨터/인터넷,29000
"

94.  
",Do it! 플러터 앱 프로그래밍(개정판) : 오픈 API 활용 + 파이어베이스 + 구글 맵 + 광고 수익까지,조준수 (지은이) , 이지스퍼블리싱 (주) , 2021년 9월,5.0,좋은 부모,컴퓨터/인터넷,20000
"

95.  
",국내 최다 이모티콘 승인 작가 씨엠제이가 알려주는 승인율 99.9% 이모티콘 만들기,씨엠제이(최민정) (지은이) , 한빛미디어 , 2022년 10월,5.0,좋은 부모,컴퓨터/인터넷,10800
"

96.  
",업무와 일상을 정리하는 새로운 방법 노션 Notion,"전시진, 이해봄 (지은이) ", 제이펍 , 2022년 12월,5.0,좋은 부모,컴퓨터/인터넷,13230
"

97.  
",Do it! C 언어 입문,김성엽 (지은이) , 이지스퍼블리싱 (주) , 2017년 1월,5.0,좋은 부모,컴퓨터/인터넷,16500
"

98.  
","한 달 만에 블로그 일 방문자 수 1,000명 만들기",권호영 (지은이) , 푸른향기 , 2021년 6월,5.0,좋은 부모,컴퓨터/인터넷,10500
"

99.  
",C# 교과서,박용준 (지은이) , 길벗 , 2020년 6월,5.0,좋은 부모,컴퓨터/인터넷,21000
"

100.  
",2022 기사패스 정보처리기사 필기 기출문제 상세풀이 800제,NCS 정보기술 연구회 (지은이) , 한국정보화기술 , 2021년 12월,4.5,좋은 부모,컴퓨터/인터넷,15000
