subject,writer,publisher,date,star
2023 Win-Q 화학분석기사 필기 단기합격,박지은 (지은이) , 시대고시기획 , 2023년 3월,0
나는 오래된 거리처럼 너를 사랑하고,진은영 (지은이) , 문학과지성사 , 2022년 11월,4.5
밝은 밤,최은영 (지은이) , 문학동네 , 2021년 7월,5
모든 것은 기본에서 시작한다,손웅정 (지은이) , 수오서재 , 2022년 1월,4.5
부는 어디서 오는가,"월리스 D. 와틀스 (지은이), 이상미 (옮긴이) ", 포레스트북스 , 2022년 12월,5
진짜 쓰는 실무 엑셀,오빠두(전진권) (지은이) , 제이펍 , 2022년 9월,5
공감의 배신,"폴 블룸 (지은이), 이은진 (옮긴이) ", 시공사 , 2019년 8월,4
우리가 빛의 속도로 갈 수 없다면,김초엽 (지은이) , 허블 , 2019년 6월,4.5
그릿(50만부 판매 기념 리커버 골드에디션),"앤절라 더크워스 (지은이), 김미정 (옮긴이) ", 비즈니스북스 , 2019년 2월,4.5
"욕망의 진화 : 사랑, 연애, 섹스, 결혼 남녀의 엇갈린 욕망에 담긴 진실","데이비드 버스 (지은이), 전중환 (옮긴이) ", 사이언스북스 , 2019년 11월,4
빅터 프랭클의 죽음의 수용소에서,"빅터 프랭클 (지은이), 이시형 (옮긴이) ", 청아출판사 , 2020년 7월,4.5
조국의 법고전 산책,조국 (지은이) , 오마이북 , 2022년 12월,5
어떻게든 완성시켜드립니다,"도나 바커 (지은이), 이한이 (옮긴이) ", 위즈덤하우스 , 2023년 1월,5
옥스퍼드 오늘의 단어책,"수지 덴트 (지은이), 고정아 (옮긴이) ", 윌북 , 2023년 1월,5
해커스 첫토익 LC + RC + VOCA,해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2022년 9월,5
더 바이브 The Vibe,이하영 (지은이) , 미다스북스 , 2023년 1월,5
H마트에서 울다,"미셸 자우너 (지은이), 정혜윤 (옮긴이) ", 문학동네 , 2022년 2월,4.5
"오늘 밤, 세계에서 이 눈물이 사라진다 해도","이치조 미사키 (지은이), 김윤경 (옮긴이) ", 모모 , 2022년 8월,5
안젤리크,"기욤 뮈소 (지은이), 양영란 (옮긴이) ", 밝은세상 , 2023년 1월,4.5
살인 플롯 짜는 노파,"엘리 그리피스 (지은이), 신승미 (옮긴이) ", 나무옆의자 , 2023년 2월,4.5
정의란 무엇인가,"마이클 샌델 (지은이), 김명철 (옮긴이), 김선욱 (감수) ", 와이즈베리 , 2014년 11월,4.5
돈의 심리학,"모건 하우절, 이지연 (지은이) ", 인플루엔셜(주) , 2021년 1월,4.5
내가 틀릴 수도 있습니다,"비욘 나티코 린데블라드 (지은이), 토마스 산체스 (그림), 박미경 (옮긴이) ", 다산초당(다산북스) , 2022년 4월,4.5
클루지 : 생각의 역사를 뒤집는 기막힌 발견,최호영 (옮긴이) , 갤리온 , 2019년 7월,3.5
레버리지,"롭 무어 (지은이), 김유미 (옮긴이) ", 다산북스 , 2017년 5월,4
천문학자는 별을 보지 않는다,심채경 (지은이) , 문학동네 , 2021년 2월,4.5
사랑은 그렇게 하는 것이 아니다,김달 (지은이) , 빅피시 , 2022년 10월,5
몸이 아프다고 생각했습니다,"앨러스테어 샌트하우스 (지은이), 신소희 (옮긴이) ", 심심 , 2022년 12월,5
심령들이 잠들지 않는 그곳에서,"조나탕 베르베르 (지은이), 정혜용 (옮긴이) ", 열린책들 , 2023년 1월,4.5
동산의 샘,제시카 윤 (지은이) , 규장(규장문화사) , 2023년 2월,0
데일 카네기 자기관리론,데일 카네기 (지은이) , 현대지성 , 2021년 1월,4.5
공정하다는 착각,"마이클 샌델 (지은이), 함규진 (옮긴이) ", 와이즈베리 , 2020년 11월,4
타이탄의 도구들,"팀 페리스 (지은이), 박선령, 정지현 (옮긴이) ", 토네이도 , 2017년 4월,4
살인자의 기억법,김영하 (지은이) , 복복서가 , 2020년 8월,4.5
유리탑의 살인,"치넨 미키토 (지은이), 김은모 (옮긴이) ", 리드비 , 2023년 1월,5
해커스 토익 실전 1000제 1 RC Reading 문제집 (리딩),해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2023년 1월,0
건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 , 2022년 7월,5
타임퀘이크,"커트 보니것 (지은이), 유정완 (옮긴이) ", 문학동네 , 2023년 1월,5
인간실격 (한글판),"다자이 오사무 (지은이), 김소영 (옮긴이) ", 미르북컴퍼니 , 2013년 12월,4
거의 모든 행동 표현의 영어,서영조 (지은이) , 사람in , 2022년 3월,5
긴긴밤,루리 (지은이) , 문학동네 , 2021년 2월,5
사람을 얻는 지혜 (스페인어 원전 완역본),"발타자르 그라시안 (지은이), 김유경 (옮긴이) ", 현대지성 , 2022년 10월,5
