,알라딘_순위,제목,알라딘_저자,알라딘_출판사,알라딘_출간일,알라딘_별점,알라딘_장르,상명장르,알라딘_가격
0,"

1.  
",맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우 (지은이) , 빅피시 , 2022년 5월,5.0,요리/살림,가정/생활,"13,160"
1,"

2.  
",김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 , 2022년 1월,4.5,요리/살림,가정/생활,"13,800"
2,"

3.  
",365일 반찬 걱정 없는 책,송혜영 (지은이) , 길벗 , 2022년 12월,5.0,요리/살림,가정/생활,"21,600"
3,"

4.  
",요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 , 2023년 1월,5.0,요리/살림,가정/생활,"12,600"
4,"

5.  
",아내의 맛,김진국 (지은이) , 라이스메이커 , 2018년 10월,4.0,요리/살림,가정/생활,"11,430"
5,"

6.  
",사랑하지 않을 수 없는 달걀 요리,"쓰레즈레 하나코 (지은이), 가케히준 (그림), 조수연 (옮긴이) ", 시그마북스 , 2023년 2월,4.5,요리/살림,가정/생활,"10,500"
6,"

7.  
",세상 쉽고 맛있는 튼이 이유식,정주희 (지은이) , 서사원 , 2020년 8월,4.5,요리/살림,가정/생활,"15,400"
7,"

8.  
",공간의 위로 : 삶을 바꾸는 나만의 집,"소린 밸브스 (지은이), 윤서인 (옮긴이) ", 문예출판사 , 2014년 8월,4.5,요리/살림,가정/생활,"5,460"
8,"

9.  
",맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 비에이블 , 2020년 7월,5.0,요리/살림,가정/생활,"12,250"
9,"

10.  
","밥 챙겨 먹어요, 행복하세요",마포농수산쎈타 (지은이) , 세미콜론 , 2023년 1월,5.0,요리/살림,가정/생활,"13,800"
10,"

11.  
",채소 마스터 클래스,"백지혜 (지은이), 정멜멜 (사진) ", 세미콜론 , 2022년 3월,4.5,요리/살림,가정/생활,"16,100"
11,"

12.  
",그 여자의 섹스 : 내 남자를 위한 사랑의 기술,"이안 커너 (지은이), 전광철 (옮긴이) ", S플레이북 , 2014년 10월,4.0,요리/살림,가정/생활,"5,000"
12,"

13.  
",시니맘의 오늘도 완밥 유아식,시니맘(박지혜) (지은이) , 혜지원 , 2022년 10월,5.0,요리/살림,가정/생활,"13,650"
13,"

14.  
",진짜 기본 요리책,수퍼레시피 (지은이) , 레시피팩토리 , 2020년 12월,4.5,요리/살림,가정/생활,"13,160"
14,"

15.  
",나의 프랑스식 샐러드,이선혜 (지은이) , 브.레드(b.read) , 2020년 8월,5.0,요리/살림,가정/생활,"12,000"
15,"

16.  
",품격 있는 아내들의 남편 다루는 법,김민수 (지은이) , 북스고 , 2022년 10월,5.0,요리/살림,가정/생활,"11,900"
16,"

17.  
",똑똑하게 사랑하고 행복하게 섹스하라,배정원 (지은이) , 21세기북스 , 2014년 3월,4.0,요리/살림,가정/생활,"13,600"
17,"

18.  
",오! 이렇게 다양한 오트밀 요리,챱챱테이블 박현주 (지은이) , 레시피팩토리 , 2020년 11월,5.0,요리/살림,가정/생활,"9,660"
18,"

19.  
",커픽처스 커피 레시피 101,김현석 (지은이) , 비타북스 , 2022년 11월,5.0,요리/살림,가정/생활,"15,000"
19,"

20.  
",카페 실무 매뉴얼,신기욱 (지은이) , 클 , 2021년 6월,0.0,요리/살림,가정/생활,"21,000"
20,"

21.  
",TRUE LOVE 슬로 섹스를 위한 조언,아담 도쿠나가 (지은이) , 바닐라미디어 , 2017년 2월,0.0,요리/살림,가정/생활,"7,500"
21,"

22.  
",아메리칸 쿠키,"까망레시피, 호야 (지은이) ", 경향BP , 2022년 11월,5.0,요리/살림,가정/생활,"10,400"
22,"

23.  
",사유 식탁,"알랭 드 보통, 인생학교 (지은이), 이용재 (옮긴이) ", 오렌지디 , 2022년 12월,5.0,요리/살림,가정/생활,"26,950"
23,"

24.  
",백종원의 혼밥 메뉴,백종원 (지은이) , 서울문화사 , 2019년 5월,3.5,요리/살림,가정/생활,"7,600"
24,"

25.  
",브리첼의 감성 케이크,서귀영(브리첼) (지은이) , 북라이프 , 2021년 5월,5.0,요리/살림,가정/생활,"15,400"
25,"

26.  
",더 솥밥,이민주 (지은이) , 서사원 , 2022년 1월,5.0,요리/살림,가정/생활,"14,000"
26,"

27.  
",최성애 박사의 행복 수업,최성애 (지은이) , 해냄출판사 , 2017년 11월,4.5,요리/살림,가정/생활,"9,900"
