yes24_rank,title,yes24_writer,yes24_company,yes24_date,yes24_price,yes24_star_content,yes24_star_edit,yes24_gener,sm_gener
81,       연재   BL  온 오어 오프  완전판    크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , A1 그림                                                            , 디앤씨웹툰비즈                                        , 2020년 09월                                 ,500원,4,4,BL,문학
82,       BL  인투 더 쓰릴 Into the thrill          크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , leefail 저                                                            , 블루코드                                        , 2020년 01월                                 ,"4,200원",4,4,BL,문학
83,       대여   루비  투명한 사랑의 그릇  한정판                                 , hitomi 글그림                                                            , 현대지능개발사                                        , 2023년 02월                                 ,"1,440원",4,4,BL,문학
84,      라라의 결혼 , 타메코우 글그림                                                            , 블랑코믹스                                        , 2020년 02월                                 ,"3,780원",4,4,BL,문학
85,       BL  미필적 고의에 의한 연애사   확정적 고의에 의한 연애사                                   , 우주토깽 저                                                            , 비욘드                                        , 2019년 02월                                 ,"4,500원",4,4,BL,문학
86,       연재   BL  마도조사 , 묵향동후 원작      광풍취고당 그림 저                                                            , B Lab 비랩코믹스                                         , 2020년 09월                                 ,300원,5,5,BL,문학
87,       BL  다정도 병인 양하여                                , Fensterrahmen 저                                                            , B cafe                                        , 2017년 08월                                 ,"3,000원",4,4,BL,문학
88,       BL  향현문자                                , 채팔이 저                                                            , 필연매니지먼트                                        , 2023년 02월                                 ,"4,200원",4,4,BL,문학
89,       BL  신입사원                                   , 제크  모스카레토 저                                                            , 비욘드                                        , 2022년 06월                                 ,600원,0,0,BL,문학
90,      킬 더 라이츠 , 장량 저 밍크 글그림                                                            , 비숲                                        , 2021년 07월                                 ,500원,0,0,BL,문학
91,       BL  오메가X알파 조교일지 , 썸머린 저                                                            , 여름의BL                                        , 2021년 03월                                 ,"1,000원",4,4,BL,문학
92,       BL  와이드 오픈                                , 바크베 저                                                            , BLYNUE 블리뉴                                        , 2023년 01월                                 ,"3,600원",4,4,BL,문학
93,       연재  일요일의 위로 , 사밀 저 한우주 글그림                                                            , 대원씨아이                                        , 2022년 09월                                 ,500원,0,0,BL,문학
94,       BL  문장                                , hologramm 저                                                            , 고렘팩토리                                        , 2021년 12월                                 ,"3,700원",4,4,BL,문학
95,       세트   BL  세컨드 러브 송 Second love song   총5권    , 코르테즈 저                                                            , MANZ                                         , 2023년 02월                                 ,"14,040원",0,0,BL,문학
96,      하절기 , 이로밀 원저 절구 글 밍구르 그림                                                            , 북극여우                                        , 2022년 08월                                 ,600원,0,0,BL,문학
97,       컬러 연재  영원한 계약 , 해진 글그림                                                            , 앤드비                                        , 2021년 12월                                 ,600원,0,0,BL,문학
98,       BL  조교 실격                                   , 쇼베 저                                                            , 시크노블                                        , 2023년 01월                                 ,"3,500원",4,4,BL,문학
99,       BL  11번째 수학여행                                   , 도해늘 저                                                            , 텐북                                        , 2022년 07월                                 ,"4,200원",4,4,BL,문학
100,      스윙 배이비                                   , 무단 글그림                                                            , 북큐브네트웍스                                        , 2021년 11월                                 ,400원,0,0,BL,문학
1,       연재  스파이 패밀리 , 엔도 타츠야 글그림                                                            , 학산문화사 DCW                                        , 2020년 09월                                 ,500원,0,0,만화,문학
2,      월간 순정 노자키군 , 츠바키 이즈미 글 그림                                                            , 학산문화사                                        , 2020년 01월                                 ,"2,500원",4,4,만화,문학
3,      브링 더 러브   크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 제스트쿄 저                                                            , 서울미디어코믹스                                        , 2020년 09월                                 ,500원,4,4,만화,문학
4,      천일의 아내 시즌2 , 죠이나     0510  베리 저                                                            , GTENT                                        , 2021년 12월                                 ,500원,0,0,만화,문학
5,       연재  체인소 맨 , FUJIMOTO Tatsuki 저                                                            , 학산문화사 DCW                                        , 2020년 09월                                 ,400원,0,0,만화,문학
6,      챔프D , 챔프D편집부 저                                                            , 대원씨아이                                        , 2020년 10월                                 ,"1,000원",4,4,만화,문학
7,      진격의 거인 , Hajime Isayama 저                                                            , 학산문화사                                        , 2020년 07월                                 ,"2,500원",4,4,만화,문학
8,      명탐정 코난 , AOYAMA Gosho 저                                                            , 서울미디어코믹스 DCW                                        , 2020년 04월                                 ,"2,700원",4,4,만화,문학
9,       연재  열혈강호 , 전극진   양재현 저                                                            , 대원씨아이                                        , 2020년 09월                                 ,400원,0,0,만화,문학
10,      하이큐 , 후루다테 하루이치 글 그림                                                            , 대원                                        , 2020년 10월                                 ,"3,000원",4,4,만화,문학
11,      너에게 닿기를                                   , 카루호 시이나 글 그림                                                            , 대원씨아이 DCW                                        , 2020년 12월                                 ,"3,150원",4,4,만화,문학
12,      원피스 , 오다 에이치로 글 그림                                                            , 대원씨아이 DCW                                        , 2020년 09월                                 ,"3,000원",4,4,만화,문학
13,       연재  사신 도련님과 검은 메이드 , Koharu INOUE 저                                                            , 학산문화사 DCW                                        , 2020년 09월                                 ,200원,0,0,만화,문학
14,      자정의 B사감 , 박다연  이리 원작  저                                                            , 서울미디어코믹스                                        , 2021년 02월                                 ,500원,0,0,만화,문학
15,      명탐정 코난 범인 한자와씨 , Gosho AOYAMA  Mayuko KANBA 저                                                            , 서울미디어코믹스 DCW                                        , 2020년 07월                                 ,"2,700원",4,4,만화,문학
16,      열혈강호 , 전극진  양재현 저                                                            , 대원씨아이                                        , 2020년 05월                                 ,"2,520원",4,4,만화,문학
17,      악마에 입문했습니다  이루마 군 , Osamu Nishi 저                                                            , 서울미디어코믹스                                        , 2020년 04월                                 ,"2,700원",4,4,만화,문학
18,      동인녀의 감정 , 사나다 츠즈루 원저   선정우 역                                                             , 길찾기                                        , 2023년 02월                                 ,"4,500원",0,0,만화,문학
19,       퓨어  평범한 연애는 할 수 없어 , Mafuyu Fukita 저                                                            , GTENT                                        , 2021년 10월                                 ,500원,0,0,만화,문학
20,       미즈  제왕 상사의 엄격한 조교 , Riku Soraumi 저                                                            , 넥스큐브                                        , 2020년 10월                                 ,500원,0,0,만화,문학
21,       연재  티아라 컬러연재    크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 이윤희  카라 정은숙  김윤경  저                                                            , 서울미디어코믹스                                        , 2020년 09월                                 ,500원,0,0,만화,문학
22,      리얼 REAL  , 이노우에 타케히코 글 그림                                                            , 대원                                        , 2020년 08월                                 ,"3,500원",4,4,만화,문학
23,       고화질  붉은 여우  완전판                                    , 하마 저                                                            , 북극여우                                        , 2020년 02월                                 ,600원,0,0,만화,문학
24,       연재  진격의 거인 , Hajime Isayama 저                                                            , 학산문화사                                        , 2020년 10월                                 ,500원,0,0,만화,문학
25,      회사와 집에서 갭이 있는 아빠 , 우타카타 저                                                            , HUSH                                        , 2023년 02월                                 ,"2,700원",5,5,만화,문학
26,       연재  극주부도 , Kousuke Oono 저                                                            , 학산문화사                                        , 2021년 08월                                 ,500원,0,0,만화,문학
27,      주술회전 , Gege Akutami 저                                                            , 서울미디어코믹스 DCW                                        , 2020년 11월                                 ,"3,000원",4,4,만화,문학
28,       연재  마오 , Rumiko TAKAHASHI 저                                                            , 학산문화사 DCW                                        , 2020년 11월                                 ,400원,0,0,만화,문학
29,      체인소 맨 , FUJIMOTO Tatsuki 저                                                            , 학산문화사 DCW                                        , 2020년 10월                                 ,"3,500원",4,4,만화,문학
30,       바닐라  원나잇 모닝 , 오쿠야마 케니치 저                                                            , 바닐라                                        , 2020년 10월                                 ,"3,000원",4,4,만화,문학
31,      나의 히어로 아카데미아 , HORIKOSHI Kohei 저                                                            , 서울미디어코믹스 DCW                                        , 2020년 09월                                 ,"3,000원",4,4,만화,문학
32,      스킵 비트  , 나카무라 요시키 글 그림                                                            , 시공사                                        , 2019년 12월                                 ,"3,500원",4,4,만화,문학
33,      당신의 경험을 알려주세요   웹툰판  , Awaji Nae  저                                                            , GTENT                                        , 2020년 09월                                 ,500원,0,0,만화,문학
34,      섹시한 와이프 , 다온향   망묘   서썬썬 저                                                            , GTENT                                        , 2022년 07월                                 ,500원,0,0,만화,문학
35,      풀 하우스 , 원수연  SooYoen Won  저                                                            , 락킨코리아주식회사                                        , 2022년 02월                                 ,600원,0,0,만화,문학
36,      오란고교 호스트부                                   , BISCO HATORI 저                                                            , 학산문화사                                        , 2014년 08월                                 ,"2,500원",4,4,만화,문학
37,      스파이 패밀리 , 엔도 타츠야 글그림                                                            , 학산문화사 DCW                                        , 2020년 08월                                 ,"3,800원",4,4,만화,문학
38,       연재  펠루아 이야기 , 김연주 저                                                            , 학산문화사                                        , 2020년 09월                                 ,500원,4,4,만화,문학
39,      책임질 거지  , Minato Nishimi 저                                                            , 아이온스타                                        , 2022년 08월                                 ,720원,0,0,만화,문학
40,      사카모토 데이즈 , Yuto Suzuki 저                                                            , 대원씨아이 DCW                                        , 2022년 05월                                 ,"3,500원",4,4,만화,문학
41,      사라진 첫사랑 , Wataru Hinekure  Aruko 저                                                            , 대원씨아이 DCW                                        , 2021년 10월                                 ,"3,150원",4,4,만화,문학
42,      스바루와 스우 씨 , 타카하시 나츠코 글그림   함경미 역 저                                                            , S코믹스                                        , 2021년 05월                                 ,"3,300원",4,4,만화,문학
43,      내세에는 남남이 좋겠어 , 코니시 아스카 글그림   박소현 역 저                                                            , S코믹스                                        , 2020년 12월                                 ,"3,000원",4,4,만화,문학
44,      스킵과 로퍼 , 타카마츠 미사키 저                                                            , 시프트코믹스                                        , 2020년 12월                                 ,"3,500원",4,4,만화,문학
45,      허구추리   Invented inference                             , 시로다이라 쿄 원저   카타세 챠시바 글그림   오경화 역                                                            , 서울미디어코믹스                                        , 2020년 09월                                 ,"3,150원",4,4,만화,문학
46,      도쿄 리벤저스 , Ken Wakui 저                                                            , 학산문화사                                        , 2020년 10월                                 ,"3,000원",4,4,만화,문학
47,      문호 스트레이독스 , 아사기리 카프카 원작   하루카와 산고 그림   문기업 역 저                                                            , 노엔코믹스                                        , 2020년 02월                                 ,"3,600원",4,4,만화,문학
48,       연재  눈이 나려 꽃   크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 임해연 저                                                            , 학산문화사                                        , 2020년 09월                                 ,500원,4,4,만화,문학
49,       연재  연하 메달리스트는 한결같은 짐승 , 쿠로노 사와 저                                                            , 블랙슈가코믹스                                        , 2023년 02월                                 ,500원,0,0,만화,문학
50,      아오노 군에게 닿고 싶으니까 죽고 싶어 , 시이나 우미 저                                                            , 대원씨아이                                        , 2022년 09월                                 ,"2,700원",4,4,만화,문학
51,       연재  구름을 비추는 새벽 , 버프찌   지연 저                                                            , 대원씨아이                                        , 2022년 08월                                 ,500원,0,0,만화,문학
52,      아름다운 초저녁달 , Mika Yamamori 저                                                            , 학산문화사                                        , 2022년 05월                                 ,"3,420원",4,4,만화,문학
53,       연재  장송의 프리렌 , Kanehito YAMADA  Tsukasa ABE 저                                                            , 학산문화사 DCW                                        , 2022년 03월                                 ,400원,0,0,만화,문학
54,       고화질  나츠메 우인장 , YUKI MIDORIKAWA 저                                                            , 학산문화사                                        , 2015년 08월                                 ,"2,500원",4,4,만화,문학
55,      아르미안의 네 딸들                                , 신일숙 저                                                            , 거북이북스                                        , 2017년 12월                                 ,"2,000원",4,4,만화,문학
56,       연재  패닉시티 ,  2 C 저                                                            , 대원씨아이                                        , 2021년 12월                                 ,500원,0,0,만화,문학
57,      블루 록 , Muneyuki Kaneshiro Yusuke Nomura 저                                                            , 학산문화사                                        , 2021년 02월                                 ,"4,000원",4,4,만화,문학
58,       퓨어  몰래 사랑하는 만큼 , Tusrugi Ichiro 저                                                            , GTENT                                        , 2020년 11월                                 ,500원,0,0,만화,문학
59,       미즈  부장님의 밤기술이 굉장해서 떨려요 , Akira Ohtsuka 저                                                            , 넥스큐브                                        , 2020년 09월                                 ,500원,0,0,만화,문학
60,       연재  아가씨는 벌 받는 걸 좋아해 , Monaka MORINAKA 저                                                            , DCW                                        , 2020년 04월                                 ,400원,0,0,만화,문학
61,       고화질  처음 사랑에 빠진 날 읽는 이야기 , Aki Mochida 저                                                            , 서울미디어코믹스 DCW                                        , 2019년 12월                                 ,"3,000원",4,4,만화,문학
62,       연재  길티 이노센스 , 윤한 저                                                            , 대원씨아이                                        , 2020년 10월                                 ,400원,4,4,만화,문학
63,       연재  괴수 8호 , Naoya Matsumoto 저                                                            , 서울미디어코믹스 DCW                                        , 2020년 10월                                 ,400원,0,0,만화,문학
64,       고화질   퓨어  당신의 경험을 알려주세요   일반판  , Awaji Nae 저                                                            , GTENT                                        , 2019년 05월                                 ,500원,0,0,만화,문학
65,      모브사이코 100                                   , ONE 글 그림   서현아 역                                                            , 학산문화사                                        , 2019년 03월                                 ,"3,000원",4,4,만화,문학
66,      골든 카무이 , NODA Satoru 저                                                            , 대원씨아이 DCW                                        , 2020년 09월                                 ,"2,700원",4,4,만화,문학
67,      전당포 시노부의 보석상자 , 니노미야 토모코 글 그림                                                            , 대원                                        , 2020년 09월                                 ,"2,700원",4,4,만화,문학
68,      야쿠자의 덕질 , 아츠다 테키 글그림   박연지 역  저                                                            , S코믹스                                        , 2022년 10월                                 ,"3,800원",4,4,만화,문학
69,       연재  귀멸 학원  , Koyoharu Gotouge  Natsuki Hokami 저                                                            , 학산문화사 DCW                                        , 2021년 12월                                 ,300원,0,0,만화,문학
70,      새벽의 연화 , MIZUHO KUSANAGI 저                                                            , 학산문화사                                        , 2015년 07월                                 ,"2,500원",4,4,만화,문학
71,      꽃보다 남자  완전판                                    , Yoko Kamio 저                                                            , 서울미디어코믹스 DCW                                        , 2015년 08월                                 ,500원,2,3,만화,문학
72,       고화질  헌터X헌터 신장판 , TOGASHI Yoshihiro 저                                                            , 학산문화사 DCW                                        , 2020년 06월                                 ,"2,700원",4,4,만화,문학
73,      몸이 사랑하는 계약 결혼 , 이치 저                                                            , 아이온스타                                        , 2022년 05월                                 ,450원,0,0,만화,문학
74,      스튜디오 카바나 , 우마 아구리 저                                                            , 시프트코믹스                                        , 2022년 05월                                 ,"3,150원",5,5,만화,문학
75,      잘 모르겠지만 이세계에 전생한 것 같습니다 , 우치우치 케야키 저                                                            , AK 커뮤니케이션즈                                        , 2022년 01월                                 ,"3,000원",4,4,만화,문학
76,      데스노트                                   , 오바 츠쿠미 글   오바타 타케시 그림 저                                                            , 대원씨아이 DCW                                        , 2014년 10월                                 ,"3,000원",4,4,만화,문학
77,      오늘부터 신령님                                   , JULIETTA SUZUKI 저                                                            , 학산문화사                                        , 2015년 11월                                 ,"2,500원",4,4,만화,문학
78,       연재  단다단 , Yukinobu Tatsu 저                                                            , 대원씨아이 DCW                                        , 2021년 08월                                 ,400원,0,0,만화,문학
79,      학원 베이비시터즈 단행본  , HARI TOKEINO 저                                                            , 서울미디어코믹스                                        , 2017년 05월                                 ,"2,250원",4,4,만화,문학
80,       연재  허니 레몬 소다 , MURATA Mayu 저                                                            , DCW                                        , 2021년 03월                                 ,400원,0,0,만화,문학
81,       연재  티아라 컬러연재    크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 이윤희  카라 정은숙  김윤경  저                                                            , 서울미디어코믹스                                        , 2020년 09월                                 ,500원,0,0,만화,문학
82,      리얼 REAL  , 이노우에 타케히코 글 그림                                                            , 대원                                        , 2020년 08월                                 ,"3,500원",4,4,만화,문학
83,       고화질  붉은 여우  완전판                                    , 하마 저                                                            , 북극여우                                        , 2020년 02월                                 ,600원,0,0,만화,문학
84,       연재  진격의 거인 , Hajime Isayama 저                                                            , 학산문화사                                        , 2020년 10월                                 ,500원,0,0,만화,문학
85,      회사와 집에서 갭이 있는 아빠 , 우타카타 저                                                            , HUSH                                        , 2023년 02월                                 ,"2,700원",5,5,만화,문학
86,       연재  극주부도 , Kousuke Oono 저                                                            , 학산문화사                                        , 2021년 08월                                 ,500원,0,0,만화,문학
87,      주술회전 , Gege Akutami 저                                                            , 서울미디어코믹스 DCW                                        , 2020년 11월                                 ,"3,000원",4,4,만화,문학
88,       연재  마오 , Rumiko TAKAHASHI 저                                                            , 학산문화사 DCW                                        , 2020년 11월                                 ,400원,0,0,만화,문학
89,      체인소 맨 , FUJIMOTO Tatsuki 저                                                            , 학산문화사 DCW                                        , 2020년 10월                                 ,"3,500원",4,4,만화,문학
90,       바닐라  원나잇 모닝 , 오쿠야마 케니치 저                                                            , 바닐라                                        , 2020년 10월                                 ,"3,000원",4,4,만화,문학
91,      나의 히어로 아카데미아 , HORIKOSHI Kohei 저                                                            , 서울미디어코믹스 DCW                                        , 2020년 09월                                 ,"3,000원",4,4,만화,문학
92,      스킵 비트  , 나카무라 요시키 글 그림                                                            , 시공사                                        , 2019년 12월                                 ,"3,500원",4,4,만화,문학
93,      당신의 경험을 알려주세요   웹툰판  , Awaji Nae  저                                                            , GTENT                                        , 2020년 09월                                 ,500원,0,0,만화,문학
94,      섹시한 와이프 , 다온향   망묘   서썬썬 저                                                            , GTENT                                        , 2022년 07월                                 ,500원,0,0,만화,문학
95,      풀 하우스 , 원수연  SooYoen Won  저                                                            , 락킨코리아주식회사                                        , 2022년 02월                                 ,600원,0,0,만화,문학
96,      오란고교 호스트부                                   , BISCO HATORI 저                                                            , 학산문화사                                        , 2014년 08월                                 ,"2,500원",4,4,만화,문학
97,      스파이 패밀리 , 엔도 타츠야 글그림                                                            , 학산문화사 DCW                                        , 2020년 08월                                 ,"3,800원",4,4,만화,문학
98,       연재  펠루아 이야기 , 김연주 저                                                            , 학산문화사                                        , 2020년 09월                                 ,500원,4,4,만화,문학
99,      책임질 거지  , Minato Nishimi 저                                                            , 아이온스타                                        , 2022년 08월                                 ,720원,0,0,만화,문학
100,      사카모토 데이즈 , Yuto Suzuki 저                                                            , 대원씨아이 DCW                                        , 2022년 05월                                 ,"3,500원",4,4,만화,문학
1,      내가 키운 S급들 , 근서 저                                                            , 제이플러스                                        , 2020년 05월                                 ,"3,500원",4,4,판타지 무협,문학
2,      장침 먹는 깡촌 명의                                , 가프 저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0,판타지 무협,문학
3,      진혼기                                   , 정연 저                                                            , 레드독퍼블리싱그룹                                        , 2021년 12월                                 ,"3,200원",4,4,판타지 무협,문학
4,      대한제국 3077                                , 침략자 저                                                            , KW북스                                        , 2022년 12월                                 ,"3,200원",0,0,판타지 무협,문학
5,      철혈의 재벌                                , 전장범 저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0,판타지 무협,문학
6,      시스템으로 방송천재                                   , 킴호놀 저                                                            , 문피아                                        , 2022년 01월                                 ,"3,200원",0,0,판타지 무협,문학
7,      재벌 매니지먼트                                   , 필로스 저                                                            , Arete                                        , 2018년 08월                                 ,"1,000원",4,4,판타지 무협,문학
8,      임기 첫날에 게이트가 열렸다                                , 피아조아 저                                                            , KW북스                                        , 2022년 12월                                 ,"3,200원",0,0,판타지 무협,문학
9,      내가 투자하면 다 오른다                                , 자유RO 저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0,판타지 무협,문학
10,      재벌집 막내아들                                   , 산경 저                                                            , JHS BOOKS                                        , 2022년 03월                                 ,"3,000원",4,4,판타지 무협,문학
11,      절대군림                                   , 장영훈 저                                                            , JHS BOOKS                                        , 2017년 04월                                 ,"1,000원",3,3,판타지 무협,문학
12,      달빛조각사 , 남희성 저                                                            ,  인타임                                        , 2020년 06월                                 ,"3,300원",4,4,판타지 무협,문학
13,      바람과 별무리 , 흰콩 저                                                            , 에피루스                                        , 2020년 08월                                 ,"2,500원",4,4,판타지 무협,문학
14,       대여   세트  의술의 신  총12권    , 태윤 저                                                            , 넥스트레벨 스튜디오                                        , 2022년 12월                                 ,"7,920원",0,0,판타지 무협,문학
15,      운룡대팔식                                , 설경구 저                                                            , KW북스                                        , 2022년 12월                                 ,"3,200원",0,0,판타지 무협,문학
16,       대여   세트  빙혼전기  총8권    , 악휘 저                                                            , LINE                                        , 2019년 11월                                 ,"3,780원",0,0,판타지 무협,문학
17,       연재  이혼 후 각성하다                                , 동주 저                                                            , 고렘팩토리                                        , 2023년 01월                                 ,100원,0,0,판타지 무협,문학
18,      회귀한 마왕은 착하게 산다                                , 배고픈판다 저                                                            , NEW EPISODE                                        , 2022년 10월                                 ,"3,200원",0,0,판타지 무협,문학
19,      룬의 아이들   윈터러 완전판                                   , 전민희 저 저                                                            , 14월의책                                        , 2019년 09월                                 ,"6,800원",4,4,판타지 무협,문학
20,      군림천하                                , 용대운 저                                                            ,  인타임                                        , 2019년 10월                                 ,"3,200원",4,4,판타지 무협,문학
21,      나 혼자만 레벨업                                   , 추공 저                                                            , 파피루스 디앤씨미디어                                         , 2019년 07월                                 ,"3,200원",4,4,판타지 무협,문학
22,      환생부터 재벌까지                                   , 서야     저                                                            , KW북스                                        , 2018년 09월                                 ,"3,000원",0,0,판타지 무협,문학
23,      신의 코더                                , 구라백작 저                                                            , 몬스터                                        , 2023년 02월                                 ,"3,200원",0,0,판타지 무협,문학
24,       대여   세트  대한제국의 수도는 만주로 정한다  총8권    , 박명의하늘 저                                                            , 판타지존                                        , 2023년 01월                                 ,"5,040원",0,0,판타지 무협,문학
25,       대여   세트  역사 속 무기상이 되었다  총10권    , 쿤타세계관 저                                                            , 알에스미디어                                        , 2023년 02월                                 ,"6,480원",0,0,판타지 무협,문학
26,      스킬 무한의 만능 제작자                                , 테리빈스 저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0,판타지 무협,문학
27,      구양세가 역대급 천재 망나니                                , 신유     저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0,판타지 무협,문학
28,       대여   세트  철혈의 재벌  총21권    , 전장범 저                                                            , 문피아                                        , 2023년 01월                                 ,"16,200원",0,0,판타지 무협,문학
29,       대여   세트  내 부하들이 미친 듯이 유능하다  총9권    , NoCount 저                                                            , 에이템포미디어                                        , 2019년 06월                                 ,"5,040원",0,0,판타지 무협,문학
30,       대여   세트  현대 마법사는 천재  총7권    , 앗싸이다 저                                                            , 에이시스미디어                                        , 2023년 01월                                 ,"4,320원",0,0,판타지 무협,문학
31,      낙하산이 그렇게 일을 잘한다고                                 , 파셔 저                                                            , 제이플러스                                        , 2022년 09월                                 ,"2,500원",3,4,판타지 무협,문학
32,      천외천의 주인                                , 한수오 저                                                            , 로크미디어                                        , 2023년 02월                                 ,"3,200원",0,0,판타지 무협,문학
33,      현질하는 영주님                                 , 두파치타파 저                                                            , 문피아                                        , 2023년 01월                                 ,"3,200원",0,0,판타지 무협,문학
34,      농사로 이계 평정                                , 마실물 저                                                            , JC미디어                                        , 2023년 01월                                 ,"3,200원",0,0,판타지 무협,문학
35,      그림이 제일 쉬움                                   , 붐붐파우 저                                                            , 에이시스미디어                                        , 2023년 01월                                 ,"3,200원",3,4,판타지 무협,문학
36,      강철대제                                   , 강찬 저                                                            , 넥스트레벨 스튜디오                                        , 2022년 12월                                 ,"3,200원",0,0,판타지 무협,문학
37,      전천후 연예생활백서                                   , 자경 저                                                            , 문피아                                        , 2022년 03월                                 ,"3,200원",4,4,판타지 무협,문학
38,       세트  재벌집 막내아들  총13권    , 산경 저                                                            , JHS BOOKS                                        , 2022년 03월                                 ,"36,000원",4,4,판타지 무협,문학
39,       연재  이세계의 정령사가 되었다                                   , 심예준 저                                                            , 고렘팩토리                                        , 2022년 04월                                 ,100원,0,0,판타지 무협,문학
40,      절대마신  개정판                                    , 장영훈 저                                                            , JHS BOOKS                                        , 2017년 04월                                 ,"1,000원",3,3,판타지 무협,문학
41,      환생천마                                   , 장영훈 저                                                            , JHS BOOKS                                        , 2017년 08월                                 ,"1,000원",4,3,판타지 무협,문학
42,      기레기와 함께하는 연예계 생활                                , 피제이 저                                                            , 라온E M                                        , 2021년 11월                                 ,"3,000원",4,4,판타지 무협,문학
43,      경영의 귀재                                   , 김종혁 저                                                            , Arete                                        , 2017년 11월                                 ,"1,000원",3,3,판타지 무협,문학
44,      하얀 늑대들                                   , 윤현승 저                                                            , 제우미디어                                        , 2015년 08월                                 ,"5,600원",4,4,판타지 무협,문학
45,      별바람을 걷는 소녀                                , 박이수 저                                                            , 북큐브                                        , 2014년 04월                                 ,"1,000원",4,4,판타지 무협,문학
46,      아르헬                                   , 이상혁 저                                                            , 데일리북스                                        , 2017년 02월                                 ,"2,500원",0,0,판타지 무협,문학
