yes24_rank,title,yes24_writer,yes24_company,yes24_date,yes24_price,yes24_star_content,yes24_star_edit,yes24_gener,sm_gener
47,      비싼 놈                                   , 얀소흔 저                                                            , 이브                                        , 2023년 02월                                 ,"3,500원",4,4,로맨스,문학
48,      악녀의 문구점에 오지 마세요                                 , 여로은 저                                                            , 연담                                        , 2023년 02월                                 ,"3,600원",4,4,로맨스,문학
49,      겨울 바다에 눈이 내리면                                , 복희씨 저                                                            , 피플앤스토리                                        , 2023년 02월                                 ,"1,350원",4,4,로맨스,문학
50,      형부에게 박히는 밤                                , 경조사매니아 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,900원,0,0,로맨스,문학
51,       세트  별채에는 불이 꺼지지 않는다  외전 포함   총4권    , 정은동 저                                                            , 텐북                                        , 2022년 08월                                 ,"10,800원",3,3,로맨스,문학
52,      나는 네가 애틋하지 않았다                                   , 조민혜 저                                                            , 동슬미디어                                        , 2021년 01월                                 ,"2,970원",4,4,로맨스,문학
53,      무인도의 남자들                                , 진리타 저                                                            , 텐북                                        , 2023년 01월                                 ,"1,200원",4,4,로맨스,문학
54,      자극질                                   , 블랙라엘 저                                                            , 리얼라엘                                        , 2023년 01월                                 ,"2,600원",4,4,로맨스,문학
55,      맴맴                                   , 서단 저                                                            , SOME                                        , 2022년 12월                                 ,"4,000원",4,4,로맨스,문학
56,      야누스의 밤                                   , 베리바 저                                                            , 도서출판 쉼표                                        , 2022년 10월                                 ,"3,400원",4,4,로맨스,문학
57,      강산미인모                                , 수당     저  연운 역 저                                                            , 답인                                            , 2023년 02월                                 ,"3,000원",0,0,로맨스,문학
58,      오늘부터 천생연분                                   , 노승아 저                                                            , 가하                                        , 2023년 02월                                 ,"3,420원",5,5,로맨스,문학
59,      알파와 오메가의 역학                                , 탁경 저                                                            , 크레센도                                        , 2023년 02월                                 ,"2,970원",4,4,로맨스,문학
60,      나이트폴 Nightfall                                    , 마호가니 저                                                            , 텐북                                        , 2022년 08월                                 ,"3,500원",4,4,로맨스,문학
61,      소프트코어 필름 Softcore Film                                    , 오로지 저                                                            , 에피루스                                        , 2023년 01월                                 ,"3,500원",4,4,로맨스,문학
62,      튜린의 릴리엔                                , 나유혜 저                                                            , 연담                                        , 2022년 12월                                 ,"3,400원",4,4,로맨스,문학
63,      레이디 번견의 하룻밤 실수                                   , 참새대리 저                                                            , 에클라                                        , 2022년 10월                                 ,"3,200원",4,4,로맨스,문학
64,      드래곤 영주님의 초야권                                , 스파티 저                                                            , 다카포                                        , 2023년 02월                                 ,"2,790원",4,4,로맨스,문학
65,      파파                                , 마뇽 저                                                            , 텐북                                        , 2023년 01월                                 ,"1,800원",0,0,로맨스,문학
66,      남자는 지치지도 않았다                                , 시크 저                                                            , 피플앤스토리                                        , 2023년 02월                                 ,"3,500원",4,4,로맨스,문학
67,      개는 주인이 필요하다                                   , 이고 저                                                            , 위즈덤하우스                                        , 2022년 09월                                 ,"3,300원",4,4,로맨스,문학
68,      나쁜 말이 취향이라                                , 크림치즈 저                                                            , 와이엠북스                                        , 2023년 01월                                 ,"2,880원",4,4,로맨스,문학
69,      오빠 친구인 거 몰랐어                                 , 요안나 저                                                            ,  Renee                                        , 2023년 02월                                 ,"3,500원",4,4,로맨스,문학
70,      습첩                                   , 반민초 저                                                            , Renee                                        , 2023년 02월                                 ,"3,000원",4,4,로맨스,문학
71,      베이비시터                                , 진리타 저                                                            , 텐북                                        , 2022년 11월                                 ,"1,000원",4,4,로맨스,문학
72,      랭킹 1위를 영혼까지 털어버림                                   , 술푸레나무 저                                                            , CL프로덕션                                        , 2022년 06월                                 ,"2,900원",4,4,로맨스,문학
73,      메리 배드 엔딩을 위한 공략집                                   , 프레티아 저                                                            , 메피스토                                        , 2021년 05월                                 ,"5,000원",4,4,로맨스,문학
74,      그 손 잡아도 될까요                                   , 꽃마리엠 저                                                            , 블랙피치                                        , 2023년 02월                                 ,"2,300원",0,0,로맨스,문학
75,      부적절한 소유  19금 개정판                                    , 아라 ARA  저                                                            , 스칼렛                                        , 2022년 11월                                 ,"2,900원",4,4,로맨스,문학
76,      이번 생은 가주가 되겠습니다                                   , 김로아 저                                                            , 디앤씨북스                                        , 2022년 11월                                 ,"3,500원",4,4,로맨스,문학
77,      만추 여관                                   , 박영 저                                                            , 나인                                        , 2021년 07월                                 ,"4,500원",4,4,로맨스,문학
78,      옷소매 붉은 끝동                                   , 강미강 저                                                            , 도서출판 청어람                                        , 2017년 06월                                 ,"2,800원",4,4,로맨스,문학
79,      뜻대로 하소서                                , 강곰곰 저                                                            , 텐북                                        , 2021년 07월                                 ,"3,000원",4,4,로맨스,문학
80,      그림자 없는 밤                                   , 김미유 저                                                            , 제로노블                                        , 2021년 06월                                 ,"4,050원",4,4,로맨스,문학
81,      영웅은 몸으로 구원한다                                   , 프레티아 저                                                            , 윈썸                                        , 2022년 11월                                 ,"5,500원",4,4,로맨스,문학
82,      12시의 신데렐라                                   , 백우시 저                                                            , 필                                        , 2023년 02월                                 ,"3,400원",4,4,로맨스,문학
83,      테라피스트                                , 진리타 저                                                            , 텐북                                        , 2023년 01월                                 ,"1,000원",3,3,로맨스,문학
