rank,genre,title,writer,company,date,price,star_content,star_edit
44,로맨스, eBook    쓰레기 상황극 파트너들 EPUB                              , 금단 저                                                            , 로튼로즈                                        , 2022년 12월                                 ,"2,790원",3,3
45,로맨스, eBook    알파와 오메가의 역학 EPUB                              , 탁경 저                                                            , 크레센도                                        , 2023년 02월                                 ,"2,970원",4,4
46,로맨스, eBook    무인도의 남자들 EPUB                              , 진리타 저                                                            , 텐북                                        , 2023년 01월                                 ,"1,200원",4,4
47,로맨스, eBook    트위스트 러브 EPUB                              , 얍스 저                                                            , 동아                                        , 2023년 02월                                 ,"2,700원",4,4
48,로맨스, eBook    나쁜 말이 취향이라 EPUB                              , 크림치즈 저                                                            , 와이엠북스                                        , 2023년 01월                                 ,"2,880원",4,4
49,로맨스, eBook    옥당금규 , 한청낙화 저                                                            , 답인                                            , 2023년 02월                                 ,"4,400원",0,0
50,로맨스, eBook    아내 중독 EPUB  완결                              , 이사과 저                                                            , 툰플러스                                        , 2023년 02월                                 ,"3,150원",4,4
51,로맨스, eBook    미끌미끌 배태기 EPUB                              , 바닥젤리 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,900원,0,0
52,로맨스, eBook    소꿉친구 공략기 EPUB                              , 곽두팔 저                                                            , 미스틱레드                                        , 2022년 09월                                 ,"3,200원",4,4
53,로맨스, eBook    여동생의 구멍 막아주기 EPUB                              , 마라맛슈가 저                                                            , 로튼로즈                                        , 2022년 12월                                 ,"1,000원",4,4
54,로맨스, eBook    품격을 배반한다 EPUB  완결                              , 김빠 저                                                            , 로즈엔                                        , 2022년 08월                                 ,"3,200원",4,4
55,로맨스, eBook    악역 소녀는 사랑받기가 부끄러워요 EPUB  완결                              , 류희온 저                                                            , 크레센도                                        , 2022년 07월                                 ,"4,000원",4,4
56,로맨스, eBook    앙상한 요람 EPUB                              , 쪼인트 저                                                            , 에피루스                                        , 2022년 04월                                 ,"3,300원",4,4
57,로맨스, eBook    메리 배드 엔딩을 위한 공략집 EPUB  완결                              , 프레티아 저                                                            , 메피스토                                        , 2021년 05월                                 ,"5,000원",4,4
58,로맨스, eBook    공포게임 메이드로 살아남기 EPUB  완결                              , 김욤   저                                                            , 서커스                                        , 2021년 04월                                 ,"4,320원",4,4
59,로맨스, eBook    계략 후배 EPUB                              , 이리안 저                                                            , 레드립                                        , 2023년 02월                                 ,"1,530원",0,0
60,로맨스, eBook     세트  처음부터 끝까지  총2권 완결  , 서우진 저                                                            , 로아                                        , 2023년 02월                                 ,"5,940원",4,4
61,로맨스, eBook    나는 네가 애틋하지 않았다 EPUB  완결                              , 조민혜 저                                                            , 동슬미디어                                        , 2021년 01월                                 ,"2,970원",4,4
62,로맨스, eBook    회사를 다닙시다 EPUB                              , 우지혜 저                                                            , 플로레뜨                                        , 2022년 10월                                 ,"3,500원",4,4
63,로맨스, eBook    나이트폴 Nightfall  EPUB  완결                              , 마호가니 저                                                            , 텐북                                        , 2022년 08월                                 ,"3,500원",4,4
64,로맨스, eBook    교수님께 A 을 받기 위해서 EPUB                              , 탱글탱글 저                                                            , 로튼로즈                                        , 2023년 01월                                 ,"1,000원",4,4
65,로맨스, eBook    물어뜯는 사이 EPUB  완결                              , 연초 저                                                            , 에이블                                        , 2023년 01월                                 ,"3,300원",4,4
66,로맨스, eBook    아몬   헤아릴 수 없는 EPUB                              , 피숙혜 저                                                            , 플로린                                        , 2022년 12월                                 ,"2,800원",4,4
67,로맨스, eBook    연분 EPUB                              , 춈춈 저                                                            , 밀리오리지널                                        , 2022년 12월                                 ,"2,000원",4,4
68,로맨스, eBook    튜린의 릴리엔 EPUB                              , 나유혜 저                                                            , 연담                                        , 2022년 12월                                 ,"3,400원",4,4
69,로맨스, eBook    어나더 원 Another One  EPUB  완결                              , apom 저                                                            , 동아                                        , 2022년 11월                                 ,"3,000원",4,4
70,로맨스, eBook    이번 생은 가주가 되겠습니다 EPUB  완결                              , 김로아 저                                                            , 디앤씨북스                                        , 2022년 11월                                 ,"3,500원",4,4
71,로맨스, eBook    야누스의 밤 EPUB  완결                              , 베리바 저                                                            , 도서출판 쉼표                                        , 2022년 10월                                 ,"3,400원",4,4
72,로맨스, eBook    딜레탕트 Dilettante  삽화본  EPUB  완결                              , 진소예 저                                                            , 윤송스피넬                                        , 2022년 04월                                 ,"3,100원",4,4
73,로맨스, eBook    흐르는 물은 썩지 않는다 EPUB                              , 몽슈 저                                                            , 텐북                                        , 2021년 12월                                 ,"3,500원",4,4
74,로맨스, eBook    환절기 EPUB  완결  eBook 크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 민혜윤 저                                                            , 신영미디어                                        , 2020년 07월                                 ,"3,600원",4,4
75,로맨스, eBook    음란한 바다4  쾌락의 중심  EPUB                              , Cell lab 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,900원,4,4
76,로맨스, eBook    겨울 바다에 눈이 내리면 EPUB                              , 복희씨 저                                                            , 피플앤스토리                                        , 2023년 02월                                 ,"1,350원",4,4
77,로맨스, eBook    형부에게 박히는 밤 EPUB                              , 경조사매니아 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,900원,0,0
78,로맨스, eBook     세트  미아  외전 포함   총2권 완결  , 도개비 저                                                            , 봄미디어                                        , 2020년 01월                                 ,"4,500원",4,4
79,로맨스, eBook    위험한 포식자  삽화본  EPUB  완결                              , 앙앙 저                                                            , 로아                                        , 2023년 02월                                 ,"3,000원",4,4
80,로맨스, eBook    습첩 EPUB  완결                              , 반민초 저                                                            , Renee                                        , 2023년 02월                                 ,"3,000원",4,4
81,로맨스, eBook    마네킹 365 EPUB                              , 황금뽀찌 저                                                            , 누아르                                        , 2023년 02월                                 ,990원,0,0
82,로맨스, eBook    그 겨울의 순정 EPUB  완결                              , 채은 저                                                            , 텐북                                        , 2022년 05월                                 ,"4,500원",4,4
83,로맨스, eBook    여름의 밀도 EPUB                              , 채랑비 저                                                            , SOME                                        , 2023년 02월                                 ,"3,690원",4,4
84,로맨스, eBook    테라피스트 EPUB                              , 진리타 저                                                            , 텐북                                        , 2023년 01월                                 ,"1,000원",3,3
85,로맨스, eBook    내게 빌어봐 EPUB  완결                              , 리베냐 저                                                            , 마담드디키                                        , 2022년 07월                                 ,"5,200원",4,4
86,로맨스, eBook    아가씨의 산란 1부 EPUB                              , 율다 저                                                            , 로튼로즈                                        , 2023년 01월                                 ,"1,000원",4,4
87,로맨스, eBook    새장 속의 딸 EPUB                              , 진수성찬 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,"2,700원",3,3
88,로맨스, eBook    강산미인모 EPUB                              , 수당     저  연운 역 저                                                            , 답인                                            , 2023년 02월                                 ,"3,000원",0,0
89,로맨스, eBook     세트  시한부 연인과 비혼 생활 중입니다  총6권 완결  , 연서나 저                                                            , 필연매니지먼트                                        , 2023년 02월                                 ,"17,820원",0,0
90,로맨스, eBook    레이디 번견의 하룻밤 실수 EPUB  완결                              , 참새대리 저                                                            , 에클라                                        , 2022년 10월                                 ,"3,200원",4,4
91,로맨스, eBook    실버 트리 EPUB  완결                              , 윤소리 저                                                            , 퀸즈셀렉션                                        , 2022년 09월                                 ,"3,200원",4,4
92,로맨스, eBook    드래곤 영주님의 초야권 EPUB                              , 스파티 저                                                            , 다카포                                        , 2023년 02월                                 ,"2,790원",4,4
93,로맨스, eBook    남자는 지치지도 않았다 EPUB                              , 시크 저                                                            , 피플앤스토리                                        , 2023년 02월                                 ,"3,500원",4,4
94,로맨스, eBook    논 트리거 EPUB  완결                              , 몽슈 저                                                            , 플로린                                        , 2022년 03월                                 ,"4,050원",4,4
95,로맨스, eBook    다정한 함정 EPUB                              , 허도윤 저                                                            , 이지콘텐츠                                        , 2023년 02월                                 ,"3,600원",0,0
96,로맨스, eBook    나의 아빠 , 탱글탱글 저                                                            , 로튼로즈                                        , 2022년 12월                                 ,"1,000원",3,3
97,로맨스, eBook    마지막 여행이 끝나면 EPUB  완결                              , 하늘가리기 저                                                            , 피오렛                                        , 2021년 06월                                 ,"3,700원",4,4
98,로맨스, eBook    오빠 친구인 거 몰랐어  EPUB                              , 요안나 저                                                            ,  Renee                                        , 2023년 02월                                 ,"3,500원",4,4
99,로맨스, eBook    이 결혼은 어차피 망하게 되어 있다 EPUB  완결                              , 김차차 저                                                            , 서커스                                        , 2021년 05월                                 ,"6,660원",4,4
100,로맨스, eBook    비싼 놈 EPUB  완결                              , 얀소흔 저                                                            , 이브                                        , 2023년 02월                                 ,"3,500원",4,4
