rank,genre,title,writer,company,date,price,star_content,star_edit
86,라이트노벨, eBook    아무래도 제 몸은 완전무적인 것 같아요 , 챠츠후사 저   후미 그림   박춘상 역                                                            , S노벨 플러스                                        , 2021년 06월                                 ,"7,000원",5,5
87,라이트노벨, eBook    하이큐   소설판 , 호시 키요코 저   후루다테 하루이치 원저   양혜석 역                                                            , 대원씨아이 DCW                                        , 2021년 05월                                 ,"5,000원",4,4
88,라이트노벨, eBook    어서 오세요 실력지상주의 교실에 2학년 편 , 키누가사 쇼고 저   토모세   사쿠 그림   조민정 역                                                            , S노벨                                        , 2021년 03월                                 ,"5,000원",5,5
89,라이트노벨, eBook    노 게임 노 라이프   게이머 남매는 한 턴 쉬겠다는데요                             , 카미야 유우  저                                                            , 노블엔진                                        , 2018년 07월                                 ,"5,000원",4,4
90,라이트노벨, eBook    아콰터파나 EPUB  완결                              , 서지현 저                                                            , 노블오즈                                        , 2016년 07월                                 ,"3,000원",4,4
91,라이트노벨, eBook    후궁의 까마귀 , Kouko Shirakawa 저                                                            , 제이노블 퍼플                                        , 2020년 11월                                 ,"3,500원",4,4
92,라이트노벨, eBook    이세계는 스마트폰과 함께 , 후유하라 파토라 저   우사츠카 에이지 그림 저                                                            , 노블엔진                                        , 2020년 08월                                 ,"7,000원",4,4
93,라이트노벨, eBook    이세계 요리의 길  , EDA 저   코치모 그림   이정민 역                                                            , 소미미디어                                        , 2020년 05월                                 ,"7,000원",4,4
94,라이트노벨, eBook    악역 영애이기 때문에 최종 보스를 길러보았습니다 , Sarasa Nagase 저                                                            , 제이노블 퍼플                                        , 2020년 05월                                 ,"3,150원",4,4
95,라이트노벨, eBook    가챠를 돌려 동료를 늘리고 최강의 미소녀 군단을 만들자 , 청쿠루리 글   이세카와 야스타카 그림   강유정 역                                                            , S노벨 플러스                                        , 2020년 06월                                 ,"7,000원",4,4
96,라이트노벨, eBook    Re   제로부터 시작하는 이세계 생활   율리우스 기행기                             , 나가츠키 탓페이 저   오츠카 신이치로 그림   정홍식 역                                                            , 노블엔진                                        , 2020년 09월                                 ,"5,000원",4,4
97,라이트노벨, eBook    거미입니다만  문제라도  , 바바 오키나 저   키류 츠카사 그림   김성래 역                                                            , 디앤씨미디어 D C미디어                                         , 2020년 09월                                 ,"7,000원",4,4
98,라이트노벨, eBook    신은 유희에 굶주려있다  , 사자네 케이 저   토모세 토이로 그림   김덕진 역                                                            , 엘노벨                                        , 2023년 02월                                 ,"4,950원",0,0
99,라이트노벨, eBook     묶음  대장간에서 시작하는 이세계 슬로 라이프  총2권 미완결  , 타마마루 저                                                            , 시프트노벨                                        , 2022년 12월                                 ,"12,000원",0,0
100,라이트노벨, eBook     세트  용사상호조합 교류형게시판  총3권 완결  , 오케무라 저   KASEN 그림 저                                                            , 노블엔진                                        , 2017년 08월                                 ,"10,780원",0,0
