rank,genre,title,writer,company,date,price,star_content,star_edit
41,BL, eBook     BL  네 뺨에서 사과 향기가 나 EPUB                              , 체심 저                                                            , 라비앙                                        , 2023년 02월                                 ,"3,300원",4,4
42,BL, eBook     BL  유언 때문에 죽는 건 잠깐 미뤘습니다 EPUB  완결                              , 소림 저                                                            , 비욘드                                        , 2022년 12월                                 ,"3,200원",4,4
43,BL, eBook     BL  캐럿 EPUB  완결                              , 메카니스트 저                                                            , 더클북컴퍼니                                        , 2022년 11월                                 ,"3,000원",4,4
44,BL, eBook     BL  꼴라쥬  collage  EPUB  완결                              , 미엔느 저                                                            , 블랙아웃                                        , 2019년 05월                                 ,"3,500원",4,4
45,BL, eBook     BL  임께서 이르시되 EPUB  완결                              , 짜오 저                                                            , 고렘팩토리                                        , 2022년 08월                                 ,"3,400원",4,4
46,BL, eBook     BL  슈가 크러시 러브 Sugar Crush Love  EPUB                              , 골햄 저                                                            , 문라이트북스                                        , 2023년 01월                                 ,"3,600원",5,5
47,BL, eBook    스윙 배이비 COMIC  완결                              , 무단 글그림                                                            , 북큐브네트웍스                                        , 2021년 11월                                 ,400원,0,0
48,BL, eBook    킬 더 라이츠 , 장량 저 밍크 글그림                                                            , 비숲                                        , 2021년 07월                                 ,500원,0,0
49,BL, eBook     BL  슈가 블루스 Sugar Blues  EPUB  완결                              , 보이시즌 저                                                            , 비하인드                                        , 2019년 06월                                 ,"4,500원",4,4
50,BL, eBook     BL  미치도록 아름다운 EPUB                              , leefail 저                                                            , 블루코드                                        , 2023년 01월                                 ,"3,600원",4,4
51,BL, eBook     BL  솔티 러스트  Salty Lust  EPUB  완결  eBook 크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , Tropicalarmpit 저                                                            , 연필                                        , 2020년 02월                                 ,"5,500원",4,4
52,BL, eBook     BL  크리스마스 미라클 EPUB                              , 제노리노 저                                                            , 모드                                        , 2021년 12월                                 ,"4,200원",4,4
53,BL, eBook     BL  향현문자 EPUB                              , 채팔이 저                                                            , 필연매니지먼트                                        , 2023년 02월                                 ,"4,200원",4,4
54,BL, eBook     BL  오푸스 눌 EPUB  완결                              , 정가재 저                                                            , 시크노블                                        , 2022년 10월                                 ,"4,200원",4,4
55,BL, eBook     BL  오메가X알파 조교일지 , 썸머린 저                                                            , 여름의BL                                        , 2021년 03월                                 ,"1,000원",4,4
56,BL, eBook     BL  힐러  외전증보판  EPUB  완결                              , 메카니스트 저                                                            , 더클북컴퍼니                                        , 2020년 12월                                 ,"5,500원",4,4
57,BL, eBook     BL  까막새 우는 소리 EPUB  완결                              , 김인명 저                                                            , 피아체                                        , 2020년 01월                                 ,"4,500원",4,4
58,BL, eBook     BL  플로리스 플롯  Flawless Plot  EPUB                              , 이은성 저                                                            , 블로우                                        , 2023년 01월                                 ,"2,700원",5,5
59,BL, eBook     BL  파문 EPUB                              , 소조금 저                                                            , 모드                                        , 2022년 01월                                 ,"3,000원",4,4
60,BL, eBook     BL  부티워크 Booty Wurk  EPUB  완결                              , 구부 저                                                            , 시크노블                                        , 2022년 04월                                 ,"3,900원",4,4
61,BL, eBook     BL  열여덟의 침대 EPUB  완결                              , 문슬로 저                                                            , 시크노블                                        , 2020년 07월                                 ,"4,500원",4,4
62,BL, eBook     BL  키스 더 그라운드 EPUB  완결                              , 새몬 저                                                            , 모드                                        , 2020년 09월                                 ,"3,400원",4,4
63,BL, eBook     BL  레인보우 시티 EPUB  완결                              , 채팔이 저                                                            , symphonic                                        , 2020년 07월                                 ,"4,000원",4,4
64,BL, eBook     BL  열병 EPUB  완결                              , 소조금 저                                                            , 모드                                        , 2020년 06월                                 ,"3,000원",4,4
65,BL, eBook     BL  영원  Eternity  EPUB  완결                              , 피사 저                                                            , 시크노블                                        , 2023년 02월                                 ,"2,700원",0,0
66,BL, eBook    배타적 연애금지구역 , 민트란 저 새나 글 두짜 그림                                                            , 서울미디어코믹스                                        , 2022년 04월                                 ,500원,0,0
67,BL, eBook     BL  노 모럴 No Moral  EPUB  완결  eBook 크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 테하누 저                                                            , 이클립스                                        , 2020년 06월                                 ,"4,000원",4,4
68,BL, eBook     BL  최면 교육 EPUB  완결                              , B포 저                                                            , 블릿                                        , 2023년 02월                                 ,"3,000원",5,5
69,BL, eBook     BL  여오 , 육포부흘육 저                                                            , B Lab 비랩                                         , 2023년 02월                                 ,"3,500원",0,0
70,BL, eBook    탐색전 , 오후네시육분 저 지팡 글그림 내프 그림                                                            , 북극여우                                        , 2022년 05월                                 ,600원,0,0
