제목,저자,출판사,발매일,평점
거인의 어깨 1,홍진채,포레스트북스,2022.12.19 (종이책 출간 2022.12.12),9.6
그릿(50만부 판매 기념 리커버 골드에디션),앤절라 더크워스,비즈니스북스,2019.02.15 (종이책 출간 2019.02.20),9.6
베싸육아,박정은,래디시,2023.01.31 (종이책 출간 2023.01.18),9
실전투자 절대지식,김형준,이레미디어,2018.05.17 (종이책 출간 2014.01.25),9.4
아파트 투자는 사이클이다,이현철,여의도책방,2022.11.08 (종이책 출간 2022.10.28),9.5
메이플스토리 오프라인 RPG. 100(완결),송도수,서울문화사,2019.06.28,9.7
클루지,개리 마커스,갤리온,2019.07.23 (종이책 출간 2008.11.24),9.2
달러구트 꿈 백화점. 2,이미예,팩토리나인,2021.07.26 (종이책 출간 2021.07.27),9.6
나를 나답게 만드는 것들,빌 설리번,브론스테인,2021.01.06 (종이책 출간 2020.12.23),9.5
맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우,빅피시,2022.05.18 (종이책 출간 2022.05.23),9.9
"개장 전, 아직 켜지지 않은 모니터 앞에서",강민우(돈깡),이레미디어,2022.02.07 (종이책 출간 2021.12.10),9.1
데미안,헤르만 헤세,민음사,2012.06.29 (종이책 출간 2009.01.20),9.6
장사의 신(200쇄 기념 블랙에디션),우노 다카시,쌤앤파커스,2023.01.20 (종이책 출간 2023.01.30),9.5
브랜드로 남는다는 것,홍성태,북스톤,2022.11.28 (종이책 출간 2022.11.12),10
지리의 힘 2,팀 마샬,사이,2022.04.12 (종이책 출간 2022.04.10),9.8
사랑의 기술,에리히 프롬,문예출판사,2019.08.30 (종이책 출간 2019.09.01),9.3
파친코 2,이민진,인플루엔셜,2022.09.05 (종이책 출간 2022.08.25),9.8
여행영어 10분의 기적,해커스어학연구소,해커스어학연구소,2020.05.08 (종이책 출간 2019.01.02),9.4
빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,청아출판사,2020.07.14 (종이책 출간 2020.05.30),9.7
데일 카네기 자기 관리론(무삭제 완역본),데일 카네기,와일드북,2023.01.16 (종이책 출간 2022.12.25),9.9
대한민국 산업지도(2023),이래학,경이로움,2023.01.11 (종이책 출간 2023.01.10),8.8
안젤리크,기욤 뮈소,밝은세상,2023.01.09 (종이책 출간 2022.12.21),9.5
불륜의 심리학,게르티 젱어,탐나는책,2023.01.20 (종이책 출간 2023.01.20),10
메시지 S,유진 피터슨,복있는사람,2018.04.26 (종이책 출간 2017.12.04),9.6
이 책은 돈 버는 법에 관한 이야기,고명환,라곰,2022.10.24 (종이책 출간 2022.09.19),9.7
은하영웅전설. 10: 낙일편,다나카 요시키,이타카,2014.12.01 (종이책 출간 2011.10.14),9.1
내가 틀릴 수도 있습니다,비욘 나티코 린데블라드,다산초당,2022.04.28 (종이책 출간 2022.04.18),9.4
경제파국으로 치닫는 금융위기,최용식,새빛,2022.12.30 (종이책 출간 2023.01.05),10
월가의 영웅,피터 린치,국일증권경제연구소,2021.10.05 (종이책 출간 2021.07.30),9.7
부의 추월차선(10주년 스페셜 에디션),엠제이 드마코,토트,2022.01.24 (종이책 출간 2022.02.04),9.5
부자의 그릇,이즈미 마사토,다산북스,2020.12.21 (종이책 출간 2020.12.14),9.2
인생을 숙제처럼 살지 않기로 했다,웃따,다산북스,2023.02.01 (종이책 출간 2023.02.01),10
개구리 왕자(영어로 읽는 세계명작 스토리하우스 14),안델센,월드컴,2006.05.12 (종이책 출간 2003.03.07),10
월급쟁이 부자로 은퇴하라(10만 부 돌파 기념 증보판),너나위,알에이치코리아,2022.06.20 (종이책 출간 2022.06.20),9.7
초급 중국어(EBS 방송교재 2023년 2월),송지현,EBS한국교육방송공사,2023.01.26,0
미움받을 용기(200만 부 기념 스페셜 에디션),기시미 이치로,인플루엔셜,2023.01.11 (종이책 출간 2022.12.28),9.6
"뇌, 욕망의 비밀을 풀다",한스 게오르크 호이젤,비즈니스북스,2019.09.30 (종이책 출간 2019.10.04),9.5
모던 자바스크립트 Deep Dive,이웅모,위키북스,2021.01.04 (종이책 출간 2020.09.25),9.7
하얼빈,김훈,문학동네,2022.08.03 (종이책 출간 2022.08.03),9.8
