제목,kyobo_순위,kyobo_저자,kyobo_출판사,kyobo_발매일,kyobo_가격,kyobo_평점,kyobo_장르,상명대학교_학술정보관_장르
옥스퍼드 오늘의 단어책,57,수지 덴트,윌북,2023.01.27 (종이책 출간 2023.01.30),"12,510",9.8,인문,인문
거인의 통찰,58,샘 해리스,비잉(Being),2022.12.28 (종이책 출간 2022.12.28),"15,750",10,인문,인문
이제 막 교사가 되었습니다,59,"오소정,김연수,윤효성",넥서스CROSS,2022.12.20 (종이책 출간 2023.01.03),"11,700",10,인문,인문
조국의 법고전 산책,60,조국,오마이북,2022.12.07 (종이책 출간 2022.11.09),"13,860",9.8,인문,인문
불안한 마음을 안아 주는 심리학,61,가토 다이조,이너북,2022.12.14,"9,765",0,인문,인문
글쓰기의 최전선,62,은유,메멘토,2022.11.01 (종이책 출간 2022.11.01),"9,900",9.2,인문,인문
미야모토 무사시,63,우오즈미 다카시,에이케이커뮤니케이션즈,2020.08.15,"11,520",0,인문,인문
오래된 연장통,64,전중환,사이언스북스,2017.07.25 (종이책 출간 2017.07.31),"14,400",8.9,인문,인문
행복에 걸려 비틀거리다,65,대니얼 길버트,김영사,2006.10.30,"8,820",8.2,인문,인문
강박성 성격장애,66,민병배,학지사,2019.01.09 (종이책 출간 2016.03.30),"6,840",9,인문,인문
사자소학,67,주영기,와이북스,2018.06.07 (종이책 출간 2016.02.25),"11,700",0,인문,인문
관상,68,미즈노 남보쿠,나들목,2021.10.12 (종이책 출간 2015.01.30),"9,000",8.9,인문,인문
초감각적 세계 인식에 이르는 길,69,루돌프 슈타이너,물병자리,2018.08.13 (종이책 출간 2016.06.25),"8,640",9.1,인문,인문
AI 시대의 번역,70,최성희,세창출판사,2019.05.31 (종이책 출간 2019.01.30),"10,800",10,인문,인문
욕망과 파국,71,최성각,동녘,2022.05.26 (종이책 출간 2021.03.25),"10,080",9.5,인문,인문
세네카의 대화,72,루키우스 안나이우스 세네카,까치,2017.06.14 (종이책 출간 2016.10.25),"12,600",9.7,인문,인문
이태준(문학의 이해와감상22),73,정현기,건국대학교출판부,2008.10.09 (종이책 출간 1994.12.01),"1,440",5,인문,인문
채만식(문학의이해와감상 14),74,송하춘,건국대학교출판부,2008.10.09 (종이책 출간 1994.10.01),"1,440",0,인문,인문
대략 한자의 정석,75,한호림,디자인하우스,2007.12.27 (종이책 출간 2006.08.15),"9,000",7.5,인문,인문
선악의 저편 도덕의 계보(니체전집 14),76,프리드리히 니체,책세상,2019.04.10 (종이책 출간 2002.02.10),"13,860",9.5,인문,인문
어느 날 갑자기 공황이 찾아왔다,77,클라우스 베른하르트,흐름출판,2019.07.25 (종이책 출간 2019.07.10),"9,360",9.7,인문,인문
헤이트(Hate),78,최인철,마로니에북스,2021.11.09 (종이책 출간 2021.09.10),"11,700",9.8,인문,인문
한비자,79,한비자,휴머니스트,2016.04.29 (종이책 출간 2016.04.04),"22,680",9.7,인문,인문
20세기를 빛낸 극작가 20인,80,백승무,살림,2012.05.18 (종이책 출간 2012.05.03),"4,500",9,인문,인문
논리학입문,81,정위섭,학문사,2006.09.08 (종이책 출간 1994.09.01),"3,825",10,인문,인문
신 만들어진 위험,82,리처드 도킨스,김영사,2021.01.25 (종이책 출간 2021.02.01),"10,350",9.6,인문,인문
소피의 세계(합본),83,요슈타인 가아더,현암사,2017.06.17 (종이책 출간 2015.12.23),"17,010",9.7,인문,인문
"사람, 장소, 환대",84,김현경,문학과지성사,2016.11.22 (종이책 출간 2015.03.31),"9,900",9.6,인문,인문
예술하는 습관,85,메이슨 커리,걷는나무,2020.01.15 (종이책 출간 2020.01.10),"10,080",8.8,인문,인문
현대인의 탄생,86,전우용,이순,2012.04.02 (종이책 출간 2011.05.25),"9,450",0,인문,인문
유리벽에 갇힌 아이들,87,가영휴,북스오디오넷,2016.03.30 (종이책 출간 2015.05.09),"7,650",10,인문,인문
공황장애 3편: 불안 다스리기,88,제이콥 정,북앤로드,2021.06.21 (종이책 출간 2021.06.30),"17,550",10,인문,인문
사실은 사랑받고 싶었어,89,박재연,한빛라이프,2021.05.21 (종이책 출간 2021.03.05),"10,620",10,인문,인문
딱 한 권으로 끝내는 논문 통계,90,김진수,글라이더,2022.08.10 (종이책 출간 2022.05.10),"16,920",0,인문,인문
딱! 30일 만에 논문 작성하기,91,김진수,글라이더,2021.06.30 (종이책 출간 2020.12.05),"16,020",9.9,인문,인문
예민함이라는 선물,92,이미로,온워드,2022.08.11 (종이책 출간 2022.08.08),"10,710",10,인문,인문
자유로부터의 도피,93,에리히 프롬,휴머니스트,2020.09.04 (종이책 출간 2020.09.07),"10,080",9.9,인문,인문
공산당 선언(2018)(리커버),94,카를 마르크스,책세상,2018.08.08 (종이책 출간 2018.06.20),"7,110",9.4,인문,인문
칼 융 레드 북,95,칼 구스타프 융,부글북스,2021.08.31 (종이책 출간 2020.01.15),"18,270",9.8,인문,인문
흡수하는 정신,96,마리아 몬테소리,부글북스,2018.04.23 (종이책 출간 2018.04.20),"10,692",10,인문,인문
명륜동 행복한 상담실,97,선안남,한빛비즈,2015.09.14 (종이책 출간 2015.04.30),"9,450",0,인문,인문
나르시시즘 다시 생각하기,98,크레이그 맬킨,푸른숲,2017.09.18 (종이책 출간 2017.08.20),"12,150",10,인문,인문
BTS와 아미 컬처,99,이지행,커뮤니케이션북스,2019.07.19 (종이책 출간 2019.07.12),"7,200",9.7,인문,인문
"챗gpt, ai에게 인생을 묻다",100,윤찬호,고래,2023.02.16,"7,200",0,인문,인문
DO IT 두잇,1,데이비드 차,펜립,2023.02.16,"12,600",10,종교,종교
개목초 강의(하),2,이케다 다이사쿠(池田大作),화광신문사,2021.07.03,"4,050",10,종교,종교
법련 2월호(2023년),3,화광신문사 출판국 법련부編,화광신문사,2023.01.18,"1,350",10,종교,종교
조정민의 답답답,4,조정민,두란노서원,2022.09.28 (종이책 출간 2022.09.21),"9,450",9.9,종교,종교
만화 웨스트민스터 소교리문답. 2,5,백금산,부흥과개혁사,2021.01.20 (종이책 출간 2010.07.10),"9,450",9.7,종교,종교
교회는 팀이다,6,짐 푸트먼,생명의말씀사,2017.01.16 (종이책 출간 2016.08.08),"7,560",10,종교,종교
수심결과 마음공부,7,법상,불광출판사,2023.02.17 (종이책 출간 2023.02.01),"12,600",10,종교,종교
한국교회표준정관매뉴얼,8,서헌제,처치앤로,2022.07.31,"9,000",0,종교,종교
가난 재물 부요함,9,크리스 벨러튼,세영실업,2021.07.26,"7,830",0,종교,종교
인간 붓다 그 위대한 삶과 사상,10,법륜,정토출판,2013.09.30 (종이책 출간 2010.03.15),"9,135",10,종교,종교
믿음은 분투다,11,김선교,규장,2016.02.17 (종이책 출간 2015.12.14),"9,450",10,종교,종교
우주가 사라지다,12,개리 레너드,정신세계사,2014.07.15 (종이책 출간 2010.08.10),"13,860",9.7,종교,종교
기독교의 기본 진리,13,존 스토트,생명의말씀사,2014.04.10 (종이책 출간 2009.10.15),"6,930",10,종교,종교
성경신학 스터디 바이블(개역개정),14,D. A. 카슨,복있는사람,2021.07.15 (종이책 출간 2021.06.17),"79,200",8.9,종교,종교
최상의 행복에 이르는 지혜,15,틱낫한,싱긋,2020.07.14 (종이책 출간 2020.06.22),"10,080",9.8,종교,종교
믿으라고? 뭘?,16,양승언,넥서스CROSS,2019.07.22 (종이책 출간 2019.07.10),"6,120",10,종교,종교
육조단경六祖壇經,17,차이즈종 蔡志忠,다지출판,2023.01.17,"8,100",0,종교,종교
킹덤빌더의 영성,18,손기철,규장,2022.12.27 (종이책 출간 2022.12.07),"13,860",0,종교,종교
사랑이 다시 살게 한다,19,김동선,두란노서원,2022.09.23 (종이책 출간 2022.02.16),"8,820",8.5,종교,종교
IVP 성경비평주석 신약,20,앤서니 살다리니 외,IVP,2021.08.02,"44,640",0,종교,종교
바보가 바보들에게 5권 세트,21,김수환,산호와진주,2019.01.30,"8,910",0,종교,종교
처치 시프트,22,이상훈,워십리더미디어,2016.12.02,"10,800",0,종교,종교
기도의 비밀,23,잔 귀용,평단,2008.09.18 (종이책 출간 2008.05.26),"3,600",10,종교,종교
가슴을 적시는 부처님 말씀(작은책),24,석성우,민족사,2013.12.16 (종이책 출간 2000.10.01),"4,950",10,종교,종교
하나님의 집이 되라,25,박호종,규장,2019.10.21 (종이책 출간 2019.02.25),"9,450",9.8,종교,종교
이기는 삶,26,조셉 프린스,규장,2015.04.20 (종이책 출간 2015.04.13),"9,450",10,종교,종교
복음이 울다,27,데이비드 플랫,두란노서원,2019.11.04 (종이책 출간 2019.10.16),"9,450",9.8,종교,종교
쉬운 예수는 없다,28,제이슨 미첼,두란노서원,2017.02.17 (종이책 출간 2017.02.15),"7,560",9.6,종교,종교
반야심경:그림으로 보는 (교양신서 48),29,김용진,학문사,2007.09.24 (종이책 출간 1992.11.01),"3,375",9.2,종교,종교
티베트 꿈과 잠 명상,30,텐진 왕걀 린포체,정신세계사,2021.07.16 (종이책 출간 2021.06.30),"10,710",9.4,종교,종교
로마서 강해,31,존 스토트,한국기독학생회출판부(IVP),2015.05.28 (종이책 출간 1996.02.01),"12,960",10,종교,종교
에브리데이 스터디 바이블,32,틴데일하우스 출판사,성서유니온,2022.03.26 (종이책 출간 2021.12.01),"72,000",10,종교,종교
성심의 메시지,33,이재현,가톨릭출판사,2019.05.07 (종이책 출간 2017.06.23),"7,560",10,종교,종교
구원의 은혜,34,찰스 스펄전,생명의말씀사,2012.12.21 (종이책 출간 2006.02.05),"4,500",10,종교,종교
원전주해 요가수트라 : 산스크리트 원전으로 본 세상에서 가장 깊은 지혜의 경전,35,마하리쉬 파탄잘리 저,물병자리,2022.02.20,"13,500",10,종교,종교
로마서. 3,36,박영선,무근검(남포교회출판부),2020.08.14 (종이책 출간 2018.03.09),"4,410",10,종교,종교
법륜 스님의 반야심경 강의,37,법륜,정토출판,2022.07.28 (종이책 출간 2022.06.30),"12,600",10,종교,종교
관계,38,김일환,규장,2023.02.03 (종이책 출간 2023.02.06),"9,450",0,종교,종교
나는 없다,39,무위 해공,책세상,2023.01.06 (종이책 출간 2007.04.27),"10,710",9.2,종교,종교
"하나의 진리, 도마복음",40,구자만,예술과영성,2022.12.13 (종이책 출간 2022.11.30),"15,300",10,종교,종교
영적 침체,41,마틴 로이드 존스,복있는사람,2022.11.25 (종이책 출간 2014.04.28),"14,400",9.9,종교,종교
법련 12월호(2022년),42,화광신문사 출판국 법련부編,화광신문사,2022.11.23,"1,350",10,종교,종교
법련 11월호(2022년),43,화광신문사 출판국 법련부編,화광신문사,2022.10.19,"1,350",10,종교,종교
법련 10월호(2022년),44,화광신문사 출판국 법련부編,화광신문사,2022.09.23,"1,350",10,종교,종교
법련 9월호(2022년),45,화광신문사 출판국 법련부編,화광신문사,2022.08.26,"1,350",10,종교,종교
나의 지구를 부탁해,46,데이브 부클리스,앵커출판&미디어,2021.10.11,"9,450",10,종교,종교
일생성불초 강의,47,이케다 다이사쿠(池田大作),화광신문사,2021.01.02,"3,150",10,종교,종교
화엄경을 머금은 법성게의 보배구슬,48,김성철,도서출판 오타쿠,2020.11.10,"13,500",10,종교,종교
법화경 방편품ㆍ수량품 강의(보급판),49,이케다 다이사쿠(池田大作),화광신문사,2020.11.18,"3,600",10,종교,종교
무소유,50,김세중,스타북스,2018.05.15,"5,400",2.5,종교,종교
상위자아와 연결하기,51,한예린,포르투나,2017.10.13,900,10,종교,종교
팔복 강해설교,52,신동식,우리시대,2015.11.25,"2,700",0,종교,종교
창세기(히브리어 원전분해 및 강해성경),53,이상호,생명수,2015.06.04,"22,500",0,종교,종교
하나님 이름으로 혐오하지 말라,54,조너선 색스,한국기독교연구소,2022.08.08 (종이책 출간 2022.07.25),"10,800",10,종교,종교
예수를 교회로부터 구출하라,55,로빈 마이어스,한국기독교연구소,2013.02.04 (종이책 출간 2012.12.20),"7,560",10,종교,종교
네빌 고다드의 부활,56,네빌 고다드,서른세개의 계단,2014.02.10 (종이책 출간 2009.02.23),"8,550",9.7,종교,종교
선문정로  성철스님 평석,57,성철 스님,장경각,2015.12.31 (종이책 출간 2015.10.05),"9,000",10,종교,종교
바가바드 기따,58,김병채,슈리크리슈나다스아쉬람,2021.12.11 (종이책 출간 2021.06.01),"6,300",0,종교,종교
거절의 상처를 치유하시는 하나님,59,데릭 프린스,순전한나드,2021.03.09 (종이책 출간 2007.11.20),"3,780",10,종교,종교
깨달음,60,법륜,정토출판,2013.10.08 (종이책 출간 2012.02.15),"7,560",9.8,종교,종교
기도: 내려놓기,61,법륜,정토출판,2013.10.08 (종이책 출간 2010.07.21),"5,040",9.8,종교,종교
인생수업,62,법륜,휴,2013.11.06 (종이책 출간 2013.10.09),"7,605",9.4,종교,종교
사찰의 상징세계(하),63,자현 스님,불광출판사,2013.08.16 (종이책 출간 2012.06.08),"13,860",10,종교,종교
예수님 왜?,64,박에녹,레베카,2016.06.02 (종이책 출간 2015.02.25),"7,560",7.5,종교,종교
구원이란 무엇인가,65,김세윤,두란노아카데미,2018.09.17 (종이책 출간 2011.03.10),"4,410",9.9,종교,종교
개신교의 본질,66,칼 하임,복있는사람,2019.01.18 (종이책 출간 2018.03.22),"8,550",9,종교,종교
새가족반,67,이정규,복있는사람,2020.01.06 (종이책 출간 2018.02.06),"9,000",9.8,종교,종교
메시지 S,68,유진 피터슨,복있는사람,2018.04.26 (종이책 출간 2017.12.04),"17,550",9.8,종교,종교
하나님 나라 신학으로 읽는 모세오경,69,김회권,복있는사람,2021.03.23 (종이책 출간 2017.02.20),"36,540",9.6,종교,종교
나를 따르라,70,디트리히 본회퍼,복있는사람,2019.01.18 (종이책 출간 2016.09.19),"10,350",10,종교,종교
질투,71,R. T. 켄달,순전한나드,2020.09.29 (종이책 출간 2016.05.13),"8,820",9.4,종교,종교
무너지지 마라,72,김남국,규장,2018.08.27 (종이책 출간 2018.03.05),"9,450",9.8,종교,종교
기도의 집을 세우라,73,박호종,규장,2017.11.10 (종이책 출간 2017.07.03),"8,190",10,종교,종교
예수와 하나가 되라,74,유기성,규장,2017.11.15 (종이책 출간 2017.06.28),"9,450",9.6,종교,종교
예수를 깊이 생각하라,75,유기성,규장,2014.10.15 (종이책 출간 2014.09.29),"8,190",10,종교,종교
예수를 바라보자,76,유기성,규장,2014.02.28 (종이책 출간 2014.02.19),"7,020",10,종교,종교
내가 널 쓰고 싶다,77,김남국,규장,2013.12.17 (종이책 출간 2013.12.02),"7,560",10,종교,종교
보호하심,78,이찬수,규장,2013.03.13 (종이책 출간 2011.05.23),"5,940",10,종교,종교
한 시간 기도,79,유기성,규장,2019.08.12 (종이책 출간 2019.07.22),"10,710",10,종교,종교
나는 죽고 예수로 사는 사람,80,유기성,규장,2013.03.13 (종이책 출간 2008.09.16),"5,400",10,종교,종교
교회 실용 영어,81,김복희,한국문화사,2021.11.02 (종이책 출간 2010.11.20),"16,200",0,종교,종교
법륜 스님의 행복,82,법륜,나무의마음,2016.01.25 (종이책 출간 2016.01.25),"9,450",9.6,종교,종교
심리학하는 교회언니 헵시바의 연애 상담,83,헵시바,두란노서원,2022.06.10 (종이책 출간 2022.05.11),"8,190",10,종교,종교
한국 교회사 걷기,84,임경근,두란노서원,2022.09.05 (종이책 출간 2021.10.06),"14,490",9.3,종교,종교
보라 통독,85,이상준,두란노서원,2022.08.19 (종이책 출간 2021.03.11),"16,200",9.9,종교,종교
결혼에 관하여,86,팀 켈러,두란노서원,2020.09.18 (종이책 출간 2020.09.09),"4,410",9.8,종교,종교
치열한 도전,87,김병삼,두란노서원,2018.06.28 (종이책 출간 2018.06.14),"8,820",8.8,종교,종교
그리스도께서 내안에 내가 그리스도 안에,88,이재훈,두란노서원,2018.04.19 (종이책 출간 2018.03.23),"7,560",9.6,종교,종교
팀 켈러의 기도,89,팀 켈러,두란노서원,2015.06.04 (종이책 출간 2015.05.19),"10,080",9.8,종교,종교
믿음은 기다림으로 완성됩니다,90,하용조,두란노서원,2018.12.21 (종이책 출간 2014.07.14),"6,300",10,종교,종교
일과 영성,91,팀 켈러,두란노서원,2014.11.24 (종이책 출간 2013.11.18),"8,190",9.7,종교,종교
팀 켈러의 정의란 무엇인가,92,팀 켈러,두란노서원,2022.04.11 (종이책 출간 2012.02.20),"9,450",9.3,종교,종교
제자도,93,데이빗 왓슨,두란노서원,2015.07.29 (종이책 출간 2004.12.08),"7,560",8.9,종교,종교
데이비드 브레이너드 생애와 일기,94,조나단 에드워즈 (엮음),CH북스(크리스천다이제스트),2015.05.22 (종이책 출간 2011.08.25),"6,930",10,종교,종교
기독교가 직면한 12가지 질문,95,레베카 맥클러플린,죠이북스,2022.08.17 (종이책 출간 2021.11.15),"11,340",8.5,종교,종교
새 생활의 시작,96,한국대학생선교회,순출판사,2021.09.02 (종이책 출간 2020.02.07),"3,600",10,종교,종교
개인기도,97,C. S. 루이스,홍성사,2020.03.25 (종이책 출간 2019.11.27),"8,190",10,종교,종교
헤아려 본 슬픔,98,C. S. 루이스,홍성사,2013.12.11 (종이책 출간 2004.03.30),"4,500",9.7,종교,종교
윤회의 본질,99,크리스토퍼 M. 베이치,정신세계사,2015.11.19 (종이책 출간 2014.03.05),"9,450",9.6,종교,종교
웨스트민스터 신앙고백서 ,100,나용화,CLC(기독교문서선교회),2021.09.09 (종이책 출간 2017.08.30),"10,710",10,종교,종교
삼국지 원전 완역판 10 오장원,1,요시카와 에이지,코너스톤,2022.01.13 (종이책 출간 2020.03.09),900,9.4,소설,소설
구의 증명,2,최진영,은행나무,2015.10.06 (종이책 출간 2015.03.30),"6,480",9.6,소설,소설
불편한 편의점,3,김호연,나무옆의자,2021.05.03 (종이책 출간 2021.04.20),"8,820",9.8,소설,소설
태백산맥. 10: 제4부 전쟁과 분단,4,조정래,해냄출판사,2021.03.11 (종이책 출간 2020.10.15),"9,450",10,소설,소설
사랑의 이해,5,이혁진,민음사,2019.04.25 (종이책 출간 2019.04.19),"9,450",9.6,소설,소설
가재가 노래하는 곳,6,델리아 오언스,살림,2019.06.17 (종이책 출간 2019.06.21),"10,080",9.6,소설,소설
파친코 1,7,이민진,인플루엔셜,2022.09.05 (종이책 출간 2022.08.05),"11,250",9.8,소설,소설
달러구트 꿈 백화점. 2,8,이미예,팩토리나인,2021.07.26 (종이책 출간 2021.07.27),"8,694",9.6,소설,소설
참을 수 없는 존재의 가벼움,9,밀란 쿤데라,민음사,2021.06.04 (종이책 출간 2011.11.25),"10,080",9.3,소설,소설
불편한 편의점 2(단풍 에디션),10,김호연,나무옆의자,2022.08.12 (종이책 출간 2022.08.10),"8,820",9.8,소설,소설
노인과 바다,11,어니스트 헤밍웨이,민음사,2012.07.06 (종이책 출간 2012.01.02),"5,040",10,소설,소설
싯다르타,12,헤르만 헤세,민음사,2014.01.10 (종이책 출간 2002.01.20),"5,040",9.7,소설,소설
아버지의 해방일지,13,정지아,창비,2022.09.08 (종이책 출간 2022.09.02),"10,800",9.8,소설,소설
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",14,이치조 미사키,모모,2021.07.15 (종이책 출간 2021.06.28),"9,000",9.4,소설,소설
리스본행 야간열차,15,파스칼 메르시어,김영사,2022.12.20 (종이책 출간 2022.12.20),"12,600",10,소설,소설
멋진 신세계,16,올더스 헉슬리,소담출판사,2018.06.22 (종이책 출간 2015.06.12),"7,452",9.2,소설,소설
당신 인생의 이야기,17,테드 창,엘리,2016.10.31 (종이책 출간 2016.10.14),"9,135",9.4,소설,소설
홍학의 자리,18,정해연,엘릭시르,2021.07.21 (종이책 출간 2021.07.26),"8,820",9.8,소설,소설
달콤 쌉싸름한 초콜릿,19,라우라 에스키벨,민음사,2007.06.29 (종이책 출간 2004.10.20),"6,300",9.6,소설,소설
그리스인 조르바,20,니코스 카잔차키스,열린책들,2011.07.08 (종이책 출간 2009.12.20),"6,750",9.6,소설,소설
브로콜리 펀치,21,이유리,문학과지성사,2021.12.17 (종이책 출간 2021.10.25),"8,820",9.8,소설,소설
불과 피: 얼음과 불의 노래 외전,22,조지 R. R. 마틴,은행나무,2019.04.19,"21,240",9,소설,소설
냉정과 열정 사이(Rosso)(리커버),23,에쿠니 가오리,소담출판사,2021.06.10 (종이책 출간 2020.03.15),"5,400",8,소설,소설
제 꿈 꾸세요,24,김멜라,문학동네,2022.09.02 (종이책 출간 2022.08.20),"10,200",7.5,소설,소설
미래로 가는 사람들,25,김보영,새파란상상,2021.07.29 (종이책 출간 2020.05.26),"6,300",9.1,소설,소설
안젤리크,26,기욤 뮈소,밝은세상,2023.01.09 (종이책 출간 2022.12.21),"10,800",9.5,소설,소설
경청,27,김혜진,민음사,2022.11.30 (종이책 출간 2022.10.21),"9,450",9.2,소설,소설
이토록 평범한 미래,28,김연수,문학동네,2022.10.05 (종이책 출간 2022.10.07),"8,820",9.5,소설,소설
테메레르  완결 (전 9권),29,나오미 노빅,노블마인,2020.12.07,"44,307",10,소설,소설
유령함대 세트,30,피터 W. 싱어,살림,2018.08.01,"17,100",0,소설,소설
레이먼드 챈들러의 필립 말로 시리즈. 6 기나긴 이별,31,레이먼드 챈들러,블루프린트,2016.05.24,"4,950",0,소설,소설
스마트폰을 떨어뜨렸을 뿐인데,32,시가 아키라,북플라자,2018.06.27 (종이책 출간 2017.12.08),"9,900",9.2,소설,소설
망원동 브라더스,33,김호연,나무옆의자,2015.09.30 (종이책 출간 2014.07.01),"8,100",9.8,소설,소설
우리는 모두 어른이 될 수 없었다,34,모에가라,밝은세상,2018.04.06 (종이책 출간 2018.03.29),"8,550",9.2,소설,소설
내일,35,기욤 뮈소,밝은세상,2013.12.16 (종이책 출간 2013.12.10),"8,100",9.5,소설,소설
나미야 잡화점의 기적,36,히가시노 게이고,현대문학,2014.11.20 (종이책 출간 2012.12.19),"9,000",9.5,소설,소설
애거서 크리스티 전집 34 에지웨어 경의 죽음 - 푸아로 셀렉션,37,애거서 크리스티,황금가지,2016.09.26 (종이책 출간 2015.07.10),"6,300",9.5,소설,소설
결혼면허,38,조두진,예담,2013.12.05 (종이책 출간 2013.10.30),"8,190",8.7,소설,소설
톨스토이 단편선. 1,39,L. N. 톨스토이,인디북,2006.06.22 (종이책 출간 2005.12.23),"4,050",9.7,소설,소설
종의 기원,40,정유정,은행나무,2016.05.20 (종이책 출간 2016.05.16),"8,190",9.3,소설,소설
밝은 밤,41,최은영,문학동네,2021.07.26 (종이책 출간 2021.07.27),"9,180",9.9,소설,소설
여자 없는 남자들,42,무라카미 하루키,문학동네,2020.04.08 (종이책 출간 2014.08.28),"8,730",9.3,소설,소설
외딴방,43,신경숙,문학동네,2014.11.11 (종이책 출간 2014.01.15),"9,810",9.9,소설,소설
노멀 피플,44,샐리 루니,아르테(arte),2020.05.25 (종이책 출간 2020.04.27),"12,240",9.4,소설,소설
한국이 싫어서,45,장강명,민음사,2015.06.15 (종이책 출간 2015.05.08),"8,820",9.3,소설,소설
1984,46,조지 오웰,민음사,2012.07.06 (종이책 출간 2007.03.30),"5,985",9.7,소설,소설
한중록,47,혜경궁 홍씨,신원문화사,2007.12.05 (종이책 출간 2002.11.25),"3,600",8.8,소설,소설
젊은 베르테르의 슬픔,48,요한 볼프강 폰 괴테,열린책들,2011.06.22 (종이책 출간 2009.11.30),"5,400",9.6,소설,소설
은하영웅전설. 10: 낙일편,49,다나카 요시키,이타카,2014.12.01 (종이책 출간 2011.10.14),"5,400",9.1,소설,소설
초한지. 10,50,이문열,알에이치코리아,2020.11.16 (종이책 출간 2020.11.05),"9,324",10,소설,소설
미스터 션샤인. 2,51,김은숙(극본),알에이치코리아,2018.11.02 (종이책 출간 2018.10.18),"9,324",9.7,소설,소설
작별인사,52,김영하,복복서가,2022.05.09 (종이책 출간 2022.05.02),"9,000",9.6,소설,소설
세상의 마지막 기차역,53,무라세 다케시,모모,2022.06.10 (종이책 출간 2022.05.09),"8,820",9.6,소설,소설
우리가 빛의 속도로 갈 수 없다면,54,김초엽,허블,2019.07.30 (종이책 출간 2019.06.24),"7,560",9.5,소설,소설
딥뉴스,55,안형준,새움,2018.04.09 (종이책 출간 2018.03.29),"8,100",8.2,소설,소설
더블,56,정해연,해피북스투유,2023.01.10 (종이책 출간 2023.01.10),"10,080",0,소설,소설
왜 나는 너를 사랑하는가(70만 부 기념 리커버),57,알랭 드 보통,청미래,2022.11.25 (종이책 출간 2022.11.10),"8,820",9.4,소설,소설
외사랑,58,히가시노 게이고,소미미디어,2022.11.11 (종이책 출간 2022.09.27),"11,250",9.7,소설,소설
사서함 110호의 우편물,59,이도우,수박설탕,2022.10.31 (종이책 출간 2022.07.30),"10,125",10,소설,소설
[세트] 타나토노트 (총2권),60,베르나르 베르베르,열린책들,2022.10.27,"17,820",0,소설,소설
언러키 스타트업,61,정지음,민음사,2022.10.28 (종이책 출간 2022.10.07),"9,450",10,소설,소설
눈감지 마라,62,이기호,마음산책,2022.09.30,"9,450",0,소설,소설
깡패단의 방문,63,제니퍼 이건,문학동네,2022.09.14 (종이책 출간 2012.03.15),"8,730",10,소설,소설
시간이 없다,64,정찬주,불광출판사,2022.09.30 (종이책 출간 2022.09.08),"11,340",8.4,소설,소설
어스시 전집 세트,65,어슐러 르 귄,황금가지,2020.11.26,"48,825",10,소설,소설
계절의 순간,66,가자마키 게이지로,왓북,2021.08.24,"5,040",0,소설,소설
아쿠타가와 류노스케 단편집. 1,67,아쿠타가와 류노스케,리라,2021.03.26,"3,060",0,소설,소설
맏물 이야기,68,미야베 미유키,북스피어,2022.01.14 (종이책 출간 2015.02.19),"8,820",9.3,소설,소설
루팡의 딸,69,요코제키 다이,북플라자,2020.02.13 (종이책 출간 2019.09.25),"9,900",9.4,소설,소설
고백,70,미나토 가나에,비채,2021.04.12 (종이책 출간 2018.08.23),"7,740",9.6,소설,소설
"당신, 거기 있어 줄래요?",71,기욤 뮈소,밝은세상,2022.01.24 (종이책 출간 2022.01.19),"9,450",9.4,소설,소설
무진기행,72,김승옥,문학동네,2013.05.06 (종이책 출간 2004.10.15),"8,190",9.4,소설,소설
이갈리아의 딸들,73,게르드 브란튼베르그,황금가지,2016.12.13 (종이책 출간 1996.07.01),"8,190",9.7,소설,소설
한 명,74,김숨,현대문학,2016.08.30 (종이책 출간 2016.08.05),"8,190",9.9,소설,소설
전쟁과 평화,75,레프 톨스토이,지식의숲,2013.11.08 (종이책 출간 2013.04.30),"4,050",7.5,소설,소설
웬만해선 아무렇지 않다,76,이기호,마음산책,2016.03.16 (종이책 출간 2016.02.25),"7,830",9.3,소설,소설
바깥은 여름,77,김애란,문학동네,2017.08.09 (종이책 출간 2017.06.28),"8,190",9.4,소설,소설
쇼코의 미소,78,최은영,문학동네,2016.09.26 (종이책 출간 2016.08.10),"7,560",9.6,소설,소설
롤리타,79,블라디미르 나보코프,문학동네,2017.03.15 (종이책 출간 2013.01.30),"10,710",9.3,소설,소설
더버빌가의 테스,80,토머스 하디,문학동네,2012.11.15 (종이책 출간 2011.05.25),"9,810",9.1,소설,소설
브리다,81,파울로 코엘료,문학동네,2010.11.17 (종이책 출간 2010.10.21),"7,560",8.1,소설,소설
코틀로반,82,안드레이 플라토노프,문학동네,2012.11.15 (종이책 출간 2010.05.17),"5,670",10,소설,소설
자기만의 방·3기니,83,버지니아 울프,민음사,2013.09.27 (종이책 출간 2008.09.19),"8,820",9,소설,소설
폭풍의 언덕,84,에밀리 브론테,민음사,2007.10.08 (종이책 출간 2005.03.15),"6,930",9.4,소설,소설
이문열 삼국지. 10,85,나관중,알에이치코리아,2020.03.26 (종이책 출간 2020.03.25),"9,324",10,소설,소설
인간 실격,86,다자이 오사무,코너스톤,2022.01.28 (종이책 출간 2021.08.27),801,9.4,소설,소설
이방인,87,알베르 카뮈,반니,2020.03.06 (종이책 출간 2018.08.10),"3,600",10,소설,소설
