제목,저자,출판사,발매일,가격,평점,장르
풍신의 타로카드이야기,풍신 선진국,퍼플,2014.10.07,"9,000원",9.8,인문
아무것도 하지 않는 법,제니 오델,필로우,2021.12.02 (종이책 출간 2021.12.02),"10,080원",9.6,인문
열한 계단(리커버 특별판),채사장,웨일북(whalebooks),2017.01.11 (종이책 출간 2016.12.10),"10,530원",9.5,인문
마흔에 읽는 니체,장재형,유노북스,2022.09.06 (종이책 출간 2022.09.01),"11,700원",9.6,인문
온·오프를 아우르는 학급경영 B to Z,송형호,우리학교,2021.03.04 (종이책 출간 2021.01.27),"10,584원",0,인문
인간 본성의 법칙,로버트 그린,위즈덤하우스,2019.08.13 (종이책 출간 2019.07.29),"20,160원",9.4,인문
김경일의 지혜로운 인간생활,김경일,저녁달,2022.06.08 (종이책 출간 2022.04.15),"12,600원",9.4,인문
현대미학 특강,이주영,미술문화,2018.05.30 (종이책 출간 2018.02.05),"10,800원",9.7,인문
신 없는 세계에서 목적 찾기,랠프 루이스,바다출판사,2022.09.05 (종이책 출간 2022.04.15),"12,600원",10,인문
상처받은 아이는 외로운 어른이 된다,황즈잉,더퀘스트,2021.12.23 (종이책 출간 2021.11.23),"11,520원",9.4,인문
지능의 역설,가나자와 사토시,연필,2022.05.30 (종이책 출간 2020.05.08),"10,080원",9.5,인문
나는 오늘 나에게 ADHD라는 이름을 주었다,신지수,휴머니스트,2021.08.02 (종이책 출간 2021.06.21),"10,080원",9.2,인문
마음의 문을 닫고 숨어버린 나에게,조지프 버고,더퀘스트,2019.01.25 (종이책 출간 2019.01.23),"11,520원",8.9,인문
망치를 든 철학자 니체 vs. 불꽃을 품은 철학자 포이어바흐,강대석,들녘,2016.12.29 (종이책 출간 2016.07.06),"7,560원",9.4,인문
한국어교육능력검정시험 대비 핵심이론&기출문제총정리,연세대학교 한국어교원양성과정 총동문회,한올출판사,2020.07.29 (종이책 출간 2020.05.10),"27,000원",10,인문
트라우마는 어떻게 삶을 파고드는가,폴 콘티,심심,2022.08.02 (종이책 출간 2022.06.07),"14,400원",9.6,인문
아버지의 사과 편지,이브 엔슬러,심심,2020.09.14 (종이책 출간 2020.08.14),"10,125원",10,인문
소설쓰기의 모든 것. 5: 고쳐쓰기,제임스 스콧 벨,다른,2020.10.05 (종이책 출간 2018.11.26),"15,750원",9.7,인문
100만 클릭을 부르는 웹소설의 법칙,차소희,더퀘스트,2022.09.03 (종이책 출간 2022.08.30),"10,710원",10,인문
나의 수치심에게,일자 샌드,타인의사유,2021.09.09 (종이책 출간 2021.09.01),"8,730원",9,인문
역사의 쓸모,최태성,다산초당,2019.06.18 (종이책 출간 2019.06.14),"9,450원",9.7,인문
"천경호 선생님의  보통의 교실, 단단한 학급경영",천경호 저,우리학교,2023.02.15 (종이책 출간 2023.02.03),"10,080원",0,인문
한국실용 글쓰기 실제 기출분석(2023),이영택,시대고시기획,2023.03.06 (종이책 출간 2023.03.06),"11,340원",0,인문
옥스퍼드 오늘의 단어책,수지 덴트,윌북,2023.01.27 (종이책 출간 2023.01.30),"12,510원",10,인문
초등입학 엄마의 비밀노트,지서영,이페이지,2023.01.20,900원,10,인문
수심결과 마음공부,법상,불광출판사,2023.02.17 (종이책 출간 2023.02.01),"12,600원",10,종교
메시지 S,유진 피터슨,복있는사람,2018.04.26 (종이책 출간 2017.12.04),"17,550원",9.6,종교
사순절 묵상집,월터 브루그만,한국장로교출판사,2021.02.02 (종이책 출간 2018.02.01),"5,040원",10,종교
당신의 아름다운 세계,바이런 케이티,침묵의향기,2020.01.23 (종이책 출간 2019.09.30),"10,584원",8.7,종교
왕의 재정. 1(100쇄 기념 리커버 에디션),김미진,규장,2021.11.23 (종이책 출간 2021.09.30),"11,340원",9.4,종교
이즈비. 2,아쉬타르 쉬란,좋은옥토,2019.03.18 (종이책 출간 2019.02.13),"6,480원",0,종교
신학을 공부하는 이들에게,헬무트 틸리케,IVP,2022.12.09 (종이책 출간 2019.02.21),"5,400원",0,종교
교회 레크리에이션,한철유,물푸레,2013.07.29 (종이책 출간 2011.05.16),"6,480원",7.5,종교
그리스도의 편지: 예수가 말하는 예수의 생애와 가르침,기록자 받아씀,정신세계사,2016.09.01 (종이책 출간 2015.09.25),"15,750원",9.8,종교
탈무드,노먼 솔로몬,규장,2022.02.15 (종이책 출간 2021.04.05),"30,240원",9.3,종교
사순절에 누리는 회개의 기쁨,하재성,이레서원,2023.02.13 (종이책 출간 2023.02.10),"11,340원",0,종교
법련 2월호(2023년),화광신문사 출판국 법련부編,화광신문사,2023.01.18,"1,350원",10,종교
팀 켈러의 용서를 배우다,팀 켈러,두란노서원,2022.12.14 (종이책 출간 2022.11.23),"15,120원",10,종교
중관학특강,김성철,도서출판 오타쿠,2022.04.15,"13,500원",0,종교
모세오경 미드라쉬의 랍비들의 설교,마이클 카츠,한국기독교연구소,2012.01.02 (종이책 출간 2008.11.10),"8,820원",10,종교
조주선사 선문답 (하),석우,여래,2013.05.16 (종이책 출간 2006.04.25),"5,787원",10,종교
이스라엘의 역사,존 브라이트,은성,2022.01.03 (종이책 출간 2015.02.25),"31,500원",10,종교
심리학하는 교회언니 헵시바의 연애 상담,헵시바,두란노서원,2022.06.10 (종이책 출간 2022.05.11),"8,190원",10,종교
보라 통독,이상준,두란노서원,2022.08.19 (종이책 출간 2021.03.11),"16,200원",9.9,종교
일과 영성,팀 켈러,두란노서원,2014.11.24 (종이책 출간 2013.11.18),"8,190원",9.7,종교
칭의와 성화,김세윤,두란노서원,2015.10.13 (종이책 출간 2013.08.19),"8,190원",10,종교
켄 윌버의 통합불교,켄 윌버,김영사,2022.03.23 (종이책 출간 2022.03.07),"8,640원",7.5,종교
당신은 행복하십니까?,유기성,위드지저스,2021.07.21 (종이책 출간 2021.01.13),"5,400원",10,종교
따라하는 기도. 2,장재기,규장,2022.02.21 (종이책 출간 2021.12.24),"9,450원",9.6,종교
깨어진 그릇,김태훈,규장,2021.11.09 (종이책 출간 2021.10.28),"7,560원",9.6,종교
신학이 있는 믿음,로니 커츠,두란노,2023.02.08 (종이책 출간 2023.01.18),"8,820원",0,종교
동산의 샘,제시카 윤,규장,2023.02.03,"15,750원",0,종교
더 이상 바랄 것이 없었다,홍민기,규장,2023.02.02 (종이책 출간 2023.01.18),"8,820원",0,종교
안식,아브라함 요수아 헤셸,복있는사람,2022.10.24 (종이책 출간 2007.01.26),"7,560원",9.8,종교
IVP 성경비평주석 신약,앤서니 살다리니 외,IVP,2021.08.02,"44,640원",0,종교
법화경 방편품ㆍ수량품 강의(보급판),이케다 다이사쿠(池田大作),화광신문사,2020.11.18,"3,600원",10,종교
한마음요전,대행,한마음선원,2021.09.11 (종이책 출간 2016.11.30),"15,750원",9,종교
초기 교회에서 배우는 주기도문,후스토 곤잘레스,이레서원,2022.07.27 (종이책 출간 2022.03.21),"8,820원",10,종교
바울과 믿음 언어,니제이 굽타,이레서원,2021.09.07 (종이책 출간 2021.08.09),"13,860원",10,종교
사막교부들의 금언,엄성옥 (번역),은성,2021.07.12 (종이책 출간 2017.03.08),"19,800원",10,종교
부르심,에드먼드 클라우니,복있는사람,2021.12.01 (종이책 출간 2020.01.23),"6,300원",9.4,종교
너는 생각보다 강하다,닉 부이치치,두란노서원,2018.05.30 (종이책 출간 2018.05.23),"6,930원",9.8,종교
"우리, 서로 사랑하자",유기성,두란노서원,2014.12.11 (종이책 출간 2014.09.29),"8,190원",9.8,종교
신도의 공동생활 성서의 기도서,본회퍼,대한기독교서회,2013.09.09 (종이책 출간 2010.10.15),"10,080원",10,종교
기독교가 직면한 12가지 질문,레베카 맥클러플린,죠이북스,2022.08.17 (종이책 출간 2021.11.15),"11,340원",8.5,종교
마스터의 제자,피터 마운트 샤스타,정신세계사,2022.05.12 (종이책 출간 2022.04.19),"21,600원",10,종교
모든 사람을 위한 사도행전. 2: 13-28장,톰 라이트,IVP,2022.02.04 (종이책 출간 2019.09.24),"11,700원",10,종교
이렇게 선택하라,이동원,나침반사,2012.09.01 (종이책 출간 2010.05.20),"2,025원",0,종교
아직 결혼하지 않은 당신에게,마셜 시걸,생명의말씀사,2021.01.15 (종이책 출간 2020.09.07),"10,710원",9.6,종교
두려움 없는 복음전도,존 레녹스,생명의말씀사,2022.02.24 (종이책 출간 2020.06.22),"3,780원",9.4,종교
거기 계시는 하나님(프란시스쉐퍼1),프란시스 쉐퍼,생명의말씀사,2017.11.20 (종이책 출간 1995.03.01),"6,300원",10,종교
라싸 종교회의 세트,폴 드미에빌,씨아이알,2018.01.17 (종이책 출간 2017.08.08),"19,350원",0,종교
그리스도인으로 백년을,김형석,두란노,2023.02.10 (종이책 출간 2023.01.26),"11,340원",0,종교
천종호 판사의 하나님 나라와 공동선,천종호,두란노서원,2023.02.01 (종이책 출간 2022.12.26),"15,120원",0,종교
집 떠나 사는 즐거움,해인사승가대학,불광출판사,2023.02.10 (종이책 출간 2023.02.02),"11,340원",10,종교
영원한 진리를 찾아서,맥도널드 베인,정신세계사,2023.01.20 (종이책 출간 2022.10.28),"17,640원",10,종교
킹 제임스 역 논쟁,D. A. 카슨,이레서원,2023.01.16,"7,200원",0,종교
[개정판] 은혜의 복음이란 무엇인가,마이클 호튼,부흥과개혁사,2023.01.20,"19,800원",0,종교
BECNT 고린도후서,조지 거스리,부흥과개혁사,2023.01.15 (종이책 출간 2023.01.15),"48,600원",10,종교
그리스도 이야기,"스캇 맥나이트,필립 로",비아토르,2023.01.11 (종이책 출간 2023.01.09),"10,800원",0,종교
하나님의 숨결,김병삼,두란노,2023.01.05 (종이책 출간 2022.12.23),"13,860원",9.7,종교
신학이 무슨 소용이냐고 묻는 이들에게,알리스터 맥그라스,포이에마,2022.12.26 (종이책 출간 2022.12.26),"9,450원",10,종교
트라우마는 어떻게 치유되는가,김규보,생명의말씀사,2022.12.30 (종이책 출간 2022.03.31),"11,970원",0,종교
바빙크,제임스 에글린턴,다함,2022.12.30 (종이책 출간 2023.01.03),"33,390원",0,종교
체계불학,김성철,도서출판 오타쿠,2022.12.23,"17,100원",0,종교
10대를 위한 반야심경,사이토 다카시,불광출판사,2022.12.27 (종이책 출간 2022.02.11),"9,135원",0,종교
성찬이란 무엇인가,톰 라이트,IVP,2022.12.09 (종이책 출간 2021.06.24),"5,400원",0,종교
우상,J. C. 라일,복있는사람,2022.11.01 (종이책 출간 2012.08.10),"3,150원",7.5,종교
래리 크랩의 파파 기도,래리 크랩,한국기독학생회출판부(IVP),2022.11.02 (종이책 출간 2007.03.15),"9,900원",9.1,종교
부모의 의무,J. C. 라일,복있는사람,2022.10.24 (종이책 출간 2012.07.02),"4,050원",10,종교
따라하는 기도 구약편,장재기,규장,2022.10.05,"11,340원",0,종교
한국 교회 트렌드 2023,지용근,규장,2022.09.15,"12,600원",10,종교
매일 드리는 기도 365,이광천,창과현,2017.08.29,"5,400원",10,종교
이공성자와 여인들,신명열,정자나무,2016.03.11,"7,020원",0,종교
불교란 무엇인가 불교란 무엇이 아닌가,이일야,담앤북스,2019.06.01 (종이책 출간 2015.02.06),"9,000원",9.2,종교
사찰의 비밀,자현,담앤북스,2016.09.19 (종이책 출간 2014.09.26),"10,800원",9.7,종교
도표로 읽는 경전 입문,정운,민족사,2019.04.24 (종이책 출간 2018.06.10),"8,640원",9.8,종교
그리스도와 친해지기,김기원,마인드북스,2012.02.03 (종이책 출간 2011.06.14),"5,850원",10,종교
마더 데레사의 단순한 길,마더 데레사,사이,2006.11.21 (종이책 출간 2006.09.10),"5,607원",9.4,종교
김교신 전집 7(일기 3),노평구 엮음,부키,2007.10.10 (종이책 출간 2002.02.15),"16,200원",10,종교
지금 여기 깨어있기,법륜,정토출판,2015.05.21 (종이책 출간 2014.12.25),"7,560원",9.6,종교
관상기도,홍성주,신앙과지성사,2013.12.26 (종이책 출간 2012.11.11),"5,445원",10,종교
하나님께 인정받는 사역자,오스왈드 챔버스,토기장이,2012.06.17 (종이책 출간 2009.10.20),"4,500원",10,종교
세이비어교회(실천편),유성준,평단,2007.01.17 (종이책 출간 2006.12.15),"4,320원",10,종교
빌립보서 강해,김세윤,두란노서원,2015.09.18 (종이책 출간 2011.04.01),"6,300원",10,종교
다시 만나는 교회,박영호,복있는사람,2021.06.08 (종이책 출간 2020.06.30),"8,190원",10,종교
회개,토머스 왓슨,복있는사람,2022.07.12 (종이책 출간 2015.09.21),"6,300원",10,종교
오픈 시크릿,레슬리 뉴비긴,복있는사람,2021.12.01 (종이책 출간 2012.04.18),"8,640원",10,종교
R.T.  켄달의 임재,R. T. 켄달,순전한나드,2019.03.12 (종이책 출간 2019.02.01),"8,190원",9.7,종교
주 안에서 사람은 바뀐다,유기성,규장,2018.11.08 (종이책 출간 2018.10.05),"8,820원",9.6,종교
하나님의 길에 우연은 없다,A. W. 토저,규장,2018.04.03 (종이책 출간 2017.08.21),"6,930원",9.3,종교
알고 싶어요 성령님,손기철,규장,2013.03.13 (종이책 출간 2012.11.05),"7,020원",9.2,종교
인간 본성의 4중 상태,토머스 보스턴,부흥과개혁사,2022.02.28 (종이책 출간 2015.12.20),"18,000원",10,종교
NICOT 레위기,고든 웬함,부흥과개혁사,2022.07.14 (종이책 출간 2014.05.01),"14,400원",10,종교
만화 웨스트민스터 소교리문답. 2,백금산,부흥과개혁사,2021.01.20 (종이책 출간 2010.07.10),"9,450원",9.7,종교
부처님 말씀과 마음공부,법상,무한,2009.10.31 (종이책 출간 2008.04.19),"7,290원",10,종교
은혜 입은 자의 삶,조은아,두란노,2021.04.02 (종이책 출간 2021.02.17),"6,930원",10,종교
매일 기도,조정민,두란노,2021.02.08 (종이책 출간 2021.01.27),"11,340원",9.8,종교
죽음을 넘어 부활을 살다,김기석,두란노서원,2018.04.02 (종이책 출간 2018.03.21),"8,190원",10,종교
"팬인가, 제자인가(Not a fan)",카일 아이들먼,두란노서원,2017.01.31 (종이책 출간 2017.01.23),"9,450원",9.8,종교
자라는 중이니까 괜찮아,이기복,두란노서원,2017.02.03 (종이책 출간 2016.08.18),"8,820원",9.8,종교
인물별 성경연구,앨런 스트링펠로우,두란노서원,2016.06.29 (종이책 출간 2016.03.14),"11,340원",6.7,종교
"팀 켈러, 결혼을 말하다",팀 켈러,두란노서원,2022.04.11 (종이책 출간 2014.05.26),"9,450원",9.7,종교
주제별 성경연구,알반 더글라스,두란노서원,2017.10.12 (종이책 출간 2011.08.08),"11,340원",0,종교
가족 전도,랜디 뉴먼,CH북스(크리스천다이제스트),2020.05.21 (종이책 출간 2020.05.22),"10,125원",10,종교
삼국지 원전 완역판 10 오장원,요시카와 에이지,코너스톤,2022.01.13 (종이책 출간 2020.03.09),900원,9.4,소설
구의 증명,최진영,은행나무,2015.10.06 (종이책 출간 2015.03.30),"6,480원",9.6,소설
불편한 편의점,김호연,나무옆의자,2021.05.03 (종이책 출간 2021.04.20),"8,820원",9.8,소설
재생,이광수,애플북스,2014.12.01 (종이책 출간 2014.11.28),"6,660원",8.4,소설
사랑의 이해,이혁진,민음사,2019.04.25 (종이책 출간 2019.04.19),"9,450원",9.6,소설
아버지의 해방일지,정지아,창비,2022.09.08 (종이책 출간 2022.09.02),"10,800원",9.9,소설
참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2021.06.04 (종이책 출간 2011.11.25),"10,080원",9.3,소설
파친코 1,이민진,인플루엔셜,2022.09.05 (종이책 출간 2022.08.05),"11,250원",9.8,소설
밝은 밤,최은영,문학동네,2021.07.26 (종이책 출간 2021.07.27),"9,180원",9.9,소설
홍학의 자리,정해연,엘릭시르,2021.07.21 (종이책 출간 2021.07.26),"8,820원",9.8,소설
동급생,프레드 울만,열린책들,2017.02.27 (종이책 출간 2017.02.10),"7,650원",9.7,소설
미드나잇 선. 2,스테프니 메이어,북폴리오,2020.12.30 (종이책 출간 2020.12.24),"9,900원",9.8,소설
링 외전: 버스데이,스즈키 고지,황금가지,2021.08.25 (종이책 출간 2018.10.11),"7,560원",9.7,소설
불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022.08.12 (종이책 출간 2022.08.10),"8,820원",9.8,소설
안젤리크,기욤 뮈소,밝은세상,2023.01.09 (종이책 출간 2022.12.21),"10,800원",9.5,소설
괴도신사 아르센 뤼팽10- 시계종이 여덟 번 울릴 때,모리스 르블랑,범조사,2013.02.26,"1,530원",0,소설
하얼빈,김훈,문학동네,2022.08.03 (종이책 출간 2022.08.03),"10,080원",9.8,소설
잃어버린 시간을 찾아서 1: 스완네 집 쪽으로 1,마르셀 프루스트,민음사,2012.10.19 (종이책 출간 2012.09.05),"9,450원",9.4,소설
안나 카레니나. 3,톨스토이,민음사,2012.06.29 (종이책 출간 2009.09.04),"8,190원",9.9,소설
콜레라 시대의 사랑. 2,가르시아 마르케스,민음사,2006.06.28 (종이책 출간 2004.02.05),"6,300원",9.5,소설
아몬드,손원평,창비,2017.03.30 (종이책 출간 2017.03.31),"7,560원",9.5,소설
내가 되는 꿈,최진영,현대문학,2021.03.29 (종이책 출간 2021.02.25),"8,820원",10,소설
퇴마록 말세편 5(완결),이우혁,엘릭시르,2012.12.10 (종이책 출간 2012.10.10),"10,710원",9.9,소설
페스트,알베르 카뮈,민음사,2012.07.06 (종이책 출간 2011.04.03),"8,820원",9.4,소설
오이디푸스 왕,소포클레스,민음사,2022.07.25 (종이책 출간 2009.08.21),"6,930원",9.2,소설
1984,조지 오웰,민음사,2012.07.06 (종이책 출간 2007.03.30),"5,985원",9.7,소설
젊은 느티나무,강신재,민음사,2006.10.12 (종이책 출간 2005.10.01),"6,930원",9.7,소설
야만스러운 탐정들. 2,로베르토 볼라뇨,열린책들,2018.12.14 (종이책 출간 2012.06.15),"9,900원",10,소설
파과,구병모,위즈덤하우스,2018.04.23 (종이책 출간 2018.04.16),"8,820원",9.4,소설
왜 나는 너를 사랑하는가(70만 부 기념 리커버),알랭 드 보통,청미래,2022.11.25 (종이책 출간 2022.11.10),"8,820원",9.4,소설
커튼콜은 사양할게요,김유담,창비,2022.11.11,"11,520원",0,소설
이토록 평범한 미래,김연수,문학동네,2022.10.05 (종이책 출간 2022.10.07),"8,820원",9.5,소설
마법사 자노니 2,에드워드 불워 리턴,창천사,2007.03.29 (종이책 출간 2006.12.26),"4,050원",10,소설
피를 마시는 새 8 : 하늘을 딛는 자,이영도,황금가지,2006.06.22 (종이책 출간 2005.07.20),"7,290원",10,소설
신들의 전쟁(하)(10주년 기념 개정판),닐 게이먼,황금가지,2013.05.09 (종이책 출간 2008.11.14),"8,640원",7.9,소설
타오르는 강. 3(완결판): 역류,문순태,소명출판,2013.09.03 (종이책 출간 2012.02.25),"8,640원",0,소설
단순한 열정,아니 에르노,문학동네,2016.12.12 (종이책 출간 2015.03.30),"6,300원",9.5,소설
바람의 그림자. 2,카를로스 루이스 사폰,문학동네,2020.08.05 (종이책 출간 2014.12.10),"9,180원",8.4,소설
대지의 기둥. 3,켄 폴릿,문학동네,2020.08.27 (종이책 출간 2016.04.15),"9,180원",10,소설
Y의 비극(미스테리 베스트1),엘러리 퀸,해문출판사,2015.12.23 (종이책 출간 2003.07.30),"3,780원",8.7,소설
암 병동. 2,알렉산드르 이사예비치 솔제니친,민음사,2021.02.26 (종이책 출간 2015.09.11),"8,460원",10,소설
설국,가와바타 야스나리,민음사,2018.11.21 (종이책 출간 2002.01.28),"5,040원",9.2,소설
노르웨이의 숲,무라카미 하루키,민음사,2019.05.23 (종이책 출간 2017.08.07),"9,900원",9.3,소설
심판,베르나르 베르베르,열린책들,2020.08.25 (종이책 출간 2020.08.18),"9,000원",8.9,소설
이문열 삼국지. 10,나관중,알에이치코리아,2020.03.26 (종이책 출간 2020.03.25),"9,324원",10,소설
제3의 시나리오. 2: 오퍼레이션 페닌술라,김진명,알에이치코리아,2019.07.08 (종이책 출간 2019.03.07),"9,324원",9.2,소설
나이트 매니저. 2,존 르카레,알에이치코리아,2016.07.21 (종이책 출간 2016.05.16),"8,694원",9.4,소설
패강랭(외),이태준,범우사,2016.06.09 (종이책 출간 2015.07.20),"2,250원",9.2,소설
테메레르. 9: 용들의 연합(완결),나오미 노빅,노블마인,2018.06.27 (종이책 출간 2018.06.20),"9,324원",10,소설
젊은 베르테르의 슬픔,요한 볼프강 폰 괴테,펭귄클래식코리아,2020.03.11 (종이책 출간 2015.06.01),"4,050원",10,소설
살인자의 기억법,김영하,복복서가,2020.08.25 (종이책 출간 2020.08.28),"6,300원",9.7,소설
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,2021.07.15 (종이책 출간 2021.06.28),"9,000원",9.4,소설
삼국지 원전 완역판 세트 [교보전용],나관중 (원작),코너스톤,2022.01.13 (종이책 출간 2020.03.09),"8,100원",8.9,소설
치인의 사랑,다니자키 준이치로,새움,2022.03.31 (종이책 출간 2022.03.30),"6,120원",9.8,소설
누운 배,이혁진,한겨레출판사,2022.04.26 (종이책 출간 2021.08.11),"9,936원",10,소설
허들,신주희,자음과모음,2022.12.19 (종이책 출간 2022.12.19),"8,820원",10,소설
"오늘 밤, 세계에서 이 눈물이 사라진다 해도",이치조 미사키,모모,2022.08.26,"9,000원",9.8,소설
[세트] 타나토노트 (총2권),베르나르 베르베르,열린책들,2022.10.27,"17,820원",0,소설
우리의 계절,이상택,델피노,2022.10.05 (종이책 출간 2022.10.05),"9,450원",10,소설
모방범 3권 세트,미야베 미유키,문학동네,2022.02.21,"26,190원",10,소설
애거서 크리스티 전집 세트 A (1~10),애거서 크리스티,황금가지,2022.01.21,"63,000원",0,소설
취업 사기의 비밀 - 셜록 홈즈,아서 코난 도일,위즈덤커넥트,2020.12.04,"1,530원",10,소설
광란의 일요일(한글판 영문판),프랜시스 스콧 피츠제럴드,더클래식,2013.11.14 (종이책 출간 2013.11.12),891원,10,소설
"인스타리드 재레드 다이아몬드의 총, 균, 쇠",인스타리드,멜론,2016.10.20,"2,700원",5.3,소설
자기 앞의 생,에밀 아자르,문학동네,2012.09.13 (종이책 출간 2003.05.06),"8,190원",9.6,소설
매스커레이드 호텔,히가시노 게이고,현대문학,2012.08.07 (종이책 출간 2012.07.31),"9,000원",9.5,소설
눈물을 마시는 새 4,이영도,황금가지,2012.06.29,"7,200원",10,소설
사도세자,이재운,책이있는마을,2014.09.19 (종이책 출간 2014.10.17),"8,190원",7.5,소설
봄에 나는 없었다,애거사 크리스티,포레,2022.06.09 (종이책 출간 2022.06.10),"9,450원",9.6,소설
누구에게나 친절한 교회 오빠 강민호,이기호,문학동네,2018.06.25 (종이책 출간 2018.05.28),"8,550원",9.5,소설
파도가 바다의 일이라면,김연수,문학동네,2015.11.03 (종이책 출간 2015.10.03),"8,190원",9.4,소설
한때 흑인이었던 남자의 자서전,제임스 웰든 존슨,문학동네,2012.11.15 (종이책 출간 2010.03.15),"6,930원",10,소설
가재가 노래하는 곳,델리아 오언스,살림,2019.06.17 (종이책 출간 2019.06.21),"10,080원",9.7,소설
고슴도치의 소원,톤 텔레헨,아르테(arte),2017.02.28 (종이책 출간 2017.02.10),"9,720원",8.8,소설
더 셜리 클럽,박서련,민음사,2020.10.28 (종이책 출간 2020.08.21),"8,820원",9.8,소설
노인과 바다,어니스트 헤밍웨이,민음사,2012.07.06 (종이책 출간 2012.01.02),"5,040원",10,소설
적과 흑 2,스탕달,민음사,2007.10.07 (종이책 출간 2004.01.15),"6,660원",9.6,소설
어른이 된다는 건,요시모토 바나나,민음사,2015.12.04 (종이책 출간 2015.10.16),"8,190원",8.3,소설
소년이 온다,한강,창비,2015.02.05 (종이책 출간 2014.05.19),"7,560원",9.8,소설
우리들,예브게니 이바노비치 자먀찐,열린책들,2013.04.26 (종이책 출간 2009.11.30),"7,200원",9.4,소설
명암 -나쓰메 소세키 전집14,나쓰메 소세키,현암사,2017.08.04 (종이책 출간 2016.06.25),"10,710원",9.9,소설
편지,히가시노 게이고,알에이치코리아,2019.05.21 (종이책 출간 2019.04.15),"9,324원",9.6,소설
검은 꽃,김영하,복복서가,2020.07.20 (종이책 출간 2020.07.20),"6,930원",9.9,소설
악몽을 먹고 자란 소년,조용,위즈덤하우스,2020.09.28 (종이책 출간 2020.07.18),"7,560원",9.8,소설
우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.07.30 (종이책 출간 2019.06.24),"7,560원",9.5,소설
루스벨트 게임,이케이도 준,인플루엔셜,2020.06.30 (종이책 출간 2020.07.01),"10,800원",9.8,소설
알베르뜨 외,레프 똘스또이,뿌쉬낀하우스,2019.03.04 (종이책 출간 2018.01.19),"8,190원",10,소설
그림형제 동화 54. 요술 배낭 모자 피리,그림형제,본투비,2022.09.01,900원,10,소설
영원한 우정으로 2,넬레 노이하우스,북로드,2022.09.13 (종이책 출간 2022.07.29),"9,954원",9.8,소설
폴른: 저주받은 자들의 도시,데이비드 발다치,더난출판사,2019.07.06 (종이책 출간 2019.07.12),"8,100원",9.7,소설
비밀,히가시노 게이고,소미미디어,2021.09.29 (종이책 출간 2021.07.21),"10,620원",9.6,소설
니 책 살빠엔 치킨 사 먹겠다.,로겸,이친구들세상,2023.01.18,"7,920원",0,소설
시간초월자,태라 전난영,기억의창고,2023.01.18,"6,300원",0,소설
사라진 소녀들의 숲,"허주은 저,유혜인 역",미디어창비,2023.01.05 (종이책 출간 2022.12.14),"12,240원",9.9,소설
마음의 비율,김승연,마시멜로,2023.01.13 (종이책 출간 2023.01.02),"11,520원",10,소설
행운흥신소 사건일지 두 번째 사건,박치형,엠스토리허브,2022.06.27,"6,300원",0,소설
어린 왕자,앙투안 드 생텍쥐페리,새움,2022.12.20 (종이책 출간 2017.09.22),"5,040원",0,소설
투서,바흐,마카롱,2022.12.30,"3,150원",10,소설
플레이걸 파울,김상아,마카롱,2022.12.09,"4,500원",0,소설
나주에 대하여,김화진,문학동네,2022.11.07 (종이책 출간 2022.10.26),"9,450원",9.5,소설
2021 JLPT(일본어능력시험) 한권으로 끝내기 N4,이치우,다락원,2021.11.03 (종이책 출간 2021.09.01),"18,450원",9.7,국어/외국어
비즈니스 영어회화 & 이메일 표현사전,이지윤,길벗이지톡,2023.02.08 (종이책 출간 2023.01.30),"18,000원",10,국어/외국어
거의 모든 일상 표현의 영어,케빈 강,사람in,2022.11.03 (종이책 출간 2022.10.26),"10,710원",10,국어/외국어
영어회화 이디엄 3,김아영,사람in,2022.05.27 (종이책 출간 2022.05.27),"10,710원",10,국어/외국어
미국인 사용빈도 다반사 영어회화 구동사,김아영,사람in,2023.02.06 (종이책 출간 2023.02.02),"11,340원",10,국어/외국어
입트영 + 귀트영 세트(EBS 방송교재 2023년 2월호),"이현석, 제니퍼 클라이드",EBS한국교육방송공사,2023.01.27,"15,840원",10,국어/외국어
파고다 토익 보카,파고다교육그룹 언어교육연구소,파고다북스,2020.03.17 (종이책 출간 2020.01.02),"8,640원",10,국어/외국어
유수연 토익 어휘1200 강의노트,유수연,사람in,2019.07.08 (종이책 출간 2017.07.27),"8,694원",9.4,국어/외국어
2023 해커스 토익 실전 1000제 1 RC Reading(리딩) 문제집,해커스 어학연구소,해커스어학연구소,2023.01.02 (종이책 출간 2023.01.02),"8,568원",9.6,국어/외국어
YBM 스타트 토익 LC,YBM 토익연구소,YBM,2019.05.17 (종이책 출간 2017.09.20),"8,190원",9.2,국어/외국어
영어회화 100일의 기적,문성현,넥서스,2023.01.21 (종이책 출간 2022.09.05),"9,450원",10,국어/외국어
일본어 문법 무작정 따라하기,후지이 아사리,길벗이지톡,2023.02.14 (종이책 출간 2023.02.14),"18,720원",0,국어/외국어
POWER ENGLISH(EBS 방송교재 2023년 2월 + 2023년 1월),"크리스틴 조, Cameron Lee Word",EBS한국교육방송공사,2023.01.27,"11,520원",0,국어/외국어
영어회화 핵심패턴 233,백선엽,길벗이지톡,2023.01.19 (종이책 출간 2023.01.15),"12,960원",10,국어/외국어
