aladin_rank,subject,aladin_writer,aladin_publisher,aladin_date,aladin_price,aladin_review,aladin_genre,sm_genre,present_date
  37    ,세상에서 가장 맛있게 와인을 즐기는 방법,"휴 존슨 (지은이), 황근하 (옮긴이) ", 휴먼앤북스(Human&Books) ,2010-10-01,7500,4.5,요리/살림,가정/생활,2023-02-24
  38    ,진짜 기본 요리책,수퍼레시피 (지은이) , 레시피팩토리 ,2020-12-01,13160,4.5,요리/살림,가정/생활,2023-02-24
  39    ,만원으로 일주일 반찬 만들기,송혜영 (지은이) , 길벗 ,2020-06-01,10080,5.0,요리/살림,가정/생활,2023-02-24
  40    ,멀티 오르가슴 바이블,"조명준 (지은이), 레드홀릭스 (기획) ", 라이스메이커 ,2019-08-01,10500,5.0,요리/살림,가정/생활,2023-02-24
  41    ,라미의 믿고 먹는 다이어트 레시피,이주아 (지은이) , 북테이블 ,2021-08-01,12600,5.0,요리/살림,가정/생활,2023-02-24
  42    ,정리 못하는 사람을 위한 정리책,"와타나베 아야 (지은이), 김수정 (옮긴이) ", 즐거운상상 ,2021-05-01,9800,5.0,요리/살림,가정/생활,2023-02-24
  43    ,집밥 수업,이윤정 (지은이) , 빅피시 ,2021-12-01,12950,4.5,요리/살림,가정/생활,2023-02-24
  44    ,와인 상식사전,이기태 (지은이) , 길벗 ,2017-06-01,11600,4.5,요리/살림,가정/생활,2023-02-24
  45    ,나의 프랑스식 샐러드,이선혜 (지은이) , 브.레드(b.read) ,2020-08-01,12000,5.0,요리/살림,가정/생활,2023-02-24
  46    ,피부에 헛돈 쓰지 마라,"옥지윤, 함익병 (지은이) ", 중앙books(중앙북스) ,2015-07-01,10500,4.5,요리/살림,가정/생활,2023-02-24
  47    ,사라진 암,한상도 (지은이) , 사이몬북스 ,2021-10-01,9000,5.0,요리/살림,가정/생활,2023-02-24
  48    ,혼자서도 얼굴이 예뻐지는 페이스 스트레칭,정파카(정섬결) (지은이) , 북스고 ,2021-01-01,9000,5.0,요리/살림,가정/생활,2023-02-24
  49    ,내 몸에 착한 매일 저염식,이정민 (지은이) , 니들북 ,2015-01-01,6500,4.5,요리/살림,가정/생활,2023-02-24
  50    ,1인 가구 맞춤 요리책 : 작은 주방에서 적은 재료로 만드는 1인 가구 맞춤 메뉴 150개,월간 수퍼레시피 (지은이) , 레시피팩토리 ,2018-03-01,11060,5.0,요리/살림,가정/생활,2023-02-24
  51    ,맛있고 배부른 다노 다이어트 레시피,"이지수, 이애리 (지은이) ", 세미콜론 ,2021-08-01,13300,5.0,요리/살림,가정/생활,2023-02-24
  52    ,1일 1쓰레기 1제로,"캐서린 켈로그 (지은이), 박여진 (옮긴이) ", 현대지성 ,2022-10-01,11000,5.0,요리/살림,가정/생활,2023-02-24
  53    ,커피인문학,"박영순 (지은이), 유사랑 (그림) ", 인물과사상사 ,2018-01-01,13300,4.0,요리/살림,가정/생활,2023-02-24
  54    ,집밥이 더 맛있어지는 명랑쌤 비법 국물요리,명랑쌤(이혜원) (지은이) , 레시피팩토리 ,2021-02-01,9660,5.0,요리/살림,가정/생활,2023-02-24
  55    ,오늘부터 우리는 비건 집밥,김보배 (지은이) , 길벗 ,2021-12-01,10500,5.0,요리/살림,가정/생활,2023-02-24
  56    ,자연식물식 다이어트 30일 챌린지,오공삼(오영세) (지은이) , 21세기북스 ,2020-01-01,11040,4.5,요리/살림,가정/생활,2023-02-24
  57    ,소금 지방 산 열,"사민 노스랏 (지은이), 웬디 맥노튼 (그림), 제효영 (옮긴이), 황의정 (캘리그래피) ", 세미콜론 ,2020-08-01,23100,4.5,요리/살림,가정/생활,2023-02-24
  58    ,셀러리 주스,"앤서니 윌리엄 (지은이), 황은정 (옮긴이) ", 샨티 ,2022-05-01,18000,4.0,요리/살림,가정/생활,2023-02-24
  59    ,커픽처스 커피 레시피 101,김현석 (지은이) , 비타북스 ,2022-11-01,15000,5.0,요리/살림,가정/생활,2023-02-24
  60    ,무니키친의 저탄고지 다이어트 레시피,무니키친 (지은이) , 베가북스 ,2021-07-01,11060,5.0,요리/살림,가정/생활,2023-02-24
  61    ,카페 실무 매뉴얼,신기욱 (지은이) , 클 ,2021-06-01,21000,0.0,요리/살림,가정/생활,2023-02-24
  62    ,베이킹 하다 앳 홈,박정아 (지은이) , 중앙books(중앙북스) ,2022-02-01,14400,5.0,요리/살림,가정/생활,2023-02-24
  63    ,이정현의 집밥레스토랑,이정현 (지은이) , 서사원 ,2020-04-01,15400,4.0,요리/살림,가정/생활,2023-02-24
  64    ,마음이 단단해지는 살림,강효진(보통엄마jin) (지은이) , 비타북스 ,2022-02-01,10500,5.0,요리/살림,가정/생활,2023-02-24
  65    ,조말순 채소법 : 집밥,김지나 (지은이) , 길벗 ,2022-11-01,21600,5.0,요리/살림,가정/생활,2023-02-24
  66    ,조말순 채소법 : 도시락,김지나 (지은이) , 길벗 ,2022-11-01,24000,5.0,요리/살림,가정/생활,2023-02-24
  67    ,매일매일 달걀요리,"달걀과학연구회 (지은이), 곤도 가즈오, 미네키 마치코 (감수) ", 시그마북스 ,2022-02-01,9450,5.0,요리/살림,가정/생활,2023-02-24
  68    ,맛있게 쓴 옥주부 레시피 100,정종철 (지은이) , 중앙books(중앙북스) ,2021-06-01,14400,5.0,요리/살림,가정/생활,2023-02-24
  69    ,나를 만져요 : 내 남자를 사로잡는 은밀한 섹스의 기술,사막여우 ,,2013-10-01,5800,4.0,요리/살림,가정/생활,2023-02-24
  70    ,에어프라이어로 시작하는 건강 다이어트 요리,김희영 (지은이) , 레시피팩토리 ,2020-11-01,9660,5.0,요리/살림,가정/생활,2023-02-24
  71    ,사랑하지 않을 수 없는 달걀 요리,"쓰레즈레 하나코 (지은이), 가케히준 (그림), 조수연 (옮긴이) ", 시그마북스 ,2023-02-01,10500,4.5,요리/살림,가정/생활,2023-02-24
  72    ,결혼은 환상이고 부부는 현실이다,공진수 (지은이) , 마음책방 ,2022-02-01,10360,5.0,요리/살림,가정/생활,2023-02-24
