aladin_rank,subject,aladin_writer,aladin_publisher,aladin_date,aladin_price,aladin_review,aladin_genre,sm_genre,present_date
  24    ,아내를 모자로 착각한 남자,"올리버 색스 (지은이), 이정호 (그림), 조석현 (옮긴이) ", 알마 출판사 ,2016-11-01,13650,4.5,과학,자연/과학,2023-02-24
  25    ,자율신경계,"고바야시 히로유키 (지은이), 박주홍 (감수) ", 성안당 ,2022-12-01,7800,4.5,과학,자연/과학,2023-02-24
  26    ,나우 : 시간의 물리학,"리처드 뮬러 (지은이), 장종훈, 강형구 (옮긴이) ", 바다출판사 ,2021-08-01,18000,4.0,과학,자연/과학,2023-02-24
  27    ,신체와 질병의 구조,"윤관현, 김희성 (옮긴이), 다나카 후미히코 (감수) ", 성안당 ,2022-05-01,13200,0.0,과학,자연/과학,2023-02-24
  28    ,캐런 바라드,박신현 (지은이) , 컴북스캠퍼스 ,2023-01-01,9600,5.0,과학,자연/과학,2023-02-24
  29    ,코스모스,칼 세이건 (지은이) , 사이언스북스 ,2020-02-01,16500,3.5,과학,자연/과학,2023-02-24
  30    ,떨림과 울림,김상욱 (지은이) , 동아시아 ,2018-11-01,9000,4.5,과학,자연/과학,2023-02-24
  31    ,침묵의 봄,"레이첼 카슨 (지은이), 김은령 (옮긴이), 홍욱희 (감수) ", 에코리브르 ,2018-04-01,16000,4.5,과학,자연/과학,2023-02-24
  32    ,데이터는 어떻게 인생의 무기가 되는가,"세스 스티븐스 다비도위츠 (지은이), 안진이 (옮긴이) ", 더퀘스트 ,2022-10-01,15040,5.0,과학,자연/과학,2023-02-24
  33    ,놓아버림,"데이비드 호킨스 (지은이), 박찬준 (옮긴이) ", 판미동 ,2013-11-01,13300,5.0,과학,자연/과학,2023-02-24
  34    ,노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 ,2020-08-01,15500,4.0,과학,자연/과학,2023-02-24
  35    ,미스터리 작가를 위한 법의학 Q&A,"D. P. 라일 (지은이), 강동혁 (옮긴이), 강다솔 (감수) ", 들녘 ,2018-03-01,12600,4.5,과학,자연/과학,2023-02-24
  36    ,과학이 사랑에 대해 말해줄 수 있는 모든 것,"애나 마친 (지은이), 제효영 (옮긴이) ", 어크로스 ,2022-12-01,14000,4.5,과학,자연/과학,2023-02-24
  37    ,나를 알고 싶을 때 뇌과학을 공부합니다,"질 볼트 테일러 (지은이), 진영인 (옮긴이) ", 윌북 ,2022-03-01,13900,5.0,과학,자연/과학,2023-02-24
  38    ,오래된 기억들의 방,"베로니카 오킨 (지은이), 김병화 (옮긴이) ", 알에이치코리아(RHK) ,2022-09-01,13300,4.5,과학,자연/과학,2023-02-24
  39    ,수학은 어떻게 문명을 만들었는가,"마이클 브룩스 (지은이), 고유경 (옮긴이) ", 브론스테인 ,2022-09-01,15400,4.0,과학,자연/과학,2023-02-24
  40    ,최종 경고 : 6도의 멸종,"마크 라이너스 (지은이), 김아림 (옮긴이) ", 세종(세종서적) ,2022-07-01,14000,5.0,과학,자연/과학,2023-02-24
  41    ,지구를 구할 여자들,"카트리네 마르살 (지은이), 김하현 (옮긴이) ", 부키 ,2022-09-01,12500,5.0,과학,자연/과학,2023-02-24
  42    ,정수론 첫걸음,"Kuldeep Singh (지은이), 한빛수학교재연구소 (옮긴이) ", 한빛아카데미(교재) ,2022-10-01,33000,0.0,과학,자연/과학,2023-02-24
  43    ,헨리에타 랙스의 불멸의 삶,"레베카 스클루트 (지은이), 김정한, 김정부 (옮긴이) ", 꿈꿀자유 ,2023-02-01,18000,0.0,과학,자연/과학,2023-02-24
  44    ,이토록 뜻밖의 뇌과학,"리사 펠드먼 배럿 (지은이), 변지영 (옮긴이), 정재승 (감수) ", 더퀘스트 ,2021-08-01,12800,4.5,과학,자연/과학,2023-02-24
  45    ,엔드 오브 타임,"브라이언 그린 (지은이), 박병철 (옮긴이) ", 와이즈베리 ,2021-02-01,15400,5.0,과학,자연/과학,2023-02-24
  46    ,사이코패스 뇌과학자,"제임스 팰런 (지은이), 김미선 (옮긴이) ", 더퀘스트 ,2020-10-01,12800,4.5,과학,자연/과학,2023-02-24
  47    ,만들어진 신,"리처드 도킨스 (지은이), 이한음 (옮긴이) ", 김영사 ,2016-02-01,15750,4.0,과학,자연/과학,2023-02-24
  48    ,거의 모든 것의 역사,"빌 브라이슨 (지은이), 이덕환 (옮긴이) ", 까치 ,2020-05-01,17500,4.5,과학,자연/과학,2023-02-24
  49    ,느끼고 아는 존재,"안토니오 다마지오 (지은이), 고현석 (옮긴이), 박문호 (감수) ", 흐름출판 ,2021-09-01,13600,4.5,과학,자연/과학,2023-02-24
  50    ,나는 내가 죽었다고 생각했습니다,장호연 (옮긴이) , 윌북 ,2018-11-01,9660,4.5,과학,자연/과학,2023-02-24
  51    ,생각은 어떻게 행동이 되는가,"데이비드 바드르 (지은이), 김한영 (옮긴이) ", 해나무 ,2022-03-01,14850,5.0,과학,자연/과학,2023-02-24
  52    ,파란하늘 빨간지구,조천호 (지은이) , 동아시아 ,2019-03-01,9600,4.5,과학,자연/과학,2023-02-24
  53    ,어떻게 물리학을 사랑하지 않을 수 있을까?,"짐 알칼릴리 (지은이), 김성훈 (옮긴이) ", 윌북 ,2022-05-01,12460,4.5,과학,자연/과학,2023-02-24
  54    ,도덕을 왜 자연에서 찾는가?,"로레인 대스턴 (지은이), 홍성욱, 이지혜 (옮긴이) ", 김영사 ,2022-11-01,9900,4.5,과학,자연/과학,2023-02-24
  55    ,정재승의 과학 콘서트 (개정증보 2판),정재승 (지은이) , 어크로스 ,2020-07-01,11500,4.5,과학,자연/과학,2023-02-24
  56    ,바디,"빌 브라이슨 (지은이), 이한음 (옮긴이) ", 까치 ,2020-01-01,16100,4.5,과학,자연/과학,2023-02-24
  57    ,오래된 연장통,전중환 (지은이) , 사이언스북스 ,2017-07-01,16000,4.0,과학,자연/과학,2023-02-24
  58    ,나는 어쩌다 명왕성을 죽였나,"마이크 브라운 (지은이), 지웅배 (옮긴이) ", 롤러코스터 ,2021-04-01,13500,4.5,과학,자연/과학,2023-02-24
  59    ,대량살상수학무기,"캐시 오닐 (지은이), 김정혜 (옮긴이) ", 흐름출판 ,2017-10-01,12800,4.5,과학,자연/과학,2023-02-24
  60    ,주의력 연습,"아미시 자 (지은이), 안진이 (옮긴이) ", 어크로스 ,2022-10-01,14000,4.5,과학,자연/과학,2023-02-24
  61    ,피타고라스 생각 수업,이광연 (지은이) , 유노라이프 ,2023-01-01,15000,5.0,과학,자연/과학,2023-02-24
  62    ,수학으로 생각하기,"스즈키 간타로 (지은이), 최지영 (옮긴이), 최정담(디멘) (감수) ", 포레스트북스 ,2022-06-01,11000,5.0,과학,자연/과학,2023-02-24
  63    ,프리드버그 선형대수학,"스티븐 H. 프리드버그, 아놀드 J. 인셀, 로렌스 E. 스펜스 (지은이) ", 한빛아카데미(교재) ,2022-02-01,35000,5.0,과학,자연/과학,2023-02-24
  64    ,더 브레인,"데이비드 이글먼 (지은이), 전대호 (옮긴이) ", 해나무 ,2017-10-01,12000,4.0,과학,자연/과학,2023-02-24
  65    ,다정함의 과학,"켈리 하딩 (지은이), 이현주 (옮긴이) ", 더퀘스트 ,2022-01-01,15200,5.0,과학,자연/과학,2023-02-24
  66    ,파인만 씨 농담도 잘하시네 2,"리처드 파인만 (지은이), 김희봉 (옮긴이) ", 사이언스북스 ,2014-07-01,5600,4.5,과학,자연/과학,2023-02-24
  67    ,가까운 사람이 자기애성 성격 장애일 때,"우도 라우흐플라이슈 (지은이), 장혜경 (옮긴이) ", 심심 ,2021-03-01,13500,4.5,과학,자연/과학,2023-02-24
  68    ,근육·관절·뼈의 움직임과 구조,"오승민, 윤관현 (옮긴이), 무라오카 이사오 (감수) ", 성안당 ,2021-10-01,13200,0.0,과학,자연/과학,2023-02-24
  69    ,기적을 부르는 뇌 - 뇌가소성 혁명이120 일구어낸 인간 승리의 기록들,"노먼 도이지 (지은이), 김미선 (옮긴이) ", 지호 ,2012-08-01,18400,4.5,과학,자연/과학,2023-02-24
  70    ,해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) ,2021-07-01,26000,0.0,과학,자연/과학,2023-02-24
  71    ,아인슈타인이 괴델과 함께 걸을 때,"짐 홀트 (지은이), 노태복 (옮긴이) ", 소소의책 ,2020-05-01,21600,4.5,과학,자연/과학,2023-02-24
  72    ,타살의 흔적,"강신몽, 국립과학수사연구소의 법의관들 (지은이) ", 시공사 ,2020-02-01,9700,4.5,과학,자연/과학,2023-02-24
  73    ,작은 것들이 만든 거대한 세계,"멀린 셸드레이크 (지은이), 김은영 (옮긴이), 홍승범 (감수) ", 아날로그(글담) ,2021-05-01,14000,5.0,과학,자연/과학,2023-02-24
  74    ,양자역학 이야기,"팀 제임스 (지은이), 김주희 (옮긴이) ", 한빛비즈 ,2022-11-01,12600,5.0,과학,자연/과학,2023-02-24
  75    ,해부학의 기본,"마쓰무라 조지, 윤관현 (감수) ", 성안당 ,2021-10-01,13200,0.0,과학,자연/과학,2023-02-24
  76    ,신동원 교수의 한국과학문명사 강의,신동원 (지은이) , 책과함께 ,2023-01-01,28000,5.0,과학,자연/과학,2023-02-24
  77    ,"기억하는 뇌, 망각하는 뇌",이인아 (지은이) , 21세기북스 ,2022-07-01,13600,5.0,과학,자연/과학,2023-02-24
  78    ,나는 어떻게 성형미인이 되었나,임소연 (지은이) , 돌베개 ,2022-12-01,10500,5.0,과학,자연/과학,2023-02-24
  79    ,경락혈의 기본,"황명희, 이명훈 (옮긴이), 모리 히데토시 (감수) ", 성안당 ,2022-06-01,13200,0.0,과학,자연/과학,2023-02-24
  80    ,영양학의 기본,"와타나베 쇼 (지은이), 차원, 양지영 (옮긴이) ", 성안당 ,2021-11-01,13200,0.0,과학,자연/과학,2023-02-24
  81    ,죽는 게 참 어렵습니다,"김영화, 김호성, 나경희 (지은이) ", 시사IN북 ,2021-12-01,10400,4.0,과학,자연/과학,2023-02-24
  82    ,나는 플랜트 엔지니어입니다,박정호 (지은이) , 플루토 ,2020-12-01,11200,4.0,과학,자연/과학,2023-02-24
  83    ,식물학 수업,"이나가키 히데히로 (지은이), 장은정 (옮긴이) ", 키라북스 ,2021-02-01,10000,0.0,과학,자연/과학,2023-02-24
  84    ,기초 회로이론,최윤식 (지은이) , 한빛아카데미(교재) ,2020-12-01,24000,0.0,과학,자연/과학,2023-02-24
  85    ,로봇공학,정슬 (지은이) , 청문각 ,2019-12-01,23000,0.0,과학,자연/과학,2023-02-24
  86    ,"지구 격동의 이력서, 암석 25","도널드 R. 프로세로 (지은이), 김정은 (옮긴이) ", 뿌리와이파리 ,2022-06-01,17500,4.5,과학,자연/과학,2023-02-24
  87    ,식물의 책,이소영 (지은이) , 책읽는수요일 ,2020-11-01,10500,4.0,과학,자연/과학,2023-02-24
  88    ,탄소 농업 (미래를 바꾸는),허북구 (지은이) , 중앙생활사 ,2022-08-01,12000,5.0,과학,자연/과학,2023-02-24
  89    ,면역력,"이시하라 니나 (지은이), 김혜숙 (옮긴이), 박주홍 (감수) ", 성안당 ,2022-12-01,7800,5.0,과학,자연/과학,2023-02-24
  90    ,수학보다 데이터 문해력,정성규 (지은이) , EBS BOOKS ,2022-12-01,11900,5.0,과학,자연/과학,2023-02-24
  91    ,직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 ,2023-01-01,17100,0.0,과학,자연/과학,2023-02-24
  92    ,위상수학 첫걸음,"Fred H. Croom (지은이), 한빛수학교재연구소 (옮긴이), 김상현 (감수) ", 한빛아카데미(교재) ,2022-12-01,29000,5.0,과학,자연/과학,2023-02-24
  93    ,라파엘로가 사랑한 철학자들,김종성 (지은이) , 비제이퍼블릭 ,2023-02-01,16000,5.0,과학,자연/과학,2023-02-24
  94    ,미적분의 쓸모,한화택 (지은이) , 더퀘스트 ,2022-05-01,13650,5.0,과학,자연/과학,2023-02-24
  95    ,"지구는 괜찮아, 우리가 문제지",곽재식 (지은이) , 어크로스 ,2022-02-01,13000,4.5,과학,자연/과학,2023-02-24
  96    ,"빌 게이츠, 기후재앙을 피하는 법","빌 게이츠 (지은이), 김민주, 이엽 (옮긴이) ", 김영사 ,2021-02-01,10800,4.5,과학,자연/과학,2023-02-24
  97    ,나는 오늘 나에게 ADHD라는 이름을 주었다,신지수 (지은이) , 휴머니스트 ,2021-07-01,11200,4.0,과학,자연/과학,2023-02-24
  98    ,신비롭지 않은 여자들,임소연 (지은이) , 민음사 ,2022-06-01,10500,4.5,과학,자연/과학,2023-02-24
  99    ,까면서 보는 해부학 만화,"압듈라 (지은이), 신동선 (감수) ", 한빛비즈 ,2020-07-01,12950,4.5,과학,자연/과학,2023-02-24
  100    ,공감은 지능이다,"자밀 자키 (지은이), 정지인 (옮긴이) ", 심심 ,2021-04-01,16500,4.5,과학,자연/과학,2023-02-24
  1    ,이기적 유전자,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이) ", 을유문화사 ,2019-02-01,14000,4.0,대학교재/전문서적,강의지원도서,2023-02-24
  2    ,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,고경희 (지은이) , 이지스퍼블리싱 (주) ,2021-01-01,19000,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  3    ,헤드 퍼스트 디자인 패턴,"케이시 시에라, 버트 베이츠, 엘리자베스 롭슨 (지은이) ", 한빛미디어 ,2022-04-01,25920,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  4    ,Do it! 알고리즘 코딩 테스트 - 자바 편,김종관 (지은이) , 이지스퍼블리싱 (주) ,2022-04-01,22000,4.0,대학교재/전문서적,강의지원도서,2023-02-24
  5    ,비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 ,2022-08-01,13000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  6    ,이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈 (지은이) , 한빛미디어 ,2020-09-01,24480,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  7    ,Do it! 점프 투 파이썬 -전면 개정판,박응용 (지은이) , 이지스퍼블리싱 ,2019-06-01,13000,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  8    ,한국전문소생술 4판,대한심폐소생협회 (지은이) , 군자출판사 ,2021-11-01,10000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  9    ,이것이 자바다,신용권 (지은이) , 한빛미디어 ,2022-09-01,25920,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  10    ,의존성 성격장애와 회피성 성격장애,"민병배, 남기숙 (지은이) ", 학지사 ,2018-10-01,7600,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  11    ,아동 심리치료 치료계획서,"Arthur E. Jongsma, Jr., L. Mark Peterson, William P. McInnis, Timothy J. Bruce (지은이), 송영혜 (옮긴이) ", 시그마프레스 ,2015-09-01,16100,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  12    ,지속가능 성장을 위한 인적자원관리,"권석균, 이병철, 양재완 (지은이) ", 시대가치 ,2021-12-01,30000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  13    ,ChatGPT와 DALLE2로 인공지능 내맘대로 다루기,초보AI (지은이) , e퍼플 ,2023-02-01,12000,4.0,대학교재/전문서적,강의지원도서,2023-02-24
  14    ,보육교사 장기 미종사자 직무교육,"윤매자, 하수연, 정연옥 (지은이) ", 공동체 ,2022-12-01,12000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  15    ,파이썬 알고리즘 인터뷰,"박상길 (지은이), 정진호 (그림) ", 책만 ,2020-10-01,30400,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  16    ,프셉마음 : 혈액검사 해석 및 간호편,"이재왕, 김지희 (지은이) ", 드림널스 ,2022-09-01,24000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  17    ,파이썬 코딩의 기술(개정2판),"브렛 슬라킨 (지은이), 오현석 (옮긴이) ", 길벗 ,2020-11-01,25600,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  18    ,운영체제,구현회 (지은이) , 한빛아카데미(교재) ,2020-11-01,27000,3.0,대학교재/전문서적,강의지원도서,2023-02-24
  19    ,난생처음 치과진료,윤지혜 (지은이) , 군자출판사 ,2021-02-01,40000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  20    ,Do it! 게임 10개 만들며 배우는 파이썬,"벤 포터, 쉬무엘 포터 (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 ,2022-12-01,15000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  21    ,계량경제학,"R. 카터 힐, William E. Griffiths, Guay C. Lim (지은이) ", 시그마프레스 ,2021-02-01,29600,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  22    ,Do it! 알고리즘 코딩 테스트 - C++ 편,김종관 (지은이) , 이지스퍼블리싱 (주) ,2023-01-01,23500,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  23    ,예방의학과 공중보건학 세트 : 제4판,대한예방의학회 (지은이) , 계축문화사 ,2021-04-01,80000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  24    ,정수론 첫걸음,"Kuldeep Singh (지은이), 한빛수학교재연구소 (옮긴이) ", 한빛아카데미(교재) ,2022-10-01,33000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  25    ,거시경제학,"그레고리 맨큐 (지은이), 이병락 (옮긴이) ", 시그마프레스 ,2023-02-01,31500,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  26    ,만들어진 신,"리처드 도킨스 (지은이), 이한음 (옮긴이) ", 김영사 ,2016-02-01,15750,4.0,대학교재/전문서적,강의지원도서,2023-02-24
  27    ,청소년 및 성인을 위한 ADHD의 인지행동치료 (제2판),"Susan Young, Jessica Bramham (지은이), 최병휘, 곽욱환, 조철래, 김원, 임미정, 박준성, 김선욱, 김혜경 (옮긴이) ", 시그마프레스 ,2019-04-01,14000,4.0,대학교재/전문서적,강의지원도서,2023-02-24
  28    ,군중심리,"귀스타브 르 봉 (지은이), 강주헌 (옮긴이) ", 현대지성 ,2021-10-01,7900,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  29    ,레트로의 유니티 게임 프로그래밍 에센스,이제민 (지은이) , 한빛미디어 ,2022-02-01,43200,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  30    ,프셉마음 - 정형외과편,박기옥 (지은이) , 드림널스 ,2022-04-01,23200,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  31    ,C# 교과서,박용준 (지은이) , 길벗 ,2020-06-01,21000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  32    ,코딩 자율학습 HTML + CSS + 자바스크립트,김기수 (지은이) , 길벗 ,2022-04-01,18900,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  33    ,프셉마음 - 입문편,드림널스 편집부 (지은이) , 드림널스 ,2022-04-01,22400,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  34    ,문명의 충돌,"새뮤얼 헌팅턴 (지은이), 이희재 (옮긴이) ", 김영사 ,2017-04-01,11610,4.0,대학교재/전문서적,강의지원도서,2023-02-24
  35    ,누구나 자료 구조와 알고리즘(개정2판),"제이 웬그로우 (지은이), 심지현 (옮긴이) ", 길벗 ,2021-12-01,26400,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  36    ,프리드버그 선형대수학,"스티븐 H. 프리드버그, 아놀드 J. 인셀, 로렌스 E. 스펜스 (지은이) ", 한빛아카데미(교재) ,2022-02-01,35000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  37    ,제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS,노경섭 (지은이) , 한빛아카데미(교재) ,2020-12-01,28000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  38    ,사회불안장애,김은정 (지은이) , 학지사 ,2018-10-01,7600,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  39    ,프셉마음 : 신경과편,신사랑 (지은이) , 드림널스 ,2022-06-01,23200,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  40    ,프셉마음 - 외과편,"윤지선, 이해성, 박혜경 (지은이) ", 드림널스 ,2022-04-01,23200,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  41    ,해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) ,2021-07-01,26000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  42    ,프셉마음 - 산부인과편,정유정 (지은이) , 드림널스 ,2022-04-01,23200,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  43    ,한국의 샤머니즘과 분석심리학,이부영 (지은이) , 한길사 ,2014-11-01,22500,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  44    ,최신 수술실 매뉴얼,"윤혜상, 장영진, 서은주 (지은이) ", 포널스 ,2021-09-01,32000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  45    ,수용전념치료(ACT) 은유(메타포) 모음집,"Jill A. Stoddard, Niloofar Afari (지은이), 손정락 (옮긴이), 스티븐 헤이즈 ", 시그마프레스 ,2016-03-01,12600,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  46    ,경영경제통계학,박범조 (지은이) , 시그마프레스 ,2021-03-01,26600,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  47    ,간호 알고리즘 Vol.1,"전호웅, 한동수 (지은이) ", 포널스 ,2022-06-01,28000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  48    ,국제회의 통역사를 위한 노트테이킹 핵심기술,이상빈 (지은이) , 한국문화사 ,2021-08-01,14400,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  49    ,조선해양 선박설계 전장생산설계편,"서복동, 설병헌 (지은이) ", 쏘브 ,2015-11-01,20000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  50    ,드림원탑 - 케이스스터디편,"남소희, 허연정, 전재희 (지은이) ", 드림널스 ,2022-04-01,18400,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  51    ,"들길의 사상가, 하이데거",박찬국 (지은이) , 그린비 ,2016-09-01,10500,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  52    ,임상신경정신약물학,"박원명, 김찬형 (지은이) ", 시그마프레스 ,2019-06-01,56000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  53    ,불륜의 심리학,"게르티 젱어, 발터 호프만 (지은이), 함미라 (옮긴이) ", 탐나는책 ,2023-02-01,14000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  54    ,영양학의 기본,"와타나베 쇼 (지은이), 차원, 양지영 (옮긴이) ", 성안당 ,2021-11-01,13200,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  55    ,간호 알고리즘 Vol.2,"전호웅, 한동수 (지은이) ", 포널스 ,2022-06-01,24000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  56    ,프셉마음 - 감염환자 간호편,"남소희, 허연정, 황정아 (지은이) ", 드림널스 ,2022-04-01,23200,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  57    ,예술의 종말 이후,"아서 단토 (지은이), 김광우, 이성훈 (옮긴이) ", 미술문화 ,2015-05-01,15000,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  58    ,기초 회로이론,최윤식 (지은이) , 한빛아카데미(교재) ,2020-12-01,24000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  59    ,로봇공학,정슬 (지은이) , 청문각 ,2019-12-01,23000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  60    ,탄소 농업 (미래를 바꾸는),허북구 (지은이) , 중앙생활사 ,2022-08-01,12000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  61    ,네트워크 해킹과 보안,양대일 (지은이) , 한빛아카데미(교재) ,2023-01-01,32000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  62    ,쉽게 배워 바로 써먹는 디자인 패턴,이호진 (지은이) , 한빛미디어 ,2020-10-01,25200,4.0,대학교재/전문서적,강의지원도서,2023-02-24
  63    ,겐지 모노가타리 1,"무라사키 시키부 (지은이), 이미숙 (옮긴이) ", 서울대학교출판문화원 ,2014-10-01,30000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  64    ,직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 ,2023-01-01,17100,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  65    ,캐릭터 디자인 수업,"황정혜, 석금주, 홍윤미 (지은이) ", 청문각 ,2022-08-01,19200,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  66    ,불교의 무아론,한자경 (지은이) , 이화여자대학교출판문화원 ,2022-03-01,17600,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  67    ,약물작용기전노트 vol.1 : 내과편,간호사적응연구소 (지은이) , 포널스 ,2023-02-01,17600,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  68    ,아동과 청소년의 심리치료,"Arthur E. Jongsma, Jr., David J. Berghuis, L. Mark Peterson, William P. McInnis (지은이), 김정휘, 홍종관, 허주연, 김은영 (옮긴이) ", 시그마프레스 ,2018-04-01,17500,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  69    ,중용,"자사 (지은이), 김학주 (옮긴이) ", 서울대학교출판문화원 ,2015-10-01,14000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  70    ,에다,"최윤영 (지은이), 임한순, 김길웅 (옮긴이) ", 서울대학교출판부 ,2015-06-01,42000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  71    ,위상수학 첫걸음,"Fred H. Croom (지은이), 한빛수학교재연구소 (옮긴이), 김상현 (감수) ", 한빛아카데미(교재) ,2022-12-01,29000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  72    ,생활속의 응용윤리,박찬구 (지은이) , 세창출판사(세창미디어) ,2023-01-01,20000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  73    ,역주 손무자직해 오자직해 2,"성백효, 이난수 (지은이) ", 전통문화연구회 ,2021-03-01,8750,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  74    ,군주론 (개정판),"니콜로 마키아벨리 (지은이), 강정인, 김경희 (옮긴이) ", 까치 ,2019-11-01,7000,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  75    ,무경계,"켄 윌버 (지은이), 김철수 (옮긴이) ", 정신세계사 ,2017-01-01,10500,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  76    ,프로테스탄트 윤리와 자본주의 정신 (완역본),"막스 베버 (지은이), 박문재 (옮긴이) ", 현대지성 ,2018-06-01,7900,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  77    ,틸리 서양철학사,"프랭크 틸리 (지은이), 김기찬 (옮긴이) ", 현대지성 ,2020-03-01,15500,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  78    ,데이터베이스 개론,김연희 (지은이) , 한빛아카데미(교재) ,2022-01-01,29000,0.0,대학교재/전문서적,강의지원도서,2023-02-24
  79    ,암또의 임상노트 Volume.1,암또 (지은이) , 포널스 ,2019-11-01,17500,5.0,대학교재/전문서적,강의지원도서,2023-02-24
  80    ,아들러의 인간이해,"알프레드 아들러 (지은이), 홍혜경 (옮긴이) ", 을유문화사 ,2016-09-01,9000,4.5,대학교재/전문서적,강의지원도서,2023-02-24
  81    ,소비의 사회,"장 보드리야르 (지은이), 이상률 (옮긴이) ", 문예출판사 ,2015-09-01,14400,4.0,대학교재/전문서적,강의지원도서,2023-02-24
  82    ,Do it! 자료구조와 함께 배우는 알고리즘 입문 - 자바 편 : 전면개정판,"시바타 보요 (지은이), 강민 (옮긴이) ", 이지스퍼블리싱 (주) ,2022-05-01,15000,5.0,대학교재/전문서적,강의지원도서,2023-02-24
