순위,제목,저자,출판사,출간일,별점
60,파리대왕,유종호 (옮긴이) , 민음사 , 2016년 11월,4.0
61,바냐 아저씨 (한글판),"안톤 파블로비치 체호프 (지은이), 장한 (옮긴이) ", 더클래식 , 2014년 6월,5.0
62,노인과 바다,"어니스트 헤밍웨이 (지은이), 김욱동 (옮긴이) ", 민음사 , 2012년 7월,4.5
63,소크라테스의 변명·크리톤·파이돈·향연 (그리스어 원전 완역본) : 플라톤의 대화편,"플라톤 (지은이), 박문재 (옮긴이) ", 현대지성 , 2019년 12월,5.0
64,맥베스 (한글+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 8월,0.0
65,도리언 그레이의 초상,"오스카 와일드 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 6월,3.5
66,보바리 부인 (한글판 + 영문판),"귀스타브 플로베르 (지은이), 김중현 (옮긴이) ", 더클래식 , 2015년 1월,3.0
67,잃어버린 시간을 찾아서 1,"마르셀 프루스트 (지은이), 김희영 (옮긴이) ", 민음사 , 2012년 9월,4.5
68,연인,"마르그리트 뒤라스 (지은이), 김인환 (옮긴이) ", 민음사 , 2018년 7월,4.0
69,변신·시골의사,전영애 (옮긴이) , 민음사 , 2012년 8월,4.0
70,수레바퀴 아래서,"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2013년 1월,5.0
71,하루 한 장 고전 수업,조윤제 (지은이) , 비즈니스북스 , 2022년 11월,5.0
72,키다리 아저씨 2 : 그 후 이야기 (한글판 + 영문판),"진 웹스터 (지은이), 서현정 (옮긴이) ", 더클래식 , 2015년 11월,0.0
73,안티고네 - 범우문고 267,"소포클레스 (지은이), 황문수 (옮긴이) ", 범우사 , 2013년 7월,5.0
74,도덕경,"노자 (지은이), 소준섭 (옮긴이) ", 현대지성 , 2018년 12월,4.5
75,싯다르타 (한글판),"헤르만 헤세 (지은이), 박진권 (옮긴이) ", 더클래식 , 2017년 4월,0.0
76,오즈의 마법사 2 - 환상의 나라 오즈 (한글판+영문판),"라이먼 프랭크 바움 (지은이), 존 R. 닐 (그림), 손인혜 (옮긴이) ", 더클래식 , 2013년 12월,4.0
77,카라마조프가의 형제들 1,"표도르 도스토옙스키 (지은이), 김연경 (옮긴이) ", 민음사 , 2012년 7월,4.5
78,장자,"장자 (지은이), 오강남 (엮은이), 오강남 (옮긴이) ", 현암사 , 2015년 9월,4.5
79,서부 전선 이상 없다 - 열린책들 세계문학 67,"에리히 마리아 레마르크 (지은이), 홍성광 (옮긴이) ", 열린책들 , 2017년 3월,4.5
80,이선 프롬,"이디스 워튼 (지은이), 김욱동 (옮긴이) ", 민음사 , 2020년 10월,4.0
81,오셀로,"윌리엄 셰익스피어 (지은이), 최종철 (옮긴이) ", 민음사 , 2013년 2월,4.5
82,파우스트 1,"요한 볼프강 폰 괴테 (지은이), 정서웅 (옮긴이) ", 민음사 , 2022년 5월,4.5
83,신곡 - 지옥편,"단테 알리기에리 (지은이), 윌리엄 블레이크 (그림), 박상진 (옮긴이) ", 민음사 , 2022년 5월,4.5
84,죄와 벌 1 - 문예 세계문학선 107,"표도르 도스토옙스키 (지은이), 김학수 (옮긴이) ", 문예출판사 , 2013년 7월,4.5
85,채털리 부인의 연인 2,"데이비드 허버트 로렌스 (지은이), 이인규 (옮긴이) ", 민음사 , 2013년 4월,4.0
86,율리시스 : 모더니즘 문학의 선언,"제임스 조이스 (지은이), 김종건 (옮긴이) ", 어문학사 , 2017년 1월,4.5
87,논어,"공자 (지은이), 김원중 (옮긴이) ", 휴머니스트 , 2019년 10월,4.5
88,우신예찬,"에라스무스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2022년 10월,5.0
89,나는 논어를 만나 행복해졌다,"판덩 (지은이), 이서연 (옮긴이) ", 미디어숲 , 2023년 1월,5.0
90,릴케 단편선 - 문예 세계문학선 121,"라이너 마리아 릴케 (지은이), 송영택 (옮긴이) ", 문예출판사 , 2016년 3월,4.5
91,[세트] 잃어버린 시간을 찾아서 1~6 (총6권),마르셀 프루스트 (지은이) , 민음사 , 2020년 11월,0.0
93,위대한 개츠비 (한글판),"프랜시스 스콧 피츠제럴드 (지은이), 이기선 (옮긴이) ", 더클래식 , 2012년 7월,5.0
94,사람은 무엇으로 사는가 (한글+영문),"레프 니콜라예비치 톨스토이 (지은이), 장영재 (옮긴이) ", 더클래식 , 2012년 7월,4.0
95,페스트 초판본,"알베르 카뮈 (지은이), 변광배 (옮긴이) ", 더스토리 , 2020년 3월,4.0
96,동물 농장,"조지 오웰 (지은이), 도정일 (옮긴이) ", 민음사 , 2012년 7월,4.5
97,두 도시 이야기 (한글판),"찰스 디킨스 (지은이), 신윤진, 이수진 (옮긴이) ", 더클래식 , 2012년 11월,4.5
98,이상한 나라의 앨리스,"루이스 캐럴 (지은이), 존 테니얼 (그림), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 1월,5.0
99,그리스인 조르바 (한글+영문판),"니코스 카잔자키스 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 6월,4.5
100,위대한 개츠비 (한글 + 영문),"프랜시스 스콧 피츠제럴드 (지은이), 이기선 (옮긴이) ", 미르북컴퍼니 , 2013년 4월,5.0
