순위,제목,저자,출판사,출간일,별점
60,찰리 멍거 바이블,"이건, 김재현 (지은이) ", 에프엔미디어 , 2022년 12월,4.5
61,역설계,"론 프리드먼 (지은이), 이수경 (옮긴이) ", 어크로스 , 2022년 9월,4.5
62,당신의 생각을 정리해드립니다,복주환 (지은이) , 비즈니스북스 , 2021년 3월,5.0
63,예쁘게 말하는 네가 좋다,김범준 (지은이) , 포레스트북스 , 2022년 7월,4.5
64,당신의 뇌는 변화가 필요합니다,"가비아 톨리키타 (지은이), 이영래 (옮긴이) ", 비즈니스북스 , 2022년 12월,5.0
65,임모틀맨 2,네빌 고다드 (지은이) , 서른세개의계단 , 2022년 12월,5.0
66,‘한 번 더’의 힘,"에드 마일렛 (지은이), 박병화 (옮긴이) ", 토네이도 , 2022년 11월,5.0
67,"눈치껏 못 배웁니다, 일센스",공여사들 (지은이) , 21세기북스 , 2021년 5월,5.0
68,내 생각과 관점을 수익화하는 퍼스널 브랜딩,촉촉한마케터(조한솔) (지은이) , 초록비책공방 , 2022년 9월,5.0
69,조셉 머피 끌어당김의 기적,"조셉 머피 (지은이), 조율리 (옮긴이) ", 다산북스 , 2023년 1월,4.5
70,프로페셔널 스튜던트,김용섭 (지은이) , 퍼블리온 , 2021년 3월,4.5
71,지구에서 영어생활자로 살아남는 법,백애리 (지은이) , 그래도봄 , 2023년 2월,5.0
72,콘텐츠의 신,직업의모든것(황해수) (지은이) , 라이스메이커 , 2022년 12월,5.0
73,오늘부터 작심만일,나건일 (지은이) , 비즈니스북스 , 2023년 1월,5.0
74,감정 관리도 실력입니다,함규정 (지은이) , 청림출판 , 2023년 1월,5.0
75,신경 끄기의 기술  : 인생에서 가장 중요한 것만 남기는 힘,한재호 (옮긴이) , 갤리온 , 2017년 10월,4.0
76,힘들어도 사람한테 너무 기대지 마세요,정우열 (지은이) , 동양북스(동양문고) , 2022년 5월,5.0
77,백만장자 시크릿,"하브 에커 (지은이), 나선숙 (옮긴이) ", 알에이치코리아(RHK) , 2020년 8월,4.5
78,멘탈리티,"샤리 웽크, 팀 그로버 (지은이), 서종기 (옮긴이) ", 푸른숲 , 2022년 11월,5.0
79,이유 없는 편안함,노랑검정 (지은이) , 레버리지 , 2020년 2월,4.5
80,잘 살아라 그게 최고의 복수다,권민창 (지은이) , 마인드셋 , 2022년 2월,4.0
81,네빌고다드의 부활,네빌 고다드 (지은이) , 서른세개의계단 , 2013년 12월,4.5
82,내가 알고 있는 걸 당신도 알게 된다면 (리커버 에디션),"칼 필레머 (지은이), 박여진 (옮긴이) ", 토네이도 , 2022년 8월,5.0
83,스톱 씽킹,"리처드 칼슨 (지은이), 박산호 (옮긴이) ", 윌북 , 2022년 1월,5.0
84,영어 필사 100일의 기적,퍼포먼스 코치 리아 (지은이) , 넥서스 , 2021년 11월,4.5
85,면접 바이블 2.0,면접왕 이형 (지은이) , 얼라이브북스(Alivebooks) , 2022년 4월,5.0
86,사랑 수업,윤홍균 (지은이) , 심플라이프 , 2020년 12월,4.5
87,몰입,황농문 (지은이) , 랜덤하우스코리아 , 2011년 5월,4.0
88,무례한 사람에게 휘둘리지 않는 법,정재훈 (지은이) , 마인드셋 , 2022년 5월,5.0
89,당신은 사업가입니까,"캐럴 로스 (지은이), 유정식 (옮긴이) ", 알에이치코리아(RHK) , 2014년 3월,4.0
90,데일리 크리에이티브,"토드 헨리 (지은이), 지소강, 양소하 (옮긴이) ", 인플루엔셜(주) , 2022년 12월,5.0
91,"울트라러닝, 세계 0.1％가 지식을 얻는 비밀","스콧 영 (지은이), 이한이 (옮긴이) ", 비즈니스북스 , 2020년 2월,4.0
92,네 가지 질문 : 내 삶을 바꾸는 경이로운 힘,"스티븐 미첼, 바이런 케이티 (지은이), 김윤 (옮긴이) ", 침묵의향기 , 2020년 2월,5.0
93,설득의 심리학 2 (개정판),"노아 골드스타인, 스티브 마틴, 로버트 치알디니 (지은이), 윤미나 (옮긴이) ", 21세기북스 , 2015년 1월,4.0
94,나는 하루 5분만 바꾸기로 했다,옥민송 (지은이) , 콘택트 , 2022년 12월,4.5
95,시간을 선택하는 기술 블럭식스,정지하(룩말) (지은이) , 한즈미디어 , 2021년 12월,5.0
96,다윈이 자기계발서를 쓴다면 : 하버드대 교수들의 진화론적 인생 특강,"테리 번햄, 제이 팰런 (지은이), 장원철 (옮긴이) ", 스몰빅라이프 , 2019년 5월,4.5
97,이게 무슨 일이야!,(주)우아한형제들 (지은이) , 북스톤 , 2022년 8월,5.0
98,부의 변곡점,정윤진 (지은이) , 마인드셋 , 2022년 5월,4.5
99,감정은 습관이다,박용철 (지은이) , 유노책주 , 2023년 1월,5.0
100,기획의 정석 (시리즈 20만 부 기념 특별판),박신영 (지은이) , 세종(세종서적) , 2023년 2월,5.0
