순위,제목,저자,출판사,출간일,별점
58,"전쟁과 약, 기나긴 악연의 역사",백승만 (지은이) , 동아시아 , 2022년 9월,5.0
59,초판본 한중록,"혜경궁 홍씨 (지은이), 박병성 (옮긴이) ", 더스토리 , 2020년 4월,5.0
60,불멸의 유혹 - 카사노바 자서전,"자코모 카사노바 (지은이), 이경식, 백찬욱 (옮긴이) ", 휴먼앤북스(Human&Books) , 2010년 4월,5.0
61,창발의 시대,"패트릭 와이먼 (지은이), 장영재 (옮긴이) ", 로크미디어 , 2022년 11월,0.0
62,시민의 한국사 1 : 전근대편,한국역사연구회 (지은이) , 돌베개 , 2022년 7월,4.5
63,독살로 읽는 세계사,"엘리너 허먼 (지은이), 솝희 (옮긴이) ", 현대지성 , 2021년 4월,4.5
64,세상에서 가장 짧은 세계사,"존 허스트 (지은이), 김종원 (옮긴이) ", 위즈덤하우스 , 2017년 11월,3.5
65,최초의 신화 길가메쉬 서사시 (리커버 개정판),김산해 (지은이) , 휴머니스트 , 2020년 7월,4.5
66,어제까지의 세계,"재레드 다이아몬드 (지은이), 강주헌 (옮긴이) ", 김영사 , 2016년 4월,5.0
67,미루기의 천재들,"앤드루 산텔라 (지은이), 김하현 (옮긴이) ", 어크로스 , 2019년 2월,3.5
68,세금의 세계사,"도미닉 프리스비 (지은이), 조용빈 (옮긴이) ", 한빛비즈 , 2022년 3월,5.0
69,하멜 표류기 : 1668년 오리지널 초판본 표지디자인,"헨드릭 하멜 (지은이), 유동익 (옮긴이) ", 더스토리 , 2020년 2월,5.0
70,조선잡사,"강문종, 장유승, 홍현성, 김동건 (지은이) ", 민음사 , 2020년 11월,4.0
71,거꾸로 읽는 그리스 로마사,"개릿 라이언 (지은이), 최현영 (옮긴이) ", 다산초당(다산북스) , 2022년 1월,5.0
72,나의 문화유산답사기 10 : 서울편 2,유홍준 (지은이) , 창비 , 2017년 8월,4.5
73,30개 도시로 읽는 미국사,김봉중 (지은이) , 다산초당(다산북스) , 2022년 10월,4.5
74,"괴물, 조선의 또 다른 풍경",곽재식 (지은이) , 위즈덤하우스 , 2021년 1월,4.0
75,"합스부르크, 세계를 지배하다","마틴 래디 (지은이), 박수철 (옮긴이) ", 까치글방 , 2022년 11월,4.5
76,히틀러를 선택한 나라,"벤저민 카터 헷 (지은이), 이선주 (옮긴이) ", 눌와 , 2022년 5월,4.5
77,문명의 충돌,"새뮤얼 헌팅턴 (지은이), 이희재 (옮긴이) ", 김영사 , 2017년 4월,4.0
78,썬킴의 세계사 완전 정복,썬킴 (지은이) , 알에이치코리아(RHK) , 2022년 8월,5.0
79,오리지널의 탄생,세상의모든지식 (지은이) , 21세기북스 , 2022년 1월,5.0
80,인류본사,이희수 (지은이) , 휴머니스트 , 2022년 7월,5.0
81,하멜표류기,"헨드릭 하멜 (지은이), 신동운 (옮긴이) ", 스타북스 , 2020년 2월,4.5
82,만화로 배우는 조선 왕실의 신화,"우용곡 (지은이), 전인혁 (감수) ", 한빛비즈 , 2022년 3월,5.0
83,바다 인류,주경철 (지은이) , 휴머니스트 , 2022년 2월,5.0
84,지구를 구할 여자들,"카트리네 마르살 (지은이), 김하현 (옮긴이) ", 부키 , 2022년 9월,5.0
85,신의 전쟁,"카렌 암스트롱 (지은이), 정영목 (옮긴이) ", 교양인 , 2021년 10월,4.5
86,나폴레옹 세계사,"알렉산더 미카베리즈 (지은이), 최파일 (옮긴이) ", 책과함께 , 2022년 2월,5.0
87,유배지에서 보낸 편지,"정약용 (지은이), 박석무 (엮은이) ", 창비 , 2019년 11월,5.0
88,"가만한 당신 : 뜨겁게 우리를 흔든, 가만한 서른다섯 명의 부고",최윤필 (지은이) , 마음산책 , 2016년 6월,4.5
89,몸으로 읽는 세계사,"로스 페트라스, 캐스린 페트라스 (지은이), 박지선 (옮긴이) ", 다산초당(다산북스) , 2023년 1월,5.0
90,만화로 배우는 요리의 역사,"브누아 시마 (지은이), 스테판 두에 (그림), 김모 (옮긴이) ", 한빛비즈 , 2022년 10월,5.0
91,"인류를 구한 12가지 약 이야기 : 마취제에서 항암제까지, 고통과 두려움에서 벗어나게 해준 치료약의 역사",정승규 (지은이) , 반니 , 2019년 6월,4.0
92,메이지유신을 설계한 최후의 사무라이들,박훈 (지은이) , 21세기북스 , 2020년 12월,5.0
93,메디치 가문 이야기,"G.F. 영 (지은이), 이길상 (옮긴이) ", 현대지성 , 2017년 10월,4.5
94,꼬리에 꼬리를 무는 그날 이야기,SBS 〈꼬리에 꼬리를 무는 그날 이야기〉 제작팀 (지은이) , 동아시아 , 2021년 4월,4.5
96,본격 한중일 세계사 12,굽시니스트 (지은이) , 위즈덤하우스 , 2021년 12월,4.0
97,진실의 흑역사,"톰 필립스 (지은이), 홍한결 (옮긴이) ", 윌북 , 2020년 11월,4.5
98,강남의 탄생,"한종수, 강희용 (지은이) ", 미지북스 , 2016년 5월,4.5
99,난중일기 - 범우문고 239,이순신 (지은이) , 범우사 , 2013년 7월,0.0
100,난중일기,"이순신 (지은이), 장윤철 (옮긴이) ", 스타북스 , 2022년 8월,5.0
