yes24_rank,제목,yes24_writer,yes24_company,yes24_date,yes24_price,yes24_star_content,yes24_star_edit,yes24_gener,sm_gener,time_stamp
1,      조건  만남  삽화본                                 , 문정민 저                                                            , 로아                                        ,2021-05-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
2,      토굴 공주                                   , 함초롱 저                                                            , 제로노블                                        ,2022-12-01,3800,4,4,로맨스,문학,2023-02-22 23:13:21.976838
3,       세트  오빠 손은 약손  외전 포함   총2권    , 금나래 저                                                            , 텐북                                        ,2021-05-01,4200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
4,       세트  마법사가 잠든 사이  총2권    , 샤아드 저                                                            , 일랑                                        ,2023-02-01,2160,3,3,로맨스,문학,2023-02-22 23:13:21.976838
5,      오  담에 핀 꽃  개정판                                    , 박영 저                                                            , 플로린                                        ,2023-02-01,3150,4,5,로맨스,문학,2023-02-22 23:13:21.976838
6,      몸태질                                , 금단 저                                                            , 라떼북                                        ,2023-02-01,3240,3,3,로맨스,문학,2023-02-22 23:13:21.976838
7,      별채에는 불이 꺼지지 않는다                                   , 정은동 저                                                            , 텐북                                        ,2022-08-01,2970,4,4,로맨스,문학,2023-02-22 23:13:21.976838
8,      원래 그랬어                                 , 오드리 저                                                            , 로아                                        ,2023-02-01,1080,5,4,로맨스,문학,2023-02-22 23:13:21.976838
9,      괴물 아가씨와 성기사                                   , 손금 저                                                            , 로즈엔                                        ,2023-02-01,3060,4,4,로맨스,문학,2023-02-22 23:13:21.976838
10,      미아                                , 도개비 저                                                            , 봄미디어                                        ,2020-01-01,3800,4,4,로맨스,문학,2023-02-22 23:13:21.976838
11,      어른 아빠                                , 지초가 지천 저                                                            , 로튼로즈                                        ,2023-02-01,900,5,5,로맨스,문학,2023-02-22 23:13:21.976838
12,       세트  오  담에 핀 꽃  개정판   총3권    , 박영 저                                                            , 플로린                                        ,2023-02-01,9450,3,4,로맨스,문학,2023-02-22 23:13:21.976838
13,      불순종 Impure species                                    , 피오렌티 저                                                            , 텐북                                        ,2022-09-01,3600,4,4,로맨스,문학,2023-02-22 23:13:21.976838
14,      구숙  만복을 빌어요                                , 구월류화 저                                                            , 태평                                        ,2023-02-01,3200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
15,      마네킹 365                                , 황금뽀찌 저                                                            , 누아르                                        ,2023-02-01,990,0,0,로맨스,문학,2023-02-22 23:13:21.976838
16,      나체 초밥                                , 탱글탱글 저                                                            , 로튼로즈                                        ,2023-02-01,990,0,0,로맨스,문학,2023-02-22 23:13:21.976838
17,      고은 나의 고은 , 서풍 저                                                            , 밀리오리지널                                        ,2022-02-01,3600,4,4,로맨스,문학,2023-02-22 23:13:21.976838
18,      화제의 여학생                                   , 연초 저                                                            , 라떼북                                        ,2019-02-01,3420,4,4,로맨스,문학,2023-02-22 23:13:21.976838
19,      여름의 밀도                                , 채랑비 저                                                            , SOME                                        ,2023-02-01,3690,3,3,로맨스,문학,2023-02-22 23:13:21.976838
20,      느와르 급발진주의                                , 초록개 저                                                            , 스칼렛                                        ,2023-02-01,3420,4,4,로맨스,문학,2023-02-22 23:13:21.976838
21,      계략 후배                                , 이리안 저                                                            , 레드립                                        ,2023-02-01,1530,0,0,로맨스,문학,2023-02-22 23:13:21.976838
22,      마지막 여행이 끝나면                                   , 하늘가리기 저                                                            , 피오렛                                        ,2021-06-01,3700,4,4,로맨스,문학,2023-02-22 23:13:21.976838
23,      파파                                , 마뇽 저                                                            , 텐북                                        ,2023-01-01,1800,4,4,로맨스,문학,2023-02-22 23:13:21.976838
24,      새장 속의 딸                                , 진수성찬 저                                                            , 로튼로즈                                        ,2023-02-01,2700,3,3,로맨스,문학,2023-02-22 23:13:21.976838
25,      12시의 신데렐라                                   , 백우시 저                                                            , 필                                        ,2023-02-01,3400,4,4,로맨스,문학,2023-02-22 23:13:21.976838
26,      나는 네가 애틋하지 않았다                                   , 조민혜 저                                                            , 동슬미디어                                        ,2021-01-01,2970,4,4,로맨스,문학,2023-02-22 23:13:21.976838
27,      어게인 앤 어게인  Again and Again                                 , 황백설 저                                                            , 라떼북                                        ,2022-04-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
28,      메리 배드 엔딩을 위한 공략집                                   , 프레티아 저                                                            , 메피스토                                        ,2021-05-01,5000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
29,      지금은 XX물 소리 녹음중입니다                                , 벌리바바 저                                                            , 로튼로즈                                        ,2023-02-01,900,0,0,로맨스,문학,2023-02-22 23:13:21.976838
30,      그 손 잡아도 될까요                                   , 꽃마리엠 저                                                            , 블랙피치                                        ,2023-02-01,2300,3,3,로맨스,문학,2023-02-22 23:13:21.976838
31,      테라피스트                                , 진리타 저                                                            , 텐북                                        ,2023-01-01,1000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
32,      너를 부수고 나는                                   , 반흔 저                                                            , 로망로즈                                        ,2023-01-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
33,      아내 노릇                                   , 솔해 저                                                            , 로망로즈                                        ,2023-01-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
34,      품격을 배반한다                                   , 김빠 저                                                            , 로즈엔                                        ,2022-08-01,3200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
35,      내게 빌어봐                                   , 리베냐 저                                                            , 마담드디키                                        ,2022-07-01,5200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
36,      논 트리거                                   , 몽슈 저                                                            , 플로린                                        ,2022-03-01,4050,4,4,로맨스,문학,2023-02-22 23:13:21.976838
37,      겨울 바다에 눈이 내리면                                , 복희씨 저                                                            , 피플앤스토리                                        ,2023-02-01,1350,4,4,로맨스,문학,2023-02-22 23:13:21.976838
38,      타락한 땅에도 꽃은 피는가                                   , 이낙낙 저                                                            , 에이블                                        ,2023-02-01,3200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
39,      알파와 오메가의 역학                                , 탁경 저                                                            , 크레센도                                        ,2023-02-01,2970,4,4,로맨스,문학,2023-02-22 23:13:21.976838
40,      길들여진 건 누구일까                                , 리베냐 저                                                            , 코튼북스                                        ,2022-10-01,3300,4,4,로맨스,문학,2023-02-22 23:13:21.976838
41,      임파스토 Impasto                                    , 우지혜 저                                                            , 폴라리스                                        ,2022-12-01,3300,4,4,로맨스,문학,2023-02-22 23:13:21.976838
42,      영웅은 몸으로 구원한다                                   , 프레티아 저                                                            , 윈썸                                        ,2022-11-01,5500,4,4,로맨스,문학,2023-02-22 23:13:21.976838
43,      야성의 숲                                   , 이내리 저                                                            , 피플앤스토리                                        ,2023-02-01,3500,5,5,로맨스,문학,2023-02-22 23:13:21.976838
44,      시한부인데 파혼을 안 해준다                                   , 요니교 저                                                            , 도서출판 청어람                                        ,2023-02-01,3100,5,5,로맨스,문학,2023-02-22 23:13:21.976838
45,      나쁜 말이 취향이라                                , 크림치즈 저                                                            , 와이엠북스                                        ,2023-01-01,2880,4,4,로맨스,문학,2023-02-22 23:13:21.976838
46,      겨울 애상                                , 에델 저                                                            , 더로맨틱                                        ,2023-01-01,900,0,0,로맨스,문학,2023-02-22 23:13:21.976838
47,       세트  도망 여주의 옆집에 살고 있습니다  총6권    , 벨루하 저                                                            , 루시노블                                        ,2023-02-01,17820,0,0,로맨스,문학,2023-02-22 23:13:21.976838
48,      옥당금규 , 한청낙화 저                                                            , 답인                                            ,2023-02-01,4400,0,0,로맨스,문학,2023-02-22 23:13:21.976838
49,      악녀의 문구점에 오지 마세요                                 , 여로은 저                                                            , 연담                                        ,2023-02-01,3600,4,4,로맨스,문학,2023-02-22 23:13:21.976838
50,      윈터 판타지  WINTER FANTASY                                 , 사사 저                                                            , 세레니티                                        ,2022-12-01,3420,4,4,로맨스,문학,2023-02-22 23:13:21.976838
51,      오빠 친구인 거 몰랐어                                 , 요안나 저                                                            ,  Renee                                        ,2023-02-01,3500,4,4,로맨스,문학,2023-02-22 23:13:21.976838
52,      내가 널 기억할게                                   , 이벨리오 저                                                            , 사막여우                                        ,2023-02-01,2160,3,4,로맨스,문학,2023-02-22 23:13:21.976838
53,      난잡하고 불순한                                , 얀yan 저                                                            , 해피북스투유                                        ,2023-02-01,3330,3,3,로맨스,문학,2023-02-22 23:13:21.976838
54,      사냥꾼과 영애                                , 연단 저                                                            , 튜베로즈                                        ,2022-12-01,1800,3,3,로맨스,문학,2023-02-22 23:13:21.976838
55,      영주의 마녀                                , 글로피 저                                                            , 고렘팩토리                                        ,2023-01-01,4000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
56,      수면 임신  삽화본                                 , 문정민 저                                                            , 로아                                        ,2023-01-01,2000,3,3,로맨스,문학,2023-02-22 23:13:21.976838
57,      레이디 번견의 하룻밤 실수                                   , 참새대리 저                                                            , 에클라                                        ,2022-10-01,3200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
58,      개는 주인이 필요하다                                   , 이고 저                                                            , 위즈덤하우스                                        ,2022-09-01,3300,4,4,로맨스,문학,2023-02-22 23:13:21.976838
59,      크리스탈 아가씨는 남자다                                   , 전어나 저                                                            , 필                                        ,2022-01-01,3400,4,4,로맨스,문학,2023-02-22 23:13:21.976838
60,      위태로운                                , 고성후 저                                                            , 텐북                                        ,2021-03-01,3300,4,4,로맨스,문학,2023-02-22 23:13:21.976838
61,      결혼 장사                                   , KEN 저                                                            , 로아                                        ,2019-02-01,3600,4,4,로맨스,문학,2023-02-22 23:13:21.976838
62,      핏물이 고인 바다                                   , 한설온 저                                                            , 마담드디키                                        ,2018-04-01,3000,3,3,로맨스,문학,2023-02-22 23:13:21.976838
63,      남사친의 아이입니다                                   , 글이나 저                                                            , 신영미디어                                        ,2023-02-01,3060,0,0,로맨스,문학,2023-02-22 23:13:21.976838
64,      드래곤 영주님의 초야권                                , 스파티 저                                                            , 다카포                                        ,2023-02-01,2790,4,4,로맨스,문학,2023-02-22 23:13:21.976838
65,      위험한 포식자  삽화본                                    , 앙앙 저                                                            , 로아                                        ,2023-02-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
66,      나으리께서는 왜 내게만 털목도리를 주실까                                , 매난초 저                                                            , 골드핑거                                        ,2023-02-01,900,0,0,로맨스,문학,2023-02-22 23:13:21.976838
67,      난기류                                , 마뇽 저                                                            , 블레슈 Blesshuu                                         ,2023-02-01,2250,3,3,로맨스,문학,2023-02-22 23:13:21.976838
68,      남자는 지치지도 않았다                                , 시크 저                                                            , 피플앤스토리                                        ,2023-02-01,3500,4,4,로맨스,문학,2023-02-22 23:13:21.976838
69,      리셋팅 웨딩                                , 조은조 저                                                            , 그래출판                                        ,2023-02-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
70,      처음부터  너                                , 밤쉘 저                                                            , 티라미수                                        ,2022-12-01,3100,0,0,로맨스,문학,2023-02-22 23:13:21.976838
71,      오빠 아니고 교수님                                   , 김캔디 저                                                            , 사막여우                                        ,2023-01-01,2250,4,4,로맨스,문학,2023-02-22 23:13:21.976838
72,      소꿉친구 공략기                                , 곽두팔 저                                                            , 미스틱레드                                        ,2022-09-01,3200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
73,      임신한 하녀는 도망친다                                   , 금단 저                                                            , 다카포                                        ,2022-11-01,3700,4,4,로맨스,문학,2023-02-22 23:13:21.976838
74,      금목서 향기                                , 과일마차 저                                                            , 와이엠북스                                        ,2022-02-01,4000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
75,      맴맴                                   , 서단 저                                                            , SOME                                        ,2022-12-01,4000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
76,      튜린의 릴리엔                                , 나유혜 저                                                            , 연담                                        ,2022-12-01,3400,4,4,로맨스,문학,2023-02-22 23:13:21.976838
77,      욕패도                                   , 교결 저                                                            , 텐북                                        ,2022-06-01,3800,4,4,로맨스,문학,2023-02-22 23:13:21.976838
78,      실버 트리                                   , 윤소리 저                                                            , 퀸즈셀렉션                                        ,2022-09-01,3200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
79,      밤 도화지                                   , 정이진 저                                                            , 동아                                        ,2021-08-01,3300,4,4,로맨스,문학,2023-02-22 23:13:21.976838
80,      미몽의 밤                                , 황백설 저                                                            , 로아                                        ,2021-09-01,3800,4,4,로맨스,문학,2023-02-22 23:13:21.976838
81,      계략 후배                                , 이리안 저                                                            , 레드립                                        ,2023-02-01,1530,0,0,로맨스,문학,2023-02-22 23:13:21.976838
82,      마지막 여행이 끝나면                                   , 하늘가리기 저                                                            , 피오렛                                        ,2021-06-01,3700,4,4,로맨스,문학,2023-02-22 23:13:21.976838
83,      파파                                , 마뇽 저                                                            , 텐북                                        ,2023-01-01,1800,4,4,로맨스,문학,2023-02-22 23:13:21.976838
84,      새장 속의 딸                                , 진수성찬 저                                                            , 로튼로즈                                        ,2023-02-01,2700,3,3,로맨스,문학,2023-02-22 23:13:21.976838
85,      12시의 신데렐라                                   , 백우시 저                                                            , 필                                        ,2023-02-01,3400,4,4,로맨스,문학,2023-02-22 23:13:21.976838
86,      나는 네가 애틋하지 않았다                                   , 조민혜 저                                                            , 동슬미디어                                        ,2021-01-01,2970,4,4,로맨스,문학,2023-02-22 23:13:21.976838
87,      어게인 앤 어게인  Again and Again                                 , 황백설 저                                                            , 라떼북                                        ,2022-04-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
88,      메리 배드 엔딩을 위한 공략집                                   , 프레티아 저                                                            , 메피스토                                        ,2021-05-01,5000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
89,      지금은 XX물 소리 녹음중입니다                                , 벌리바바 저                                                            , 로튼로즈                                        ,2023-02-01,900,0,0,로맨스,문학,2023-02-22 23:13:21.976838
90,      그 손 잡아도 될까요                                   , 꽃마리엠 저                                                            , 블랙피치                                        ,2023-02-01,2300,3,3,로맨스,문학,2023-02-22 23:13:21.976838
91,      테라피스트                                , 진리타 저                                                            , 텐북                                        ,2023-01-01,1000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
92,      너를 부수고 나는                                   , 반흔 저                                                            , 로망로즈                                        ,2023-01-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
93,      아내 노릇                                   , 솔해 저                                                            , 로망로즈                                        ,2023-01-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
94,      품격을 배반한다                                   , 김빠 저                                                            , 로즈엔                                        ,2022-08-01,3200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
95,      내게 빌어봐                                   , 리베냐 저                                                            , 마담드디키                                        ,2022-07-01,5200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
96,      논 트리거                                   , 몽슈 저                                                            , 플로린                                        ,2022-03-01,4050,4,4,로맨스,문학,2023-02-22 23:13:21.976838
97,      겨울 바다에 눈이 내리면                                , 복희씨 저                                                            , 피플앤스토리                                        ,2023-02-01,1350,4,4,로맨스,문학,2023-02-22 23:13:21.976838
98,      타락한 땅에도 꽃은 피는가                                   , 이낙낙 저                                                            , 에이블                                        ,2023-02-01,3200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
99,      알파와 오메가의 역학                                , 탁경 저                                                            , 크레센도                                        ,2023-02-01,2970,4,4,로맨스,문학,2023-02-22 23:13:21.976838
100,      길들여진 건 누구일까                                , 리베냐 저                                                            , 코튼북스                                        ,2022-10-01,3300,4,4,로맨스,문학,2023-02-22 23:13:21.976838
1,       BL  데이 브레이커                                , 체레네 저                                                            , 문라이트북스                                        ,2018-01-01,3000,4,4,BL,문학,2023-02-22 23:13:21.976838
2,      라디오 스톰                                   , 팀 S S 저                                                            , 북극여우                                        ,2022-09-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
3,       BL  연애제한구역                                   , 단비 저                                                            , 비욘드                                        ,2022-08-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
4,       루비  피지 않는 꽃에 물 주기                                   , 아가 나오미 저 yoshi 글그림                                                            , 현대지능개발사                                        ,2023-02-01,2520,4,4,BL,문학,2023-02-22 23:13:21.976838
5,       연재  너를 기다려 , 이현숙 글그림                                                            , 대원씨아이                                        ,2022-05-01,500,5,5,BL,문학,2023-02-22 23:13:21.976838
6,       대여   루비  투명한 사랑의 그릇  한정판                                 , hitomi 글그림                                                            , 현대지능개발사                                        ,2023-02-01,1440,4,4,BL,문학,2023-02-22 23:13:21.976838
7,       BL  럭키 다이스                                   , 삐삐 저                                                            , 블루브                                        ,2022-11-01,3600,4,4,BL,문학,2023-02-22 23:13:21.976838
8,      비혼주의입니다만   , 촤돌 글그림                                                            , Label RED                                        ,2022-11-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
9,      킬 더 라이츠 , 장량 저 밍크 글그림                                                            , 비숲                                        ,2021-07-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
10,       세트   BL  저를 이용해 주세요  총4권    , 다정담 저                                                            , BLYNUE 블리뉴                                        ,2021-09-01,9800,4,4,BL,문학,2023-02-22 23:13:21.976838
11,       연재   BL  온 오어 오프  완전판    크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , A1 그림                                                            , 디앤씨웹툰비즈                                        ,2020-09-01,500,4,4,BL,문학,2023-02-22 23:13:21.976838
12,      체크 메이트 , 탄 저                                                            , 키다리스튜디오                                        ,2020-08-01,600,5,5,BL,문학,2023-02-22 23:13:21.976838
13,       BL  파이브 바이 파이브 5x5                                    , 이소한 저                                                            , 텐북                                        ,2022-08-01,4800,4,4,BL,문학,2023-02-22 23:13:21.976838
14,       BL  동티                                , 소조금 저                                                            , 모드                                        ,2022-09-01,3000,4,4,BL,문학,2023-02-22 23:13:21.976838
15,      빅 애플 Big Apple                                    , 하루사리 저 호돗 그림                                                            , 비숲                                        ,2022-09-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
16,      Wet Sand    샌드  , DOYAK 도약  글그림                                                            , 두세븐 엔터테인먼트                                        ,2022-09-01,600,0,0,BL,문학,2023-02-22 23:13:21.976838
17,       세트   BL  숫놈  총4권    , 이비도 저                                                            , 나일                                        ,2023-01-01,10800,0,0,BL,문학,2023-02-22 23:13:21.976838
18,       BL  서퍼   스토커 헌터지만 육아하고 있습니다                                    , 글먹SS 저                                                            , 더클북컴퍼니                                        ,2023-02-01,4200,4,4,BL,문학,2023-02-22 23:13:21.976838
19,      꿈자리가 이상한데요   , 흰귀 저                                                            , 북극여우                                        ,2021-02-01,600,0,0,BL,문학,2023-02-22 23:13:21.976838
20,       비애  은목서의 양재사                                   , 마미타 글그림                                                            , 비애코믹스                                        ,2023-02-01,3780,4,4,BL,문학,2023-02-22 23:13:21.976838
21,      라라의 결혼 , 타메코우 글그림                                                            , 블랑코믹스                                        ,2020-02-01,3780,4,4,BL,문학,2023-02-22 23:13:21.976838
22,       BL  배타적 연애금지구역                                   , 민트란 저                                                            , WET노블                                        ,2019-07-01,5000,4,4,BL,문학,2023-02-22 23:13:21.976838
23,       BL  루트를 거부하는 방법                                   , 허니트랩 저                                                            , 피아체                                        ,2020-07-01,3600,4,4,BL,문학,2023-02-22 23:13:21.976838
24,       BL  시나몬 캔디                                   , Whale 저                                                            , 모드                                        ,2022-11-01,3600,4,4,BL,문학,2023-02-22 23:13:21.976838
25,       BL  주먹 구십구                                , 마연 저                                                            , 블러쉬                                        ,2022-01-01,3200,4,4,BL,문학,2023-02-22 23:13:21.976838
26,       BL  까막새 우는 소리                                   , 김인명 저                                                            , 피아체                                        ,2020-01-01,4500,4,4,BL,문학,2023-02-22 23:13:21.976838
27,       BL  스파이게임                                   , 바크베 저                                                            , 피아체                                        ,2021-10-01,3200,4,4,BL,문학,2023-02-22 23:13:21.976838
28,       BL  센차 레플리카                                   , 서니주 저                                                            , BLYNUE 블리뉴                                        ,2023-02-01,3800,4,4,BL,문학,2023-02-22 23:13:21.976838
29,       BL  제 아이입니다만  , 사공 글그림                                                            , 블랑시아                                        ,2022-03-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
30,       연재  안전어는 빨간색 , 무나무 글그림                                                            , 대원씨아이                                        ,2021-09-01,500,5,5,BL,문학,2023-02-22 23:13:21.976838
31,       연재  야수는 죽어야 한다                                   , 이현숙 저                                                            , 대원씨아이                                        ,2019-06-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
32,       연재  대리화가  완전판                                    , 무나무 저                                                            , 대원씨아이                                        ,2018-09-01,500,5,4,BL,문학,2023-02-22 23:13:21.976838
33,       BL  프로젝션  Projection                                    , 이은규 저                                                            , 비욘드                                        ,2023-02-01,3420,5,5,BL,문학,2023-02-22 23:13:21.976838
34,       BL  그놈이 그놈이다                                , 차선 저                                                            , BLYNUE 블리뉴                                        ,2023-02-01,3700,4,4,BL,문학,2023-02-22 23:13:21.976838
35,       BL  숲속의 엘리야                                   , 달혜나 저                                                            , 톤 TONE                                         ,2023-02-01,3000,4,4,BL,문학,2023-02-22 23:13:21.976838
36,       BL  신입사원                                   , 제크  모스카레토 저                                                            , 비욘드                                        ,2022-06-01,600,0,0,BL,문학,2023-02-22 23:13:21.976838
37,       연재  우렁강도 , 펭키 글그림                                                            , 앤드비                                        ,2020-09-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
38,       BL  플로리스 플롯  Flawless Plot                                 , 이은성 저                                                            , 블로우                                        ,2023-01-01,2700,4,5,BL,문학,2023-02-22 23:13:21.976838
39,       연재   BL  녹색전상 , 잭스 그림                                                            , 디앤씨웹툰비즈                                        ,2021-04-01,600,5,4,BL,문학,2023-02-22 23:13:21.976838
40,       BL  미필적 고의에 의한 연애사   확정적 고의에 의한 연애사                                   , 우주토깽 저                                                            , 비욘드                                        ,2019-02-01,4500,4,4,BL,문학,2023-02-22 23:13:21.976838
41,       연재   BL  마도조사 , 묵향동후 원작      광풍취고당 그림 저                                                            , B Lab 비랩코믹스                                         ,2020-09-01,300,5,5,BL,문학,2023-02-22 23:13:21.976838
42,      찌질한 서브공이 되었습니다  , 로보 저 백일 슬기 글 애림 그림                                                            , 서울미디어코믹스                                        ,2022-11-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
43,      별과 별 사이 , 스리 글그림                                                            , 북극여우                                        ,2021-08-01,600,0,0,BL,문학,2023-02-22 23:13:21.976838
44,       컬러 연재  영원한 계약 , 해진 글그림                                                            , 앤드비                                        ,2021-12-01,600,0,0,BL,문학,2023-02-22 23:13:21.976838
45,       연재  바람이 머무는 자리 완전판    크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 유사 글그림                                                            , 대원씨아이                                        ,2020-09-01,500,5,5,BL,문학,2023-02-22 23:13:21.976838
46,       연재  맥스 모하비 사건파일   크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 여름숲 저                                                            , 대원씨아이                                        ,2020-09-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
47,       BL  인투 더 쓰릴 Into the thrill          크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , leefail 저                                                            , 블루코드                                        ,2020-01-01,4200,4,4,BL,문학,2023-02-22 23:13:21.976838
48,       BL  세컨드 러브 송 Second love song                                 , 코르테즈 저                                                            , MANZ                                         ,2023-02-01,3300,5,5,BL,문학,2023-02-22 23:13:21.976838
49,      Wet Sand    샌드  22화                                , DOYAK 저                                                            , 두세븐 엔터테인먼트                                        ,2023-02-01,600,0,0,BL,문학,2023-02-22 23:13:21.976838
50,       BL  다정도 병인 양하여                                , Fensterrahmen 저                                                            , B cafe                                        ,2017-08-01,3000,4,4,BL,문학,2023-02-22 23:13:21.976838
51,       BL  와이드 오픈                                , 바크베 저                                                            , BLYNUE 블리뉴                                        ,2023-01-01,3600,4,4,BL,문학,2023-02-22 23:13:21.976838
52,       BL  풀 블룸 Full bloom                                    , 구부 저                                                            , 시크노블                                        ,2023-01-01,3300,4,4,BL,문학,2023-02-22 23:13:21.976838
53,       BL  살아서 만납시다                                , 할로윈 저                                                            , 링크                                        ,2022-11-01,3400,4,4,BL,문학,2023-02-22 23:13:21.976838
54,       BL  유실  개정판                                    , 해단 저                                                            , 피아체                                        ,2022-04-01,6000,4,4,BL,문학,2023-02-22 23:13:21.976838
55,      배타적 연애금지구역 , 민트란 저 새나 글 두짜 그림                                                            , 서울미디어코믹스                                        ,2022-04-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
56,       BL  DASH                                   , 이젠 ijen  저                                                            , W Beast                                        ,2022-01-01,4400,4,4,BL,문학,2023-02-22 23:13:21.976838
57,      남의 BL만화                                   , 보바리 글그림                                                            , 북큐브네트웍스                                        ,2021-08-01,400,0,0,BL,문학,2023-02-22 23:13:21.976838
58,       BL  이리 오너라  업고 놀자 , 바트 저                                                            , 가하 웹툰                                        ,2019-07-01,600,5,5,BL,문학,2023-02-22 23:13:21.976838
59,       연재  비의도적 연애담 외전 , 피비 글그림                                                            , 대원씨아이                                        ,2021-02-01,500,5,5,BL,문학,2023-02-22 23:13:21.976838
60,       고화질  멜로드라마의문법                                   , 객기 저                                                            , 넥스큐브                                        ,2021-02-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
61,       BL  비밀한 연애         크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 일면식 저                                                            , 시크노블                                        ,2020-05-01,4000,4,4,BL,문학,2023-02-22 23:13:21.976838
62,       BL  슈가 크러시 러브 Sugar Crush Love                                 , 골햄 저                                                            , 문라이트북스                                        ,2023-01-01,3600,5,5,BL,문학,2023-02-22 23:13:21.976838
63,       대여  오늘도 첫날밤에 도전 중입니다                                , 키다 삿츠 글그림                                                            , 감각                                        ,2023-02-01,1680,4,4,BL,문학,2023-02-22 23:13:21.976838
64,       BL  차사태신전                                , 급한 저                                                            , BLYNUE 블리뉴                                        ,2023-01-01,3400,4,4,BL,문학,2023-02-22 23:13:21.976838
65,       BL  조교 실격                                   , 쇼베 저                                                            , 시크노블                                        ,2023-01-01,3500,4,4,BL,문학,2023-02-22 23:13:21.976838
66,       BL  캐럿                                   , 메카니스트 저                                                            , 더클북컴퍼니                                        ,2022-11-01,3000,4,4,BL,문학,2023-02-22 23:13:21.976838
67,       연재  일요일의 위로 , 사밀 저 한우주 글그림                                                            , 대원씨아이                                        ,2022-09-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
68,      탐색전 , 오후네시육분 저 지팡 글그림 내프 그림                                                            , 북극여우                                        ,2022-05-01,600,0,0,BL,문학,2023-02-22 23:13:21.976838
69,       BL  파문                                , 소조금 저                                                            , 모드                                        ,2022-01-01,3000,4,4,BL,문학,2023-02-22 23:13:21.976838
70,       연재  불가역  완전판  , 무공진     RedHong 저                                                            , 대원씨아이                                        ,2021-08-01,500,0,0,BL,문학,2023-02-22 23:13:21.976838
71,       BL  오메가X알파 조교일지 , 썸머린 저                                                            , 여름의BL                                        ,2021-03-01,1000,4,4,BL,문학,2023-02-22 23:13:21.976838
72,       연재  미치기 좋은 날  완전판  , 유사 저                                                            , 대원씨아이                                        ,2018-12-01,500,5,5,BL,문학,2023-02-22 23:13:21.976838
73,       슈크림   BL  내 버진은 안 팔아                                    , 쿠오 츠나시 글그림                                                            , 슈크림코믹스                                        ,2023-02-01,4320,0,0,BL,문학,2023-02-22 23:13:21.976838
74,       BL  망한 세상에서 살아남기                                , 맛좋은감자탕 저                                                            , BLYNUE 블리뉴                                        ,2023-02-01,3500,0,0,BL,문학,2023-02-22 23:13:21.976838
