순위,제목,저자,대여 횟수
79,"
                장사의 신 : 200쇄 기념 블랙에디션
            ",우노 다카시 지음 / 김문정 옮김,"1,436개"
80,"
                코스모폴리탄 COSMOPOLITAN 2023.02
            ",COSMOPOLITAN 편집부,230개
81,"
                괴신선생 1권
            ",들마루,"6,829개"
82,"
                당신의 뇌는 최적화를 원한다
            ","가바사와시온 지음, 오시연 옮김",3.1만 개+
83,"
                타인의 마음
            ","김경일, 사피엔스 스튜디오","4,392개"
84,"
                포식한 던전으로 사상 최강 1권
            ",눌프,"1,576개"
85,"
                보도 섀퍼의 이기는 습관
            ",보도 섀퍼 / 박성원 ,2.6만 개+
86,"
                부의 추월차선 10주년 기념 에디션
            ",엠제이 드마코 저  / 신소영,8.9만 개+
87,"
                나도 모르는 내 마음의 심리법칙
            ",야오야오 / 김진아,"3,487개"
88,"
                매경이코노미 2195호
            ",매경이코노미 편집부 ,388개
89,"
                나의 하루는 4시 30분에 시작된다
            ",김유진 지음,5.3만 개+
90,"
                내가 틀릴 수도 있습니다
            ",비욘 나티코 린데블라드 지은이/ 토마스 산체스 그림 / 박미경 옮김,1.2만 개+
91,"
                가재가 노래하는 곳
            ","델리아 오언스 (지은이), 김선형 (옮긴이)","2,578개"
92,"
                모든 것은 기본에서 시작한다
            ",손웅정,1.7만 개+
93,"
                지적 대화를 위한 넓고 얕은 지식 1
            ",채사장 지음,3.6만 개+
94,"
                기억의 뇌과학
            ",리사 제노바,1.1만 개+
95,"
                사람을 얻는 지혜
            ",발타자르 그라시안/김유경,"9,895개"
96,"
                그리고 행복하다는 소식을 들었습니다
            ",이병률,"3,040개"
97,"
                백조와 박쥐
            ","히가시노게이고 지음, 양윤옥 옮김",3.9만 개+
98,"
                퇴마록 국내편 1 
            ",이우혁,1.3만 개+
99,"
                사랑은 그렇게 하는 것이 아니다 
            ",김달,"7,067개"
100,"
                철수 삼촌
            ",김남윤,984개
