순위,제목,저자,출판사,출간일,별점
50,분수가 풀리고 도형이 보이는 수학이야기,"난바 히로유키 (지은이), 최현주 (옮긴이) ", 동양북스(동양문고) , 2021년 11월,5.0
51,한국사 편지 1 : 원시 사회부터 통일 신라와 발해까지,"박은봉 (지은이), 류동필 (그림) ", 책과함께 , 2020년 12월,4.5
52,오늘은 용돈 받는 날,"연유진 (지은이), 간장 (그림) ", 풀빛 , 2021년 10월,5.0
53,그리스 로마 신화 31 : 아이네이아스의 새로운 여정,"박시연 (지은이), 최우빈 (그림), 김헌 (감수) ", 아울북 , 2022년 11월,5.0
54,이상한 과자 가게 전천당 1,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이), 김두리, 선호제, 이승준 (낭독) ", 길벗스쿨 , 2021년 3월,4.5
55,우르르 쾅쾅 하늘이 열린 날,"김태호 (지은이), 이수영 (그림), 김복미 (감수) ", 스푼북 , 2021년 10월,0.0
56,탄소 중립이 뭐예요?,"장성익 (지은이), 방상호 (그림), 윤순진 (감수) ", 풀빛 , 2022년 5월,5.0
57,생각이 크는 인문학 10 : 생명,"장성익 (지은이), 이진아 (그림) ", 을파소 , 2015년 12월,5.0
58,비밀의 숲 테라비시아,"캐서린 패터슨 (지은이), 도나 다이아몬드 (그림), 김영선 (옮긴이) ", 사파리 , 2022년 7월,5.0
59,아름다운 가치 사전 1,"채인선 (지은이), 김은정 (그림) ", 한울림어린이 , 2020년 8월,5.0
60,해저 2만 리 Ⅰ,"쥘 베른 (지은이), 드 뇌빌, 에두아르 리우 (그림), 윤진 (옮긴이) ", 비룡소 , 2012년 7월,5.0
61,땡땡의 모험 05 : 푸른 연꽃,"에르제 (지은이), 이영목, 류진현 (옮긴이) ", 솔출판사 , 2022년 8월,5.0
62,심리테스트 50(내손안에쏘옥시리즈22),"아이글터 (지은이), Zuni (그림) ", 책빛 , 2011년 5월,5.0
63,1940년 열두 살 동규,"손연자 (지은이), 김산호 (그림) ", 계수나무 , 2021년 11월,5.0
64,"세종 대왕, 세계 최고의 문자를 발명하다","이은서 (지은이), 김지연 (그림) ", 보물창고 , 2015년 6월,4.5
65,해저 2만 리 Ⅱ,"쥘 베른 (지은이), 드 뇌빌, 에두아르 리우 (그림), 윤진 (옮긴이) ", 비룡소 , 2012년 7월,4.0
66,바쁜 초등학생을 위한 빠른 독해 : 1단계,"호사라, 영재사랑 교육연구소 (지은이) ", 이지스퍼블리싱 (주) , 2021년 9월,5.0
67,엄지 공주,한스 크리스티안 안데르센 (지은이) , 이야기콩 , 2016년 10월,5.0
68,까마귀 실버스팟,어니스트 톰프슨 시턴 (지은이) , 미니문고 , 2018년 6월,0.0
69,Who? Special 페이커,"오기수 (지은이), 이지은 (그림), 이상혁 (감수) ", 스튜디오다산(주) , 2021년 3월,5.0
70,초희의 글방 동무 : 선녀의 글재주를 지닌 천재 시인 허난설헌 이야기 - 위대한 책벌레 5,"장성자 (지은이), 최정인 (그림) ", 개암나무 , 2015년 1월,5.0
