순위,제목,저자,출판사,출간일,별점
52,혼자 공부하는 얄팍한 코딩 지식,고현민 (지은이) , 한빛미디어 , 2022년 5월,5.0
53,[세트] 토비의 스프링 3.1 (총2권),이일민 (지은이) , 에이콘출판 , 2012년 9월,4.5
54,된다! 하루 5분 노션 활용법,이다슬 (지은이) , 이지스퍼블리싱 (주) , 2022년 1월,5.0
55,쏙쏙 들어오는 함수형 코딩,"에릭 노먼드 (지은이), 김은민 (옮긴이) ", 제이펍 , 2022년 6월,4.5
56,HTTP 완벽 가이드,"데이빗 고울리, 브라이언 토티, 마조리 세이어 (지은이) ", 인사이트 , 2022년 5월,4.0
57,2022 기사패스 정보처리기사 실기 문제집 1200,NCS정보화기술연구회 (지은이) , 한국정보화기술 , 2022년 3월,5.0
58,도메인 주도 설계로 시작하는 마이크로서비스 개발,"한정헌, 유해식, 최은정 (지은이) ", 위키북스 , 2021년 12월,5.0
59,2022 기사패스 정보처리기사 필기 기출문제 상세풀이 800제,NCS 정보기술 연구회 (지은이) , 한국정보화기술 , 2021년 12월,4.5
60,혼자 공부하는 R 데이터 분석,"강전희, 엄동란 (지은이) ", 한빛미디어 , 2022년 2월,5.0
61,누구나 자료 구조와 알고리즘(개정2판),"제이 웬그로우 (지은이), 심지현 (옮긴이) ", 길벗 , 2021년 12월,5.0
62,업무에 바로 쓰는 SQL 튜닝,"양바른 (지은이), 김연수 (옮긴이) ", 한빛미디어 , 2021년 7월,4.5
63,코딩자율 학습 나도코딩의 C언어 입문,나도코딩 (지은이) , 길벗 , 2022년 10월,5.0
64,자바스크립트로 배우는 SICP,"해럴드 에이블슨, 제럴드 제이 서스먼, 마틴 헨즈 (지은이) ", 한빛미디어 , 2023년 1월,4.0
65,수학 리부트,강중빈 (지은이) , 인사이트 , 2020년 7월,5.0
66,이것이 자료구조+알고리즘이다 with C 언어,박상현 (지은이) , 한빛미디어 , 2022년 8월,5.0
67,된다! 깨비의 DSLR&미러리스 사진 수업,박기덕 (지은이) , 이지스퍼블리싱 (주) , 2022년 1월,5.0
68,혼자 공부하는 첫 프로그래밍 with 파이썬,문현일 (지은이) , 한빛미디어 , 2020년 9월,4.5
69,Do it! 깡샘의 안드로이드 앱 프로그래밍 with 코틀린 (개정 2판),강성윤 (지은이) , 이지스퍼블리싱 , 2022년 12월,4.5
70,아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) , 2022년 4월,5.0
71,실시간 데이터 파이프라인 아키텍처,"앤드류 살티스 (지은이), 최원영 (옮긴이) ", 비제이퍼블릭 , 2023년 1월,0.0
72,타입스크립트 프로그래밍,"보리스 체르니 (지은이), 우정은 (옮긴이) ", 인사이트 , 2022년 5월,0.0
73,가장 쉬운 인스타툰 만들기,박희연(ELLA) (지은이) , 정보문화사 , 2022년 6월,5.0
