순위,제목,저자,출판사,출간일,별점,장르
658,노 게임 노 라이프,"카미야 유우 (지은이), 김완 (옮긴이) ", 노블엔진 , 2022년 3월,5.0,라이트 노벨
659,변경의 팔라딘,"야나기노 카나타 (지은이), 린 쿠스사가 (그림) ", 노블엔진 , 2018년 3월,4.5,라이트 노벨
660,나는 성간 국가의 악덕 영주!,"미시마 요무 (지은이), 타카미네 나다레 (그림), 박정철 (옮긴이) ", ㈜소미미디어 , 2022년 10월,5.0,라이트 노벨
661,오크 영웅 이야기,"리후진 나 마고노테 (지은이), 아사나기 (그림), 손종근 (옮긴이) ", ㈜소미미디어 , 2022년 12월,5.0,라이트 노벨
662,청춘 돼지는,"카모시다 하지메 (지은이), 미조구치 케이지 (그림), 이승원 (옮긴이) ", 엘노벨 , 2021년 9월,5.0,라이트 노벨
663,꿈꾸는 남자는 현실주의자,"오케마루 (지은이), 사바미조레 (그림), 박정철 (옮긴이) ", ㈜소미미디어 , 2023년 1월,5.0,라이트 노벨
664,맞선보고 싶지 않아서 억지스러운 조건을 달았더니 동급생이 온 일에 대해서,"사쿠라기 사쿠라 (지은이), Clear (그림), 손종근 (옮긴이) ", ㈜소미미디어 , 2022년 11월,0.0,라이트 노벨
665,곰 곰 곰 베어,"쿠마나노 (지은이), 029 (그림), 김보라 (옮긴이) ", L노벨 , 2022년 9월,5.0,라이트 노벨
666,성녀의 마력은 만능입니다,타치바나 유카 (지은이) , 제이노블 퍼플 , 2021년 10월,0.0,라이트 노벨
667,내 소꿉친구는 타락성녀!,키코 저/보칸 그림 (지은이) , 나이트노벨 , 2019년 11월,3.0,라이트 노벨
668,고블린 슬레이어,"카규 쿠모 (지은이), 칸나츠키 노보루 (그림), 박경용 (옮긴이) ", L노벨 , 2022년 5월,5.0,라이트 노벨
669,반에서 가장 싫어하는 여자애와 결혼하게 되었다,"아마노 세이주 (지은이), 나루미 나나미 (그림), 이소정 (옮긴이) ", ㈜소미미디어 , 2023년 1월,0.0,라이트 노벨
670,"세계 최고의 암살자, 이세계 귀족으로 전생하다","츠키요 루이 (지은이), 레이아 (그림), 송재희 (옮긴이) ", L노벨 , 2022년 11월,0.0,라이트 노벨
671,S랭크 모험가인 내 딸들은 심각한 파더콤이었습니다,"토모바시 카메츠 (지은이), 노조미 츠바메 (그림), 한수진 (옮긴이) ", ㈜소미미디어 , 2022년 12월,0.0,라이트 노벨
672,변변찮은 마술강사와 금기교전,"히츠지 타로 (지은이), 미시마 쿠로네 (그림), 최승원 (옮긴이) ", L노벨 , 2022년 12월,5.0,라이트 노벨
673,평민 주제에 건방지군요! 01,"이노리 (지은이), 하나가타 (그림), 정백송 (옮긴이) ", ㈜소미미디어 , 2022년 10월,5.0,라이트 노벨
674,즉사 치트가 너무 최강이라 이세계 녀석들이 전혀 상대가 되지 않습니다만.,"후지타카 츠요시 (지은이), 나루세 치사토 (그림) ", 제이노블 넥스트 , 2022년 5월,5.0,라이트 노벨
675,사일런트 위치,"이소라 마츠리 (지은이), 후지미 난나 (그림), 이경인 (옮긴이) ", 로지 , 2022년 10월,5.0,라이트 노벨
676,사랑을 갈망하는 이형,"야마노베 리리 (지은이), Ciel (그림) ", 시크릿노블 , 2018년 10월,4.5,라이트 노벨
677,현자의 손자,"요시오카 츠요시 (지은이), 김덕진 (옮긴이) ", L노벨 , 2023년 1월,0.0,라이트 노벨
678,스파이 교실,"타케마치 (지은이), 토마리 (그림), 송재희 (옮긴이) ", L노벨 , 2022년 12월,5.0,라이트 노벨
679,프리 라이프,"키가츠케바 케다마, 카니빔 (지은이) ", L노벨 , 2022년 11월,0.0,라이트 노벨
680,신부는 마녀?! -오만한 왕태자의 음란한 키스로 행복해졌습니다,"세라 히나코 (지은이), 아오이 후유코 (그림) ", 스칼렛노블 , 2018년 8월,0.0,라이트 노벨
681,[세트] 마도구사 달리아는 고개 숙이지 않아 (총8권/미완결),"아마기시 히사야 (지은이), 케이 (그림), 김종범 (옮긴이) ", 시프트노벨 , 2023년 2월,0.0,라이트 노벨
682,"내가 연인이 될 수 있을 리 없잖아, 무리무리! (※무리가 아니었다?!)","미카미 테렌 (지은이), 타케시마 에쿠 (그림), 정백송 (옮긴이) ", ㈜소미미디어 , 2022년 3월,5.0,라이트 노벨
683,이세계에서 슬로 라이프를(희망),"시게 (지은이), 오우카 (그림), 김종범 (옮긴이) ", 시프트노벨 , 2023년 1월,5.0,라이트 노벨
684,"황금의 새장, 두 개의 열쇠",쇼콜라 (지은이) , 코르셋노블 , 2017년 10월,3.0,라이트 노벨
685,음란한 동굴 깊은 곳에서,우메타네 (지은이) , 나이트노벨 , 2021년 3월,5.0,라이트 노벨
686,아싸인 내게 벌칙 게임으로 고백해 온 갸루가 아무리 봐도 나한테 반한 것 같다,"유이시 (지은이), 카가치 사쿠 (그림), 이소정 (옮긴이) ", ㈜소미미디어 , 2022년 12월,5.0,라이트 노벨
687,동백전,"이자키 쿄스케 (지은이), 칸자린 (그림), 천선필 (옮긴이) ", ㈜소미미디어 , 2022년 11월,5.0,라이트 노벨
688,청춘 돼지는,"카모시다 하지메 (지은이), 미조구치 케이지 (그림), 이승원 (옮긴이) ", 디앤씨미디어(주)(D&C미디어) , 2019년 3월,4.5,라이트 노벨
689,사사키와 피짱 01,"분코로리 (지은이), 칸토쿠 (그림), 이경인 (옮긴이) ", 시프트노벨 , 2023년 1월,0.0,라이트 노벨
690,아픈 건 싫으니까 방어력에 올인하려고 합니다.,"유우미칸 (지은이), 코인 (그림) ", 노블엔진 , 2022년 12월,0.0,라이트 노벨
691,"아빠는 영웅, 엄마는 정령, 딸인 나는 전생자.","마츠우라 (지은이), keepout (그림), 이신 (옮긴이) ", L노벨 , 2022년 12월,0.0,라이트 노벨
692,아다치와 시마무라,"이루마 히토마 (지은이), NON (그림) ", 학산문화사(라이트노벨) , 2022년 5월,4.0,라이트 노벨
693,변태 후작의 이상적인 아내,"아키노 신쥬 (지은이), gamu (그림), 조아라 (옮긴이) ", 영상출판미디어(주) , 2015년 5월,4.0,라이트 노벨
694,악덕 기사단의 노예가 착한 모험가 길드에 스카우트 되어 S랭크가 되었습니다,"지오 (지은이), 유우야 (그림), 박정철 (옮긴이) ", ㈜소미미디어 , 2023년 1월,0.0,라이트 노벨
695,니시노 ~교내 카스트 최하위이자 이능세계 최강 소년~,분코로리 (지은이) , 제이노블 넥스트 , 2023년 1월,0.0,라이트 노벨
696,청춘 돼지는,"카모시다 하지메 (지은이), 미조구치 케이지 (그림), 이승원 (옮긴이) ", 디앤씨미디어(주)(D&C미디어) , 2018년 12월,5.0,라이트 노벨
697,친구 여동생이 나한테만 짜증나게 군다,"미카와 고스트 (지은이), 토마리 (그림), 이승원 (옮긴이) ", L노벨 , 2023년 1월,0.0,라이트 노벨
698,리빌드 월드,"나후세 (지은이), 긴 (그림), JYH (옮긴이) ", 노블엔진 , 2022년 7월,5.0,라이트 노벨
699,악역 영애 레벨 99,"타나바타 사토리 (지은이), Tea (그림), 유시우 (옮긴이) ", 로지 , 2022년 2월,5.0,라이트 노벨
700,망국의 정복자,"후데오르카 (지은이), toi8 (그림), 도영명 (옮긴이) ", 시프트노벨 , 2023년 1월,5.0,라이트 노벨
701,구의 증명,최진영 (지은이) , 은행나무 , 2015년 3월,4.0,소설/시/희곡
702,[100% 페이백] 우리에게는 비밀이 없다,"우샤오러 (지은이), 강초아 (옮긴이) ", 한즈미디어 , 2023년 2월,4.0,소설/시/희곡
703,아버지의 해방일지,정지아 (지은이) , 창비 , 2022년 9월,5.0,소설/시/희곡
704,살인 플롯 짜는 노파,"엘리 그리피스 (지은이), 신승미 (옮긴이) ", 나무옆의자 , 2023년 2월,4.5,소설/시/희곡
705,사랑의 이해,이혁진 (지은이) , 민음사 , 2019년 4월,4.0,소설/시/희곡
706,이토록 평범한 미래,김연수 (지은이) , 문학동네 , 2022년 10월,4.5,소설/시/희곡
707,로렘 입숨의 책,구병모 (지은이) , 안온북스 , 2023년 1월,5.0,소설/시/희곡
708,데미안 (한글판),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2012년 10월,4.5,소설/시/희곡
709,불편한 편의점,김호연 (지은이) , 나무옆의자 , 2021년 4월,4.5,소설/시/희곡
710,눈물을 마시는 새 세트 (1~4권),이영도 (지은이) , 황금가지 , 2013년 10월,5.0,소설/시/희곡
711,흑뢰성,"요네자와 호노부 (지은이), 김선영 (옮긴이) ", 리드비 , 2023년 2월,5.0,소설/시/희곡
712,불편한 편의점 2 (단풍 에디션),김호연 (지은이) , 나무옆의자 , 2022년 8월,4.5,소설/시/희곡
713,파친코 1,"이민진 (지은이), 신승미 (옮긴이) ", 인플루엔셜(주) , 2022년 10월,4.5,소설/시/희곡
714,단순한 열정,"아니 에르노 (지은이), 최정수 (옮긴이) ", 문학동네 , 2016년 12월,4.0,소설/시/희곡
715,인생의 역사,신형철 (지은이) , 난다 , 2022년 12월,5.0,소설/시/희곡
716,인간실격 (한글판),"다자이 오사무 (지은이), 김소영 (옮긴이) ", 미르북컴퍼니 , 2013년 12월,4.0,소설/시/희곡
717,배니시드,김도윤 (지은이) , 팩토리나인 , 2023년 2월,5.0,소설/시/희곡
718,가재가 노래하는 곳,"델리아 오언스 (지은이), 김선형 (옮긴이) ", 살림 , 2019년 6월,4.0,소설/시/희곡
719,홍학의 자리,정해연 (지은이) , 엘릭시르 , 2021년 7월,4.0,소설/시/희곡
720,참을 수 없는 존재의 가벼움,"밀란 쿤데라 (지은이), 이재룡 (옮긴이) ", 민음사 , 2021년 6월,4.5,소설/시/희곡
721,"칵테일, 러브, 좀비",조예은 (지은이) , 안전가옥 , 2020년 4월,4.5,소설/시/희곡
722,파친코 2,이민진 (지은이) , 인플루엔셜(주) , 2022년 10월,5.0,소설/시/희곡
723,수확자,"닐 셔스터먼 (지은이), 이수현 (옮긴이) ", 열린책들 , 2023년 1월,5.0,소설/시/희곡
724,싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이) ", 민음사 , 2014년 1월,4.5,소설/시/희곡
725,생생하게 살아 있는 캐릭터 만드는 법,"키라앤 펠리컨 (지은이), 정미화 (옮긴이) ", 아날로그(글담) , 2023년 1월,5.0,소설/시/희곡
726,수호자들,"존 그리샴 (지은이), 남명성 (옮긴이) ", 하빌리스(대원씨아이) , 2023년 2월,5.0,소설/시/희곡
727,작가는 어떻게 읽는가,"조지 손더스 (지은이), 정영목 (옮긴이) ", 어크로스 , 2023년 2월,4.0,소설/시/희곡
728,파과,구병모 (지은이) , 위즈덤하우스 , 2018년 4월,4.5,소설/시/희곡
729,인간 실격,"다자이 오사무 (지은이), 김춘미 (옮긴이) ", 민음사 , 2012년 10월,4.0,소설/시/희곡
730,세상의 마지막 기차역,"무라세 다케시 (지은이), 김지연 (옮긴이) ", 모모 , 2022년 5월,4.5,소설/시/희곡
731,쿼런틴,"그렉 이건 (지은이), 김상훈 (옮긴이) ", 허블 , 2022년 12월,5.0,소설/시/희곡
732,우중괴담,"미쓰다 신조 (지은이), 현정수 (옮긴이) ", 북로드 , 2022년 12월,5.0,소설/시/희곡
733,이방인 (한글판),"알베르 카뮈 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 8월,4.0,소설/시/희곡
734,작별인사,김영하 (지은이) , 복복서가 , 2022년 5월,4.0,소설/시/희곡
735,이중 작가 초롱,이미상 (지은이) , 문학동네 , 2022년 11월,5.0,소설/시/희곡
736,어린 왕자 (한글+영문),"앙투안 드 생텍쥐페리 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 4월,5.0,소설/시/희곡
737,내가 나를 버린 날,"마츠무라 료야 (지은이), 권하영 (옮긴이) ", 북플라자 , 2022년 6월,4.5,소설/시/희곡
738,메이드,"니타 프로스 (지은이), 노진선 (옮긴이) ", 마시멜로 , 2023년 2월,5.0,소설/시/희곡
739,왕자님의 연애편지,이경민 (지은이) , 라이스메이커 , 2022년 12월,5.0,소설/시/희곡
740,노인과 바다 (한글+영문판),"어니스트 헤밍웨이 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 6월,5.0,소설/시/희곡
741,브람스를 좋아하세요…,"프랑수아즈 사강 (지은이), 김남주 (옮긴이) ", 민음사 , 2018년 6월,4.5,소설/시/희곡
742,심판,"베르나르 베르베르 (지은이), 전미연 (옮긴이) ", 열린책들 , 2020년 8월,4.5,소설/시/희곡
743,멋진 신세계,"올더스 헉슬리 (지은이), 안정효 (옮긴이) ", 소담출판사 , 2018년 6월,4.5,소설/시/희곡
744,1984 (한글+영문),"조지 오웰 (지은이), 정영수 (옮긴이) ", 더클래식 , 2013년 5월,5.0,소설/시/희곡
745,여자 없는 남자들,"무라카미 하루키 (지은이), 양윤옥 (옮긴이) ", 문학동네 , 2020년 4월,4.5,소설/시/희곡
746,안젤리크,"기욤 뮈소 (지은이), 양영란 (옮긴이) ", 밝은세상 , 2023년 1월,4.5,소설/시/희곡
747,나는 오래된 거리처럼 너를 사랑하고,진은영 (지은이) , 문학과지성사 , 2022년 11월,4.5,소설/시/희곡
748,천사를 거부하는 우울한 연인에게,양안다 (지은이) , 문학동네 , 2023년 2월,5.0,소설/시/희곡
749,삼국지 원전 완역판 1 도원,"요시카와 에이지 (엮은이), 나관중 (원작), 바른번역 (옮긴이) ", 코너스톤 , 2020년 3월,4.5,소설/시/희곡
750,이토록 아름다운 세상에서,"고호관, 김백상, 곽유진 (지은이) ", 현대문학 , 2023년 1월,5.0,소설/시/희곡
751,밝은 밤,최은영 (지은이) , 문학동네 , 2021년 7월,5.0,소설/시/희곡
752,아몬드,손원평 (지은이) , 창비 , 2017년 3월,4.0,소설/시/희곡
753,데미안 (한글+영문),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2013년 1월,4.5,소설/시/희곡
754,노르웨이의 숲,"무라카미 하루키 (지은이), 양억관 (옮긴이) ", 민음사 , 2019년 4월,4.0,소설/시/희곡
755,달과 6펜스,"서머싯 몸 (지은이), 송무 (옮긴이) ", 민음사 , 2013년 3월,4.5,소설/시/희곡
756,해가 지는 곳으로,최진영 (지은이) , 민음사 , 2017년 8월,4.5,소설/시/희곡
757,키다리 아저씨 (한글판 + 영문판),"진 웹스터 (지은이), 허윤정 (옮긴이) ", 더클래식 , 2015년 9월,4.5,소설/시/희곡
758,왜 나는 너를 사랑하는가 (70만 부 기념 리커버),"알랭 드 보통 (지은이), 정영목 (옮긴이) ", 청미래 , 2022년 11월,0.0,소설/시/희곡
759,우리가 빛의 속도로 갈 수 없다면,김초엽 (지은이) , 허블 , 2019년 6월,4.5,소설/시/희곡
760,하얼빈,김훈 (지은이) , 문학동네 , 2022년 8월,4.5,소설/시/희곡
761,폭풍의 언덕 (한글판 + 영문판),"에밀리 브론테 (지은이), 김명신 (옮긴이) ", 더클래식 , 2014년 11월,4.5,소설/시/희곡
762,지구에서 한아뿐,정세랑 (지은이) , 난다 , 2019년 8월,4.0,소설/시/희곡
763,"오늘 밤, 세계에서 이 눈물이 사라진다 해도","이치조 미사키 (지은이), 김윤경 (옮긴이) ", 모모 , 2022년 8월,5.0,소설/시/희곡
764,백만장자를 위한 공짜 음식 1,"이민진 (지은이), 유소영 (옮긴이) ", 인플루엔셜(주) , 2023년 1월,4.5,소설/시/희곡
765,리스본행 야간열차,"파스칼 메르시어(페터 비에리) (지은이), 전은경 (옮긴이) ", 비채 , 2022년 12월,5.0,소설/시/희곡
766,15초 후에 죽는다,"사카키바야시 메이 (지은이), 이연승 (옮긴이) ", 블루홀식스(블루홀6) , 2023년 2월,5.0,소설/시/희곡
767,도롱뇽과의 전쟁,"카렐 차페크 (지은이), 김선형 (옮긴이) ", 열린책들 , 2023년 2월,4.5,소설/시/희곡
768,1984,"조지 오웰 (지은이), 정회성 (옮긴이) ", 민음사 , 2012년 7월,4.5,소설/시/희곡
769,지구 끝의 온실,김초엽 (지은이) , 자이언트북스 , 2021년 8월,4.5,소설/시/희곡
770,오만과 편견 (한글판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,4.0,소설/시/희곡
771,프로젝트 헤일메리,"앤디 위어 (지은이), 강동혁 (옮긴이) ", 알에이치코리아(RHK) , 2021년 5월,5.0,소설/시/희곡
772,노인과 바다 (한글),"어니스트 헤밍웨이 (지은이), 이수정 (옮긴이) ", 더클래식 , 2012년 11월,4.0,소설/시/희곡
773,소년이 온다,한강 (지은이) , 창비 , 2014년 5월,5.0,소설/시/희곡
774,내가 행복한 이유,"그렉 이건 (지은이), 김상훈 (옮긴이) ", 허블 , 2022년 8월,4.5,소설/시/희곡
775,피프티 피플 (개정판),정세랑 (지은이) , 창비 , 2021년 10월,4.5,소설/시/희곡
776,백광,"렌조 미키히코 (지은이), 양윤옥 (옮긴이) ", 모모 , 2022년 3월,4.5,소설/시/희곡
777,차라투스트라는 이렇게 말했다,"프리드리히 니체 (지은이), 장희창 (옮긴이) ", 민음사 , 2012년 10월,4.0,소설/시/희곡
778,유리탑의 살인,"치넨 미키토 (지은이), 김은모 (옮긴이) ", 리드비 , 2023년 1월,5.0,소설/시/희곡
779,로미오와 줄리엣 (한글판+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 11월,5.0,소설/시/희곡
780,아리스토텔레스 시학 (그리스어 원전 완역본),"아리스토텔레스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2021년 3월,5.0,소설/시/희곡
781,타이탄의 세이렌,"커트 보니것 (지은이), 강동혁 (옮긴이) ", 문학동네 , 2023년 1월,4.5,소설/시/희곡
782,안녕의 의식,"미야베 미유키 (지은이), 홍은주 (옮긴이) ", 비채 , 2023년 1월,4.5,소설/시/희곡
783,우리가 세상을 이해하길 멈출 때,"벵하민 라바투트 (지은이), 노승영 (옮긴이) ", 문학동네 , 2022년 6월,4.5,소설/시/희곡
784,삼국지 원전 완역판 5 공명,"요시카와 에이지 (엮은이), 나관중 (원작), 바른번역 (옮긴이) ", 코너스톤 , 2020년 3월,0.0,소설/시/희곡
785,삼국지 원전 완역판 4 신도,"요시카와 에이지 (엮은이), 나관중 (원작), 바른번역 (옮긴이) ", 코너스톤 , 2020년 3월,0.0,소설/시/희곡
786,SF 명예의 전당 1,"아이작 아시모프, 프레드릭 브라운, 리처드 매드슨, 프리츠 라이버, 존 W. 캠벨, A.E. 밴 보그트, 클리포드 D. 시맥, 머레이 라인스터, C. M 콘블루스, 앤소니 바우처, 제임스 블리시, 톰 고드윈 (지은이), 로버트 실버버그 (엮은이), 박상준, 고호관, 박병곤, 지정훈 (옮긴이) ", 오멜라스(웅진) , 2015년 2월,4.5,소설/시/희곡
787,젊은 베르터의 슬픔,"요한 볼프강 폰 괴테 (지은이), 김해생 (옮긴이), 이동현, 김미소, 원종준 (낭독) ", 별글 , 2020년 2월,5.0,소설/시/희곡
788,심령들이 잠들지 않는 그곳에서,"조나탕 베르베르 (지은이), 정혜용 (옮긴이) ", 열린책들 , 2023년 1월,5.0,소설/시/희곡
789,달러구트 꿈 백화점,이미예 (지은이) , 팩토리나인 , 2020년 7월,4.0,소설/시/희곡
790,달러구트 꿈 백화점 2,이미예 (지은이) , 팩토리나인 , 2021년 7월,4.5,소설/시/희곡
791,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","이치조 미사키 (지은이), 권영주 (옮긴이) ", 모모 , 2021년 6월,4.0,소설/시/희곡
792,오만과 편견 (한글+영문판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,3.5,소설/시/희곡
793,하늘과 바람과 별과 시 (한글판),윤동주 (지은이) , 더클래식 , 2016년 2월,5.0,소설/시/희곡
794,아가미,구병모 (지은이) , 위즈덤하우스 , 2018년 4월,4.5,소설/시/희곡
795,이방인,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 , 2020년 12월,4.5,소설/시/희곡
796,동급생,"프레드 울만 (지은이), 황보석 (옮긴이) ", 열린책들 , 2017년 2월,4.5,소설/시/희곡
797,유령의 마음으로,임선우 (지은이) , 민음사 , 2022년 4월,5.0,소설/시/희곡
798,노랜드,천선란 (지은이) , 한겨레출판 , 2022년 6월,5.0,소설/시/희곡
799,데미안: 오리지널 초판본,"헤르만 헤세 (지은이), 이미영 (옮긴이), 김선형 (해설) ", 코너스톤 , 2017년 2월,5.0,소설/시/희곡
800,삼국지 원전 완역판 2 군성,"요시카와 에이지 (엮은이), 나관중 (원작), 바른번역 (옮긴이) ", 코너스톤 , 2020년 3월,5.0,소설/시/희곡
801,신학 용어 사전 - 신행사전 004,"데이비드 거레츠키, 체리스 피 노들링, 스탠리 J. 그렌츠 (지은이), 진규선 (옮긴이) ", IVP , 2022년 3월,3.0,사전/기타
802,윤리학 용어 사전 - 신행사전 003 : 복음주의 기독교 관점에서 서술한,"제이 T. 스미스, 스탠리 J. 그렌츠 (지은이), 이여진 (옮긴이) ", 알맹e , 2018년 3월,0.0,사전/기타
803,걸어 다니는 표현 사전,"앤드루 톰슨 (지은이), 오수원 (옮긴이) ", 윌북 , 2021년 10월,5.0,사전/기타
804,커피 이야기 - 살림지식총서 089,김성윤 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
805,개혁신학 용어 사전 - 신행사전 001,"웨슬리 밴더 럭트, 켈리 M. 캐픽 (지은이), 송동민 (옮긴이) ", 알맹e , 2017년 10월,5.0,사전/기타
806,브랜드 네이밍 백과사전,류동수 (지은이) , 보누스 , 2014년 4월,4.0,사전/기타
807,제시 리버모어의 주식투자의 법칙,"제시 리버모어 (지은이), 노혜숙, 윤지호 (옮긴이) ", 원앤원북스 , 2010년 6월,4.0,사전/기타
808,포스트모더니즘에 대한 성찰 - 살림지식총서 027,신승환 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
809,안도 다다오 : 건축의 누드작가 - 살림지식총서 131,임채진 (지은이) , 살림 , 2011년 11월,5.0,사전/기타
810,사람은 왜 인정받고 싶어하나 - 살림지식총서 159,이정은 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
811,네이밍 사전,류동수 (지은이) , 보누스 , 2016년 1월,0.0,사전/기타
812,벤꾸리 가계부 다이어리,벤꾸리 (지은이) , 시원북스 , 2022년 11월,4.5,사전/기타
813,포프 시선 - 지식을만드는지식 천줄읽기,"알렉산더 포프 (지은이), 김옥수 (옮긴이) ", 지식을만드는지식 , 2010년 12월,0.0,사전/기타
814,모리 오가이 단편집,"모리 오가이 (지은이), 손순옥 (옮긴이) ", 지식을만드는지식 , 2012년 6월,4.0,사전/기타
815,프란츠 카프카 - 살림지식총서 052,편영수 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
816,이탈리아 여행기 천줄읽기,"요한 볼프강 폰 괴테 (지은이), 정서웅 (옮긴이) ", 지식을만드는지식 , 2009년 5월,3.0,사전/기타
817,바르샤바 : 벽돌 한 장까지 고증을 거쳐 재건된 도시 - 살림지식총서 108,최건영 (지은이) , 살림 , 2011년 11월,5.0,사전/기타
818,영화로 보는 불륜의 사회학 : 「자유부인」에서「바람난 가족」까지 - 살림지식총서 167,황혜진 (지은이) , 살림 , 2012년 2월,4.0,사전/기타
819,Korean Royal Palace :Changdeokgung,"이향우 (지은이), 원현숙, 이춘선 (옮긴이), 마크 패턴, 나각순 (감수) ", 인문산책 , 2017년 2월,0.0,사전/기타
820,걸어 다니는 어원 사전,"마크 포사이스 (지은이), 홍한결 (옮긴이) ", 윌북 , 2020년 9월,4.5,사전/기타
821,법의학의 세계 - 살림지식총서 035,이윤성 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
822,미셸 푸코 - 살림지식총서 026,양운덕 (지은이) , 살림 , 2012년 2월,4.0,사전/기타
823,상상력과 가스통 바슐라르 - 살림지식총서 182,홍명희 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
824,"탈식민주의에 대한 성찰 : 푸코, 파농, 사이드, 바바, 스피박 - 살림지식총서 248",박종성 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
825,교회사 용어 사전,"네이선 P. 펠드머드, 이재근 (지은이), 송동민 (옮긴이) ", 알맹e , 2022년 8월,0.0,사전/기타
826,총 백과사전,"크리스 맥납 (지은이), 진승현, 김동현 (옮긴이) ", 휴먼앤북스(Human&Books) , 2020년 2월,4.5,사전/기타
827,칸트 - 살림지식총서 158,최인숙 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
828,테마로 보는 서양미술 - 살림지식총서 176,권용준 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
829,자유론,"존 스튜어트 밀 (지은이), 정영하 (옮긴이) ", 산수야 , 2014년 8월,5.0,사전/기타
830,쇼펜하우어의 토론의 법칙,"아르투르 쇼펜하우어 (지은이), 최성욱 (옮긴이) ", 원앤원북스 , 2010년 6월,4.0,사전/기타
831,알기 쉬운 한국건축 용어사전,김왕직 (지은이) , 동녘 , 2013년 6월,4.5,사전/기타
832,피에르 부르디외와 한국사회 : 이론과 현실의 비교정치학 - 살림지식총서 076,홍성민 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
833,올더스 헉슬리 : 오만한 문명과 멋진 신세계 - 살림지식총서 247,김효원 (지은이) , 살림 , 2011년 11월,0.0,사전/기타
834,안토니 가우디 : 아름다움을 건축한 수도자 - 살림지식총서 127,손세관 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
835,고대 근동의 신화와 종교 - 살림지식총서 218,강성열 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
836,페르시아 문화 - 살림지식총서 144,신규섭 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
837,철학·변증학 용어 사전,"C. 스티븐 에반스 (지은이), 김지호 (옮긴이) ", 도서출판100 , 2018년 5월,5.0,사전/기타
838,재즈 - 살림지식총서 054,최규용 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
839,오리엔탈리즘의 역사 - 살림지식총서 015,정진농 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
840,초끈이론 : 아인슈타인의 꿈을 찾아서 - 살림지식총서 126,"박재모, 현승준 (지은이) ", 살림 , 2011년 11월,3.5,사전/기타
841,서울은 어떻게 계획되었는가 - 살림지식총서 156,염복규 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
842,알베르 카뮈 - 살림지식총서 051,유기환 (지은이) , 살림 , 2011년 12월,4.5,사전/기타
843,위대한 어머니 여신 : 사라진 여신들의 역사 - 살림지식총서 011,장영란 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
844,그리스와 로마 : 지중해의 라이벌 - 살림지식총서 116,김덕수 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
845,"대중적 감수성의 탄생 : 도박, 백화점, 유행 - 살림지식총서 153",강심호 (지은이) , 살림 , 2011년 11월,3.5,사전/기타
846,생활 속 법률 상식사전,"이재호, 김계형 (지은이) ", 길벗 , 2019년 9월,4.5,사전/기타
847,"판타지 : 톨킨, 루이스, 롤링의 환상 세계와 기독교 - 살림지식총서 047",송태현 (지은이) , 살림 , 2011년 11월,3.5,사전/기타
848,종교개혁 이야기 - 살림지식총서 221,이성덕 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
849,한옥 - 살림지식총서 207,박명덕 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
850,인도신화의 계보 - 살림지식총서 013,류경희 (지은이) , 살림 , 2011년 11월,4.0,사전/기타
851,박물관의 탄생 - 살림지식총서 087,전진성 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
852,인도 불교사 : 붓다에서 암베드카르까지 - 살림지식총서 309,김미숙 (지은이) , 살림 , 2011년 11월,4.5,사전/기타
853,아브라함의 종교 : 유대교|기독교|이슬람교 - 살림지식총서 099,공일주 (지은이) , 살림 , 2011년 11월,3.0,사전/기타
