aladin_순위,제목,aladin_저자,aladin_출판사,aladin_출간일,aladin_평점,aladin_장르,상명대학교_학술정보관_장르,aladin_가격
  1    ,맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우 (지은이) , 빅피시 ,2022-05-01,5.0,요리/살림,가정/생활,13160
  2    ,요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 ,2023-01-01,5.0,요리/살림,가정/생활,12600
  3    ,사랑하지 않을 수 없는 달걀 요리,"쓰레즈레 하나코 (지은이), 가케히준 (그림), 조수연 (옮긴이) ", 시그마북스 ,2023-02-01,4.5,요리/살림,가정/생활,10500
  4    ,김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 ,2022-01-01,4.5,요리/살림,가정/생활,13800
  5    ,"밥 챙겨 먹어요, 행복하세요",마포농수산쎈타 (지은이) , 세미콜론 ,2023-01-01,5.0,요리/살림,가정/생활,13800
  6    ,아내의 맛,김진국 (지은이) , 라이스메이커 ,2018-10-01,4.0,요리/살림,가정/생활,11430
  7    ,공간의 위로 : 삶을 바꾸는 나만의 집,"소린 밸브스 (지은이), 윤서인 (옮긴이) ", 문예출판사 ,2014-08-01,4.5,요리/살림,가정/생활,5460
  8    ,맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 비에이블 ,2020-07-01,5.0,요리/살림,가정/생활,12250
  9    ,잘 자고 잘 먹는 아기의 시간표,정재호 (지은이) , 한빛라이프 ,2014-09-01,5.0,요리/살림,가정/생활,9900
  10    ,채소 마스터 클래스,"백지혜 (지은이), 정멜멜 (사진) ", 세미콜론 ,2022-03-01,4.5,요리/살림,가정/생활,16100
  11    ,그 여자의 섹스 : 내 남자를 위한 사랑의 기술,"이안 커너 (지은이), 전광철 (옮긴이) ", S플레이북 ,2014-10-01,4.0,요리/살림,가정/생활,5000
  12    ,섹스 잘하는 남자 만들기,"미츠이 쿄코 (지은이), 스미 신사쿠 (그림), 이솔 (옮긴이) ", S플레이북 ,2014-01-01,4.0,요리/살림,가정/생활,8000
  13    ,365일 반찬 걱정 없는 책,송혜영 (지은이) , 길벗 ,2022-12-01,5.0,요리/살림,가정/생활,21600
  14    ,품격 있는 아내들의 남편 다루는 법,김민수 (지은이) , 북스고 ,2022-10-01,5.0,요리/살림,가정/생활,11900
  15    ,자연식물식 다이어트 30일 챌린지,오공삼(오영세) (지은이) , 21세기북스 ,2020-01-01,4.5,요리/살림,가정/생활,11040
  16    ,오! 이렇게 다양한 오트밀 요리,챱챱테이블 박현주 (지은이) , 레시피팩토리 ,2020-11-01,5.0,요리/살림,가정/생활,9660
  17    ,커픽처스 커피 레시피 101,김현석 (지은이) , 비타북스 ,2022-11-01,5.0,요리/살림,가정/생활,15000
  18    ,카페 실무 매뉴얼,신기욱 (지은이) , 클 ,2021-06-01,0.0,요리/살림,가정/생활,21000
  19    ,TRUE LOVE 슬로 섹스를 위한 조언,아담 도쿠나가 (지은이) , 바닐라미디어 ,2017-02-01,0.0,요리/살림,가정/생활,7500
  20    ,아메리칸 쿠키,"까망레시피, 호야 (지은이) ", 경향BP ,2022-11-01,5.0,요리/살림,가정/생활,10400
  21    ,백종원의 혼밥 메뉴,백종원 (지은이) , 서울문화사 ,2019-05-01,3.5,요리/살림,가정/생활,7600
  22    ,브리첼의 감성 케이크,서귀영(브리첼) (지은이) , 북라이프 ,2021-05-01,5.0,요리/살림,가정/생활,15400
  23    ,더 솥밥,이민주 (지은이) , 서사원 ,2022-01-01,5.0,요리/살림,가정/생활,14000
  24    ,발효 음식의 세계,"홀리 데이비스 (지은이), 박지현 (옮긴이), 박천석 (감수) ", 미호 ,2021-04-01,0.0,요리/살림,가정/생활,25000
  25    ,꽃다발 봄 vol.1 꽃포장교실,플로라 편집부 (지은이) , 플로라 ,2018-08-01,0.0,요리/살림,가정/생활,2500
  26    ,어떻게 먹을 것인가,"캐롤린 스틸 (지은이), 홍선영 (옮긴이) ", 메디치미디어 ,2023-02-01,0.0,요리/살림,가정/생활,22400
  27    ,세상 쉽고 맛있는 튼이 이유식,정주희 (지은이) , 서사원 ,2020-08-01,4.5,요리/살림,가정/생활,15400
  28    ,디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 빅피시 ,2021-07-01,5.0,요리/살림,가정/생활,12950
  29    ,시미켄의 베스트 섹스,"시미즈 켄 (지은이), 김봄 (옮긴이) ", ㅁㅅㄴ ,2018-02-01,5.0,요리/살림,가정/생활,12000
  30    ,다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2021-09-01,4.5,요리/살림,가정/생활,9000
  31    ,고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 위즈덤하우스 ,2018-06-01,4.5,요리/살림,가정/생활,10500
  32    ,"섹스, 그리고 카마수트라","바츠야야나 (지은이), 척 윌스 (엮은이), 엄성수 (옮긴이) ", 시그마북스 ,2015-01-01,2.5,요리/살림,가정/생활,15000
  33    ,나는 질병없이 살기로 했다 : 독소를 청소하면 왜 병과 비만은 사라지는가,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2020-02-01,5.0,요리/살림,가정/생활,8000
  34    ,시니맘의 오늘도 완밥 유아식,시니맘(박지혜) (지은이) , 혜지원 ,2022-10-01,5.0,요리/살림,가정/생활,13650
  35    ,라임맘의 실패 없는 아이주도이유식 & 유아식,"옥한나 (지은이), 조애경 (감수) ", 중앙books(중앙북스) ,2021-07-01,5.0,요리/살림,가정/생활,20000
  36    ,김밀란 파스타,김밀란 (지은이) , 다산라이프 ,2021-12-01,5.0,요리/살림,가정/생활,12600
  37    ,핏블리의 다이어트 식단 전략집,"핏블리(문석기), 조은비(핑크힙 응비) (지은이) ", 비타북스 ,2022-07-01,4.5,요리/살림,가정/생활,11900
  38    ,세상에서 가장 맛있게 와인을 즐기는 방법,"휴 존슨 (지은이), 황근하 (옮긴이) ", 휴먼앤북스(Human&Books) ,2010-10-01,4.5,요리/살림,가정/생활,7500
  39    ,진짜 기본 요리책,수퍼레시피 (지은이) , 레시피팩토리 ,2020-12-01,4.5,요리/살림,가정/생활,13160
  40    ,맛있는 게 좋아서 양조절 다이어트,한아름 (지은이) , 길벗 ,2022-06-01,4.5,요리/살림,가정/생활,12950
  41    ,만원으로 일주일 반찬 만들기,송혜영 (지은이) , 길벗 ,2020-06-01,5.0,요리/살림,가정/생활,10080
  42    ,라미의 믿고 먹는 다이어트 레시피,이주아 (지은이) , 북테이블 ,2021-08-01,5.0,요리/살림,가정/생활,12600
  43    ,정리 못하는 사람을 위한 정리책,"와타나베 아야 (지은이), 김수정 (옮긴이) ", 즐거운상상 ,2021-05-01,5.0,요리/살림,가정/생활,9800
  44    ,만화로 배우는 와인의 역사,"브누아 시마 (지은이), 다니엘 카사나브 (그림), 이정은 (옮긴이) ", 한빛비즈 ,2019-12-01,4.5,요리/살림,가정/생활,12950
  45    ,파스타 마스터 클래스,"백지혜 (지은이), 김보령 (사진) ", 세미콜론 ,2020-08-01,5.0,요리/살림,가정/생활,12600
  46    ,2만원으로 일주일 집밥 만들기,송혜영 (지은이) , 길벗 ,2021-11-01,5.0,요리/살림,가정/생활,11760
  47    ,나의 프랑스식 샐러드,이선혜 (지은이) , 브.레드(b.read) ,2020-08-01,5.0,요리/살림,가정/생활,12000
  48    ,슈가레인 카페 디저트 클래스,조한빛 (지은이) , 비타북스 ,2022-03-01,5.0,요리/살림,가정/생활,12600
  49    ,정리 잘하는 사람은 이렇게 합니다,"고메다 마리나 (지은이), 박연정 (옮긴이) ", 한빛라이프 ,2022-01-01,5.0,요리/살림,가정/생활,10800
  50    ,와인 상식사전,이기태 (지은이) , 길벗 ,2017-06-01,4.5,요리/살림,가정/생활,11600
  51    ,피부에 헛돈 쓰지 마라,"옥지윤, 함익병 (지은이) ", 중앙books(중앙북스) ,2015-07-01,4.5,요리/살림,가정/생활,10500
  52    ,1일 1쓰레기 1제로,"캐서린 켈로그 (지은이), 박여진 (옮긴이) ", 현대지성 ,2022-10-01,5.0,요리/살림,가정/생활,11000
  53    ,1인 가구 맞춤 요리책 : 작은 주방에서 적은 재료로 만드는 1인 가구 맞춤 메뉴 150개,월간 수퍼레시피 (지은이) , 레시피팩토리 ,2018-03-01,5.0,요리/살림,가정/생활,11060
  54    ,안 먹는 아이도 바쁜 엄마도 반한 엘리네 미국 유아식,스마일 엘리 (지은이) , 세종(세종서적) ,2022-01-01,5.0,요리/살림,가정/생활,13300
  55    ,집값 높여도 잘 팔리는 부동산 인테리어 : 삼성물산 출신의 인테리어 전문가가 알려 주는 부동산 인테리어의 모든 것,남경엽 (지은이) , 아라크네 ,2018-12-01,5.0,요리/살림,가정/생활,12600
  56    ,내 몸에 착한 매일 저염식,이정민 (지은이) , 니들북 ,2015-01-01,4.5,요리/살림,가정/생활,6500
  57    ,맛있고 배부른 다노 다이어트 레시피,"이지수, 이애리 (지은이) ", 세미콜론 ,2021-08-01,5.0,요리/살림,가정/생활,13300
  58    ,딱 1년만 옷 안 사고 살아보기,임다혜 (지은이) , 잇콘 ,2020-09-01,4.0,요리/살림,가정/생활,9450
  59    ,집밥이 더 맛있어지는 명랑쌤 비법 국물요리,명랑쌤(이혜원) (지은이) , 레시피팩토리 ,2021-02-01,5.0,요리/살림,가정/생활,9660
  60    ,커피인문학,"박영순 (지은이), 유사랑 (그림) ", 인물과사상사 ,2018-01-01,4.0,요리/살림,가정/생활,13300
  61    ,도해 사케,"키미지마 사토시 (지은이), 기미정 (옮긴이), 노자키 히로미츠 (감수) ", AK(에이케이)커뮤니케이션즈 ,2015-06-01,0.0,요리/살림,가정/생활,9100
  62    ,셀러리 주스,"앤서니 윌리엄 (지은이), 황은정 (옮긴이) ", 샨티 ,2022-05-01,4.0,요리/살림,가정/생활,18000
  63    ,와인이 있는 100가지 장면,"엄정선, 배두환 (지은이), 박이수(박수정) (그림) ", 보틀프레스 ,2021-09-01,5.0,요리/살림,가정/생활,15120
  64    ,맛있게 쓴 옥주부 레시피 100,정종철 (지은이) , 중앙books(중앙북스) ,2021-06-01,5.0,요리/살림,가정/생활,14400
  65    ,베이킹 하다 앳 홈,박정아 (지은이) , 중앙books(중앙북스) ,2022-02-01,5.0,요리/살림,가정/생활,14400
  66    ,차 상식사전,"리사 리처드슨 (지은이), 공민희 (옮긴이), 이유진 (감수) ", 길벗 ,2016-11-01,5.0,요리/살림,가정/생활,12000
  67    ,이정현의 집밥레스토랑,이정현 (지은이) , 서사원 ,2020-04-01,4.0,요리/살림,가정/생활,15400
  68    ,마음이 단단해지는 살림,강효진(보통엄마jin) (지은이) , 비타북스 ,2022-02-01,5.0,요리/살림,가정/생활,10500
  69    ,에어프라이어로 시작하는 건강 다이어트 요리,김희영 (지은이) , 레시피팩토리 ,2020-11-01,5.0,요리/살림,가정/생활,9660
  70    ,사랑을 부르는 커플마사지 : Love in touch,전유진. 전동석 공저 (지은이) , 21세기북스 ,2012-12-01,0.0,요리/살림,가정/생활,3300
  71    ,결혼은 환상이고 부부는 현실이다,공진수 (지은이) , 마음책방 ,2022-02-01,5.0,요리/살림,가정/생활,10360
  72    ,세계 최고의 바리스타가 커피 초보자를 위해 만든 BOOK,"이자키 히데노리 (지은이), 전지혜 (옮긴이) ", 아티오 ,2022-03-01,4.5,요리/살림,가정/생활,11900
  73    ,나를 만져요 : 내 남자를 사로잡는 은밀한 섹스의 기술,사막여우 ,,2013-10-01,4.0,요리/살림,가정/생활,5800
  74    ,나만의 시크릿 홈카페,예나 (지은이) , 레시피팩토리 ,2021-05-01,5.0,요리/살림,가정/생활,11060
  75    ,부부 같이 사는 게 기적입니다,김용태 (지은이) , 덴스토리(Denstory) ,2018-02-01,4.0,요리/살림,가정/생활,9660
  76    ,"엄마니까 뚝딱, 내 아이의 아침밥 PART 01 Spring",다소마미 (지은이) , 위즈덤스타일 ,2014-11-01,4.5,요리/살림,가정/생활,2940
  77    ,최고의 당뇨 밥상,마켓온오프 (지은이) , 리스컴 ,2021-03-01,4.5,요리/살림,가정/생활,10200
  78    ,사유 식탁,"알랭 드 보통, 인생학교 (지은이), 이용재 (옮긴이) ", 오렌지디 ,2022-12-01,5.0,요리/살림,가정/생활,26950
  79    ,샐러드에 반하다,장연정 (지은이) , 리스컴 ,2015-06-01,5.0,요리/살림,가정/생활,8400
  80    ,혜니쿡의 파스타 다이어리,전혜원(혜니쿡) (지은이) , 책밥 ,2022-04-01,5.0,요리/살림,가정/생활,13000
  81    ,불같은 여자 얼음같은 남자 : 연애 사랑 그리고 행복한 부부생활을 위한 최고의 지침서,"존 그레이 (지은이), 송인선 (옮긴이) ", 서영 ,2014-09-01,4.5,요리/살림,가정/생활,9600
  82    ,반찬 없이도 테이블이 완벽해지는 솥밥,킴스쿠킹 (지은이) , 길벗 ,2019-11-01,5.0,요리/살림,가정/생활,11900
  83    ,위스키 테이스팅 코스,"에디 러들로 (지은이), 임지연 (옮긴이) ", 시그마북스 ,2022-09-01,5.0,요리/살림,가정/생활,18200
  84    ,"샐러드가 필요한 모든 순간, 나만의 드레싱이 빛나는 순간",지은경 (지은이) , 레시피팩토리 ,2022-11-01,4.5,요리/살림,가정/생활,11760
  85    ,키토 한식,박지아 (지은이) , 경향BP ,2022-03-01,5.0,요리/살림,가정/생활,11800
  86    ,당질,"마키타 젠지 (지은이), 김선숙 (옮긴이), 차원 (감수) ", 성안당 ,2021-06-01,0.0,요리/살림,가정/생활,7800
  87    ,결,"고현정 (지은이), 조애경 (감수) ", 중앙M&B ,2011-05-01,4.5,요리/살림,가정/생활,9000
  88    ,[고화질] R선생님의 간식,"후쿠다 리카 (글), 쿠모타 하루코 (그림) ", artePOP(아르테팝) ,2019-11-01,4.5,요리/살림,가정/생활,9600
  89    ,한 권으로 끝내는 와인특강,전상헌 (지은이) , 예문 ,2021-08-01,5.0,요리/살림,가정/생활,27000
  90    ,비만의 종말,"가쓰 데이비스 (지은이), 강신원, 김진영 (옮긴이) ", 사이몬북스 ,2021-04-01,5.0,요리/살림,가정/생활,8000
  91    ,"엄마니까 뚝딱, 내 아이의 아침밥 PART 04 Winter",다소마미 (지은이) , 위즈덤스타일 ,2014-11-01,4.5,요리/살림,가정/생활,2940
  92    ,남성패션 스타일 1,장창훈 (지은이) , 미디어북 ,2021-01-01,0.0,요리/살림,가정/생활,1000
  93    ,인생을 바꾸고 싶다면 서랍부터 정리하세요,이은영(더 프레젠트) (지은이) , 21세기북스 ,2022-12-01,4.5,요리/살림,가정/생활,14240
  94    ,나는 당신이 작은 얼굴을 가졌으면 좋겠습니다 : 윤곽수술 없이 작고 아름다운 얼굴 만들기,이하영 (지은이) , 미다스북스 ,2019-06-01,5.0,요리/살림,가정/생활,10000
  95    ,관계 디자인,박소영 (지은이) , 부커 ,2021-08-01,5.0,요리/살림,가정/생활,10500
  96    ,정원사를 위한 라틴어 수업,"리처드 버드 (지은이), 이선 (옮긴이) ", 궁리 ,2019-04-01,5.0,요리/살림,가정/생활,12000
  97    ,콩콩도시락,김희영 (지은이) , 레시피팩토리 ,2020-11-01,4.5,요리/살림,가정/생활,11060
  98    ,벤꾸리 가계부 다이어리,벤꾸리 (지은이) , 시원북스 ,2022-11-01,4.5,요리/살림,가정/생활,11900
  99    ,셀프도배 나만의 공간예술 우리집 직접 도배하기,김성원 (지은이) , 히얼앤나우 ,2015-11-01,0.0,요리/살림,가정/생활,2000
  100    ,최성애 박사의 행복 수업,최성애 (지은이) , 해냄출판사 ,2017-11-01,4.5,요리/살림,가정/생활,9900
  1    ,당신도 느리게 나이 들 수 있습니다,정희원 (지은이) , 더퀘스트 ,2023-01-01,5.0,건강/취미,가정/생활,14240
  2    ,음식 중독,"마이클 모스 (지은이), 연아람 (옮긴이) ", 민음사 ,2023-01-01,4.5,건강/취미,가정/생활,12600
  3    ,백년 목,정선근 (지은이) , 사이언스북스 ,2018-07-01,4.0,건강/취미,가정/생활,12000
  4    ,비만코드,"제이슨 펑 (지은이), 제효영 (옮긴이) ", 시그마북스 ,2018-11-01,4.5,건강/취미,가정/생활,11200
  5    ,고통의 비밀,"몬티 라이먼 (지은이), 박선영 (옮긴이) ", 상상스퀘어 ,2022-11-01,5.0,건강/취미,가정/생활,13230
  6    ,나는 당신이 오래오래 걸었으면 좋겠습니다,"다나카 나오키 (지은이), 송소정 (옮긴이) ", 포레스트북스 ,2018-05-01,4.5,건강/취미,가정/생활,9500
  7    ,식사가 잘못됐습니다,"마키타 젠지 (지은이), 전선영 (옮긴이), 강재헌 (감수) ", 더난출판사 ,2018-10-01,4.0,건강/취미,가정/생활,10150
  8    ,건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 ,2022-07-01,5.0,건강/취미,가정/생활,15000
  9    ,열방약국 유방암 상담소,김훈하 (지은이) , 리더북스 ,2022-01-01,5.0,건강/취미,가정/생활,10000
  10    ,헬스는 쪼렙입니다만,수피 (지은이) , 한문화 ,2023-01-01,0.0,건강/취미,가정/생활,10500
  11    ,환자혁명,조한경 (지은이) , 에디터 ,2017-11-01,4.5,건강/취미,가정/생활,10500
  12    ,염증 해방,정세연 (지은이) , 다산라이프 ,2022-11-01,5.0,건강/취미,가정/생활,12600
  13    ,지방 대사 켜는 스위치온 다이어트,박용우 (지은이) , 루미너스 ,2019-01-01,4.5,건강/취미,가정/생활,9800
  14    ,STOP! SMOKING : 스탑 스모킹,"알렌 카 (지은이), 심교준 (옮긴이) ", 한언출판사 ,2015-06-01,4.5,건강/취미,가정/생활,8900
  15    ,된다! 깨비의 DSLR&미러리스 사진 수업,박기덕 (지은이) , 이지스퍼블리싱 (주) ,2022-01-01,5.0,건강/취미,가정/생활,12000
  16    ,자율신경계,"고바야시 히로유키 (지은이), 박주홍 (감수) ", 성안당 ,2022-12-01,4.5,건강/취미,가정/생활,7800
  17    ,요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 ,2023-01-01,5.0,건강/취미,가정/생활,12600
  18    ,피톨로지 피트니스 영양학,"이호욱, 정자람 (지은이) ", 예문당 ,2021-09-01,3.5,건강/취미,가정/생활,11000
  19    ,김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 ,2022-01-01,4.5,건강/취미,가정/생활,13800
  20    ,핏블리의 헬스 다이어트 전략집,핏블리(문석기) (지은이) , 비타북스 ,2021-06-01,5.0,건강/취미,가정/생활,10500
  21    ,다이어트 말고 직관적 식사,"에블린 트리볼리, 엘리스 레시 (지은이), 정지현 (옮긴이) ", 골든어페어 ,2019-05-01,5.0,건강/취미,가정/생활,15000
  22    ,헬스의 정석 : 이론편,수피 (지은이) , 한문화 ,2019-10-01,5.0,건강/취미,가정/생활,17500
  23    ,치매의 거의 모든 기록,"웬디 미첼 (지은이), 조진경 (옮긴이) ", 문예춘추사 ,2022-10-01,5.0,건강/취미,가정/생활,10080
  24    ,처음 만나는 알렉산더 테크닉,김수연 (지은이) , 판미동 ,2022-05-01,5.0,건강/취미,가정/생활,13230
  25    ,당뇨코드 : 제2형 당뇨병의 예방과 자연 치유 안내서,"제이슨 펑 (지은이), 이문영 (옮긴이), 이영훈 (감수) ", 라이팅하우스 ,2020-02-01,4.5,건강/취미,가정/생활,13500
  26    ,아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) ,2022-04-01,5.0,건강/취미,가정/생활,14000
  27    ,신체와 질병의 구조,"윤관현, 김희성 (옮긴이), 다나카 후미히코 (감수) ", 성안당 ,2022-05-01,0.0,건강/취미,가정/생활,13200
  28    ,브레인 리부트,"크리스틴 윌르마이어 (지은이), 김나연 (옮긴이) ", 부키 ,2023-02-01,5.0,건강/취미,가정/생활,13000
  29    ,노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 ,2020-08-01,4.0,건강/취미,가정/생활,15500
  30    ,맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 비에이블 ,2020-07-01,5.0,건강/취미,가정/생활,12250
  31    ,헬스의 정석 : 근력운동편,수피 (지은이) , 한문화 ,2016-07-01,5.0,건강/취미,가정/생활,17000
  32    ,축구를 하며 생각한 것들,손흥민 (지은이) , 브레인스토어 ,2022-11-01,4.5,건강/취미,가정/생활,12600
  33    ,소식주의자,미즈노 남보쿠 (지은이) , 사이몬북스 ,2022-05-01,4.5,건강/취미,가정/생활,9000
  34    ,그 여자의 섹스 : 내 남자를 위한 사랑의 기술,"이안 커너 (지은이), 전광철 (옮긴이) ", S플레이북 ,2014-10-01,4.0,건강/취미,가정/생활,5000
  35    ,섹스의 기술 (합본),이영기 (지은이) , 볼륨 ,2012-08-01,0.0,건강/취미,가정/생활,25000
  36    ,식사가 잘못됐습니다 2 실천편,"마키타 젠지 (지은이), 강재헌 (감수) ", 더난출판 ,2020-12-01,4.5,건강/취미,가정/생활,10500
  37    ,SNPE 바른자세 척추운동  : 100세  시대 현대인들의 필수 운동,"윤지유, 최중기 (지은이) ", 바른몸만들기 ,2020-02-01,5.0,건강/취미,가정/생활,18000
  38    ,독소를 비우는 몸,"지미 무어, 제이슨 펑 (지은이), 이문영 (옮긴이), 양준상 (감수) ", 라이팅하우스 ,2018-08-01,4.5,건강/취미,가정/생활,15000
  39    ,섹스 잘하는 남자 만들기,"미츠이 쿄코 (지은이), 스미 신사쿠 (그림), 이솔 (옮긴이) ", S플레이북 ,2014-01-01,4.0,건강/취미,가정/생활,8000
  40    ,나는 스마트폰으로 매일 인생사진 찍는다,방쿤 (지은이) , T.W.I.G(티더블유아이지)(주) ,2021-06-01,5.0,건강/취미,가정/생활,9900
  41    ,내 강아지 마음 상담소,강형욱 (지은이) , 혜다 ,2020-02-01,5.0,건강/취미,가정/생활,13320
  42    ,당신이 플라시보다,"조 디스펜자 (지은이), 추미란 (옮긴이) ", 샨티 ,2022-05-01,4.5,건강/취미,가정/생활,20000
  43    ,차민수 TEXAS HOLD'EM,차민수 (지은이) , 티나 ,2021-10-01,4.0,건강/취미,가정/생활,17100
  44    ,먹고 단식하고 먹어라,"브래드 필론 (지은이), 박종윤 (옮긴이), 고수민 (감수) ", 36.5 ,2013-06-01,4.5,건강/취미,가정/생활,11200
  45    ,오래도록 젊음을 유지하고 건강하게 죽는 법,"스티븐 R. 건드리 (지은이), 박선영 (옮긴이), 이용승 (감수) ", 브론스테인 ,2019-12-01,4.5,건강/취미,가정/생활,12420
  46    ,당신의 몸짓은 개에게 무엇을 말하는가,"패트리샤 맥코넬 (지은이), 신남식, 김소희 (옮긴이) ", 페티앙북스 ,2012-01-01,4.5,건강/취미,가정/생활,10800
  47    ,달리기의 모든 것,남혁우 (지은이) , 매일경제신문사 ,2022-03-01,5.0,건강/취미,가정/생활,11000
  48    ,가장 쉬운 8체질 자가진단,이상원 (지은이) , 문예춘추사 ,2021-05-01,5.0,건강/취미,가정/생활,10800
  49    ,조금씩 천천히 자연식물식,이의철 (지은이) , 니들북 ,2021-03-01,4.5,건강/취미,가정/생활,13090
  50    ,건강과 치유의 비밀,"안드레아스 모리츠 (지은이), 정진근 (옮긴이) ", 에디터 ,2020-11-01,5.0,건강/취미,가정/생활,22800
  51    ,힐링 코드,"알렉산더 로이드, 벤 존슨 (지은이), 이문영 (옮긴이) ", 시공사 ,2022-08-01,4.5,건강/취미,가정/생활,11800
  52    ,호르몬과 건강의 비밀,요하네스 뷔머 (지은이) , 현대지성 ,2020-12-01,5.0,건강/취미,가정/생활,9000
  53    ,의사의 반란,신우섭 (지은이) , 에디터 ,2014-11-01,4.5,건강/취미,가정/생활,8400
  54    ,자연식물식 다이어트 30일 챌린지,오공삼(오영세) (지은이) , 21세기북스 ,2020-01-01,4.5,건강/취미,가정/생활,11040
  55    ,체스 챔피언,김도윤 (지은이) , 성안당 ,2022-08-01,5.0,건강/취미,가정/생활,17600
  56    ,미라클 브레인 푸드,"우마 나이두 (지은이), 김지혜 (옮긴이) ", 북라이프 ,2021-05-01,5.0,건강/취미,가정/생활,13860
  57    ,30일 5분 달리기,김성우 (지은이) , HB PRESS ,2021-09-01,5.0,건강/취미,가정/생활,11200
  58    ,조울병에 대한 거의 모든 것,바이폴라포럼 (지은이) , 시그마북스 ,2021-08-01,0.0,건강/취미,가정/생활,11200
  59    ,80세의 벽,"와다 히데키 (지은이), 김동연 (옮긴이) ", 한즈미디어 ,2022-12-01,5.0,건강/취미,가정/생활,11100
  60    ,대장암 수술 후 식사 가이드,삼성서울병원 대장암센터 (지은이) , 싸이프레스 ,2019-09-01,0.0,건강/취미,가정/생활,13500
  61    ,아파도 괜찮아,진정주 (지은이) , 행복에너지 ,2019-02-01,5.0,건강/취미,가정/생활,9750
  62    ,배철현의 요가수트라 강독 1 : 삼매,배철현 (지은이) , 김영사 ,2023-01-01,5.0,건강/취미,가정/생활,15300
  63    ,축구직업설명서,"김환, 정다워 (지은이) ", 풋볼리스트 ,2016-12-01,4.5,건강/취미,가정/생활,9900
  64    ,하루 한 끼의 기적,이태근 (지은이) , 정신세계사 ,2016-12-01,4.0,건강/취미,가정/생활,8400
  65    ,근육이 연금보다 강하다 : 건강나이를 10년 앞당기는 최강의 근력 운동,김헌경 (지은이) , 비타북스 ,2019-08-01,4.5,건강/취미,가정/생활,10300
  66    ,최현우의 마법 타로,최현우 (지은이) , 넥서스BOOKS ,2020-12-01,4.5,건강/취미,가정/생활,11600
  67    ,면역력,"이시하라 니나 (지은이), 김혜숙 (옮긴이), 박주홍 (감수) ", 성안당 ,2022-12-01,5.0,건강/취미,가정/생활,7800
  68    ,젊음은 나이가 아니라 호르몬이 만든다,안철우 (지은이) , 비타북스 ,2018-01-01,5.0,건강/취미,가정/생활,9600
  69    ,운동 말고 움직임 리셋,홍정기 (지은이) , EBS BOOKS ,2022-01-01,5.0,건강/취미,가정/생활,11200
  70    ,"질병을 치료하는 약초 사용 백과 - 비염, 축농증에 좋은 약초",조경남 (지은이) , 푸른행복출판사 ,2021-08-01,0.0,건강/취미,가정/생활,990
  71    ,굿바이 과민대장증후군,이진원 (지은이) , 바른북스 ,2022-08-01,4.5,건강/취미,가정/생활,10500
  72    ,슬기로운 수면생활,서진원 (지은이) , 도서출판 북산 ,2022-07-01,5.0,건강/취미,가정/생활,7700
  73    ,꽃다발 봄 vol.1 꽃포장교실,플로라 편집부 (지은이) , 플로라 ,2018-08-01,0.0,건강/취미,가정/생활,2500
  74    ,컨디션도 습관이다,"오오츠카 구니아키 (지은이), 황세정 (옮긴이) ", 예문아카이브 ,2023-02-01,5.0,건강/취미,가정/생활,10500
  75    ,열방약국 말기암 통합요법 상담소,김훈하 (지은이) , 리더북스 ,2023-02-01,5.0,건강/취미,가정/생활,10000
  76    ,밤의 숨소리,치아(治我) (지은이) , FIKA(피카) ,2021-03-01,5.0,건강/취미,가정/생활,11550
  77    ,다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2021-09-01,4.5,건강/취미,가정/생활,9000
  78    ,나는 내가 죽었다고 생각했습니다,장호연 (옮긴이) , 윌북 ,2018-11-01,4.5,건강/취미,가정/생활,9660
  79    ,최강의 식사,데이브 아스프리 (지은이) , 앵글북스 ,2017-06-01,4.0,건강/취미,가정/생활,12800
  80    ,당신은 뇌를 고칠 수 있다,"톰 오브라이언 (지은이), 이시은 (옮긴이) ", 브론스테인 ,2019-09-01,4.5,건강/취미,가정/생활,11700
