제목,저자,출판사,출간일,별점,장르
맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우 (지은이) , 빅피시 , 2022년 5월,5.0,가정/생활
요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 , 2023년 1월,5.0,가정/생활
김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 , 2022년 1월,4.5,가정/생활
맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 비에이블 , 2020년 7월,5.0,가정/생활
세상 쉽고 맛있는 튼이 이유식,정주희 (지은이) , 서사원 , 2020년 8월,4.5,가정/생활
"밥 챙겨 먹어요, 행복하세요",마포농수산쎈타 (지은이) , 세미콜론 , 2023년 1월,5.0,가정/생활
365일 반찬 걱정 없는 책,송혜영 (지은이) , 길벗 , 2022년 12월,5.0,가정/생활
만화로 배우는 와인의 역사,"브누아 시마 (지은이), 다니엘 카사나브 (그림), 이정은 (옮긴이) ", 한빛비즈 , 2019년 12월,4.5,가정/생활
아내의 맛,김진국 (지은이) , 라이스메이커 , 2018년 10월,4.0,가정/생활
사랑하지 않을 수 없는 달걀 요리,"쓰레즈레 하나코 (지은이), 가케히준 (그림), 조수연 (옮긴이) ", 시그마북스 , 2023년 2월,4.5,가정/생활
디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 빅피시 , 2021년 7월,5.0,가정/생활
시미켄의 베스트 섹스,"시미즈 켄 (지은이), 김봄 (옮긴이) ", ㅁㅅㄴ , 2018년 2월,5.0,가정/생활
공간의 위로 : 삶을 바꾸는 나만의 집,"소린 밸브스 (지은이), 윤서인 (옮긴이) ", 문예출판사 , 2014년 8월,4.5,가정/생활
잘 자고 잘 먹는 아기의 시간표,정재호 (지은이) , 한빛라이프 , 2014년 9월,5.0,가정/생활
다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 , 2021년 9월,4.5,가정/생활
