순위,제목,저자,출판사,출간일,별점
47,장내세균의 역습,"에다 아카시 (지은이), 박현숙 (옮긴이), 김나영 (감수) ", 비타북스 , 2020년 12월,5.0
48,완경 선언,"제니퍼 건터 (지은이), 김희정, 안진희 (옮긴이) ", 생각의힘 , 2022년 11월,5.0
49,코바늘 수세미 원데이 클래스,이서진 (지은이) , 길벗 , 2022년 1월,5.0
50,요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 , 2023년 1월,5.0
51,로또 당첨번호 내 꿈속에 있다 (완전판),새하얀 (지은이) , 다차원북스 , 2017년 8월,4.5
52,30일 5분 달리기,김성우 (지은이) , HB PRESS , 2021년 9월,5.0
53,배철현의 요가수트라 강독 1 : 삼매,배철현 (지은이) , 김영사 , 2023년 1월,5.0
54,스탠퍼드식 최고의 피로회복법,"야마다 도모오 (지은이), 조해선 (옮긴이) ", 비타북스 , 2019년 2월,4.5
55,멘탈 다이어트,은빛 (지은이) , 큰솔북스 , 2023년 1월,5.0
56,포커 게임의 기술,미래창작연구소 (엮은이) , 21세기북스 , 2015년 3월,0.0
57,된다! 아이패드 하루 24시간,홍정희 (지은이) , 이지스퍼블리싱 (주) , 2023년 1월,5.0
58,올어바웃바디,이낙림 (지은이) , 치읓 , 2019년 1월,4.5
59,새로운 코바늘뜨기의 기본,"부티크사 편집부 (지은이), 남가영 (옮긴이) ", 시그마북스 , 2023년 1월,5.0
60,공황장애 극복 설명서,최영희 (지은이) , 학지사 , 2020년 11월,4.5
61,"채식은 어렵지만, 채소 습관",홍성란 (지은이) , 휴머니스트 , 2019년 7월,4.5
62,비타민 C 항암의 비밀,하병근 (지은이) , 페가수스 , 2019년 6월,5.0
63,천재의 식단,"맥스 루가비어, 폴 그레왈 (지은이), 신동숙 (옮긴이) ", 앵글북스 , 2021년 6월,0.0
64,나는 신들의 요양보호사입니다,이은주 (지은이) , 상상+모색 , 2020년 7월,5.0
65,비타민 C 면역의 비밀,하병근 (지은이) , 페가수스 , 2019년 6월,5.0
66,자동차 인터페이스 디자인,박수레 (지은이) , 책만 , 2022년 7월,5.0
67,신비한 물 치료 건강법,"F. 뱃맨겔리지 (지은이), 이수령 (옮긴이) ", 중앙생활사 , 2021년 11월,0.0
68,김남호의 F1 스토리,김남호 (지은이) , 42미디어콘텐츠 , 2023년 2월,0.0
69,50부터 시작하는 하루 1분 기적의 스트레칭,"사와키 가즈타카 (지은이), 최말숙 (옮긴이) ", 카시오페아 , 2023년 1월,5.0
70,간,"권수경 (옮긴이), 김헌수, 쿠리하라 타케시 (감수) ", 성안당 , 2023년 1월,5.0
71,일단 몸에 힘부터 뺍시다,"야토 야스히로 (지은이), 문혜원 (옮긴이) ", 로그인 , 2023년 2월,4.5
72,"전 세계 최초로, 향기를 마신다",김용식 (지은이) , 모아북스 , 2023년 1월,0.0
73,핏블리의 헬스 다이어트 전략집,핏블리(문석기) (지은이) , 비타북스 , 2021년 6월,5.0
74,헬스의 정석 : 근력운동편,수피 (지은이) , 한문화 , 2016년 7월,5.0
75,지방 대사 켜는 스위치온 다이어트,박용우 (지은이) , 루미너스 , 2019년 1월,4.5
76,상대를 사로잡는 섹스 스킬,"제니퍼 바리치, 댄 바리치 (지은이), 이호기 (옮긴이) ", 시그마북스 , 2016년 1월,4.0
77,1일 1식,"나구모 요시노리 (지은이), 양영철 (옮긴이) ", 위즈덤하우스 , 2013년 4월,4.0
78,나는 질병없이 살기로 했다 : 독소를 청소하면 왜 병과 비만은 사라지는가,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 , 2020년 2월,5.0
79,맥두걸 박사의 자연식물식,"존 A. 맥두걸 (지은이), 강신원 (옮긴이) ", 사이몬북스 , 2018년 10월,4.5
80,고엔카의 위빳사나 명상,"S.N. 고엔카 (지은이), 윌리엄 하트 (엮은이), 담마코리아 (옮긴이) ", 김영사 , 2017년 8월,4.5
81,럭키 타로북 : 그랜드 마스터 레이철 폴락의 타로카드 완벽 가이드,"만물상 (그림), 구민희 (옮긴이) ", 재미주의 , 2018년 1월,4.0
82,호흡의 기술,"제임스 네스터 (지은이), 승영조 (옮긴이) ", 북트리거 , 2021년 5월,4.5
83,섹스의 기술 (합본),이영기 (지은이) , 볼륨 , 2012년 8월,0.0
84,"아무튼, 요가 : 흐름에 몸을 맡기며 오로지 나에게 집중하는 것",박상아 (지은이) , 위고 , 2019년 5월,4.0
85,어느 채식의사의 고백,"존 A. 맥두걸 (지은이), 강신원 (옮긴이) ", 사이몬북스 , 2022년 1월,5.0
86,조현병의 모든 것,"E. 풀러 토리 (지은이), 정지인 (옮긴이), 권준수 (감수) ", 심심 , 2021년 5월,5.0
87,늙지 않는 비밀,"엘리자베스 블랙번, 엘리사 에펠 (지은이), 이한음 (옮긴이) ", 알에이치코리아(RHK) , 2018년 3월,4.5
