aladin_순위,제목,aladin_저자,aladin_출판사,aladin_출간일,aladin_가격,aladin_평점,aladin_장르,상명대학교_학술정보관_장르,현재 날짜
  1    ,맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우 (지은이) , 빅피시 ,2022-05-01,13160,5.0,요리/살림,가정/생활,2023-02-23
  2    ,김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 ,2022-01-01,13800,4.5,요리/살림,가정/생활,2023-02-23
  3    ,"밥 챙겨 먹어요, 행복하세요",마포농수산쎈타 (지은이) , 세미콜론 ,2023-01-01,13800,5.0,요리/살림,가정/생활,2023-02-23
  4    ,핏블리의 다이어트 식단 전략집,"핏블리(문석기), 조은비(핑크힙 응비) (지은이) ", 비타북스 ,2022-07-01,11900,4.5,요리/살림,가정/생활,2023-02-23
  5    ,요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 ,2023-01-01,12600,5.0,요리/살림,가정/생활,2023-02-23
  6    ,아내의 맛,김진국 (지은이) , 라이스메이커 ,2018-10-01,11430,4.0,요리/살림,가정/생활,2023-02-23
  7    ,시미켄의 베스트 섹스,"시미즈 켄 (지은이), 김봄 (옮긴이) ", ㅁㅅㄴ ,2018-02-01,12000,5.0,요리/살림,가정/생활,2023-02-23
  8    ,잘 자고 잘 먹는 아기의 시간표,정재호 (지은이) , 한빛라이프 ,2014-09-01,9900,5.0,요리/살림,가정/생활,2023-02-23
  9    ,다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2021-09-01,9000,4.5,요리/살림,가정/생활,2023-02-23
  10    ,채소 마스터 클래스,"백지혜 (지은이), 정멜멜 (사진) ", 세미콜론 ,2022-03-01,16100,4.5,요리/살림,가정/생활,2023-02-23
  11    ,시니맘의 오늘도 완밥 유아식,시니맘(박지혜) (지은이) , 혜지원 ,2022-10-01,13650,5.0,요리/살림,가정/생활,2023-02-23
  12    ,그 여자의 섹스 : 내 남자를 위한 사랑의 기술,"이안 커너 (지은이), 전광철 (옮긴이) ", S플레이북 ,2014-10-01,5000,4.0,요리/살림,가정/생활,2023-02-23
