순위,제목,저자,출판사,출간일,별점
65,악의 마음을 읽는 자들 : 국내 최초 프로파일러의 연쇄살인 추적기,"고나무, 권일용 (지은이) ", 알마 , 2018년 11월,4.0
66,계속 가보겠습니다,임은정 (지은이) , 메디치미디어 , 2022년 8월,5.0
67,월든 (한글판),"헨리 데이비드 소로 (지은이), 전행선 (옮긴이) ", 더클래식 , 2013년 6월,4.0
68,지구를 위한다는 착각 : 종말론적 환경주의는 어떻게 지구를 망치는가,"마이클 셸런버거 (지은이), 노정태 (옮긴이) ", 부키 , 2021년 5월,3.5
69,어떻게 공부할 것인가,"마크 맥대니얼, 피터 브라운, 헨리 뢰디거 (지은이), 김아영 (옮긴이) ", 와이즈베리 , 2014년 12월,4.5
70,인간의 흑역사 : 인간의 욕심은 끝이 없고 똑같은 실수를 반복한다,"톰 필립스 (지은이), 홍한결 (옮긴이) ", 윌북 , 2019년 10월,4.5
71,코끼리는 생각하지 마 : 손석희 추천도서 (전면개정판),"조지 레이코프 (지은이), 유나영 (옮긴이), 나익주 (감수) ", 와이즈베리 , 2015년 4월,4.5
72,조국의 시간,조국 (지은이) , 한길사 , 2021년 7월,4.5
73,요즘 애들,"앤 헬렌 피터슨 (지은이), 박다솜 (옮긴이) ", 알에이치코리아(RHK) , 2021년 11월,4.5
74,신비롭지 않은 여자들,임소연 (지은이) , 민음사 , 2022년 6월,4.5
75,타인의 해석 : 당신이 모르는 사람을 만났을 때,"말콤 글래드웰 (지은이), 유강은 (옮긴이), 김경일 (감수) ", 김영사 , 2020년 3월,4.0
76,군주론,"니콜로 마키아벨리 (지은이), 강정인, 김경희 (옮긴이) ", 까치 , 2019년 11월,4.5
77,"차이나 쇼크, 한국의 선택",한청훤 (지은이) , 사이드웨이 , 2022년 8월,4.5
78,평균의 종말 : 평균이라는 허상은 어떻게 교육을 속여왔나,"토드 로즈 (지은이), 정미나 (옮긴이), 이우일 (감수) ", 21세기북스 , 2018년 4월,4.5
79,동물들의 위대한 법정,"장 뤽 포르케 (지은이), 야체크 워즈니악 (그림), 장한라 (옮긴이) ", 서해문집 , 2022년 10월,5.0
80,공산당 선언 (개정판),"카를 마르크스, 프리드리히 엥겔스 (지은이), 이진우 (옮긴이) ", 책세상 , 2018년 8월,4.0
81,유튜브는 책을 집어삼킬 것인가,"엄기호, 김성우 (지은이) ", 따비 , 2020년 5월,4.5
82,회복력 시대,"제러미 리프킨 (지은이), 안진환 (옮긴이) ", 민음사 , 2022년 11월,4.5
83,마이너리티 디자인,"사와다 도모히로 (지은이), 김영현 (옮긴이) ", 다다서재 , 2022년 6월,5.0
84,깻잎 투쟁기,우춘희 (지은이) , 교양인 , 2022년 6월,5.0
85,타오르는 질문들,"마거릿 애트우드 (지은이), 이재경 (옮긴이) ", 위즈덤하우스 , 2022년 10월,5.0
86,뉴 맵,"대니얼 예긴 (지은이), 우진하 (옮긴이) ", 리더스북 , 2021년 5월,4.5
87,"여성, 경찰하는 마음","여성 경찰 23인 (지은이), 주명희 (엮은이), 경찰 젠더연구회 (기획) ", 생각정원 , 2022년 10월,5.0
88,여성과 광기,"필리스 체슬러 (지은이), 임옥희 (옮긴이) ", 위고 , 2021년 10월,5.0
89,석유는 어떻게 세계를 지배하는가,최지웅 (지은이) , 부키 , 2019년 8월,4.5
90,사라질 수 없는 사람들,"제니퍼 M. 실바 (지은이), 성원 (옮긴이) ", 문예출판사 , 2022년 12월,5.0
91,0원으로 사는 삶,박정미 (지은이) , 들녘 , 2022년 11월,5.0
92,지속가능한 나이듦,정희원 (지은이) , 두리반 , 2022년 9월,5.0
93,길 위의 철학자,"에릭 호퍼 (지은이), 방대수 (옮긴이) ", 이다미디어 , 2014년 2월,4.0
94,공리주의 (개정판),"존 스튜어트 밀 (지은이), 서병훈 (옮긴이) ", 책세상 , 2020년 2월,3.0
95,앞으로 올 사랑,정혜윤 (지은이) , 위고 , 2020년 12월,4.5
96,장애인과 함께 사는 법,백정연 (지은이) , 유유 , 2022년 4월,4.5
97,포르노랜드 : 당신이 웃어넘긴 야동의 실체,"게일 다인스 (지은이), 신혜빈 (옮긴이) ", 열다북스 , 2020년 3월,4.5
98,자본주의와 장애,"마타 러셀 (지은이), 키스 로즌솔 (엮은이), 조영학 (옮긴이) ", 동아시아 , 2022년 11월,0.0
99,21세기 사상의 최전선: 전 지구적 공존을 위한 사유의 대전환,"김종갑, 김환석, 유현주, 유시 파리카, 이동신, 차은정, 황희선, 정찬철, 김지훈, 김은주, 엄태연, 노고운, 최명애, 서보경, 김숙진, 김종미, 박세진, 송원섭, 심효원, 이준석, 임소연, 주윤정 (지은이), 이부록, 이정호, 변영근 (그림), 이감문해력연구소 (기획) ", 이성과감성 , 2020년 7월,4.5
100,경계선 지능 아동의 정서사회성,"정하나, 유선미, 김지연 (지은이) ", 이담북스 , 2021년 11월,5.0
